epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,2.610119,1.752174,3.279145,2.420819,0.240525,0.236152,0.064549,0.058566,0.001000,0.495385,82.711685
2,2.023439,1.170202,3.093001,2.246665,0.276968,0.219388,-0.035097,-0.039211,0.001000,0.397792,75.600689
3,1.869937,1.031849,3.751801,2.923129,0.287172,0.287172,-0.002515,-0.001914,0.001000,0.398187,75.653448
4,1.799054,0.980104,3.339906,2.531545,0.288630,0.288630,0.001197,0.001320,0.001000,0.397778,75.687876
5,1.783009,0.984928,3.395087,2.608039,0.288630,0.288630,0.000000,0.000000,0.001000,0.397871,75.559110
6,1.790345,1.013884,3.389083,2.623725,0.288630,0.288630,0.000000,0.001123,0.001000,0.397698,75.673091
7,1.810977,1.056051,3.440636,2.696936,0.289359,0.274052,0.012626,0.027681,0.001000,0.397747,75.892201
8,1.726083,0.993086,3.028323,2.306504,0.288630,0.273324,0.000000,0.017407,0.001000,0.397763,75.901421
9,1.705489,0.994139,3.137106,2.436775,0.272595,0.273324,-0.030416,-0.017523,0.001000,0.397553,75.830234
10,1.706958,1.016775,2.981595,2.302008,0.287901,0.288630,0.000279,-0.000239,0.001000,0.397758,75.975356
11,1.662870,0.993156,3.077261,2.418003,0.287901,0.287172,0.001157,-0.002558,0.001000,0.397769,75.890211
12,1.619190,0.969467,3.771493,3.131734,0.288630,0.288630,0.000000,0.000000,0.001000,0.397644,75.741155
13,1.593068,0.962662,3.124359,2.503856,0.288630,0.287901,0.000000,0.004128,0.001000,0.397667,75.827947
14,1.594772,0.983382,3.205191,2.603122,0.288630,0.288630,0.000000,0.000000,0.001000,0.397633,75.849650
15,1.538234,0.944765,3.118178,2.533928,0.288630,0.279883,0.000000,-0.002169,0.001000,0.397802,75.809214
16,1.591028,1.014778,3.178779,2.610894,0.289359,0.248542,0.042118,0.055260,0.001000,0.397691,75.851849
17,1.601071,1.041065,3.362411,2.810722,0.288630,0.279883,-0.006278,0.014248,0.001000,0.397911,75.831017
18,1.575884,1.031875,2.775484,2.239281,0.288630,0.269679,0.031097,0.045267,0.001000,0.397697,75.804270
19,1.504835,0.975661,3.241544,2.719850,0.288630,0.290087,0.004163,0.003330,0.001000,0.397611,75.741982
20,1.515555,1.001149,2.889582,2.382554,0.288630,0.288630,0.000000,0.000000,0.001000,0.397625,75.822731
21,1.505718,1.005630,3.121113,2.628326,0.287901,0.287172,-0.005377,-0.003866,0.001000,0.397661,75.864353
22,1.426363,0.940302,2.836598,2.357468,0.288630,0.287172,0.000000,0.008387,0.001000,0.397574,75.892258
23,1.438618,0.965818,2.712168,2.245893,0.289359,0.285714,0.006857,0.020616,0.001000,0.397747,75.859066
24,1.393354,0.932995,3.303611,2.849509,0.288630,0.287901,0.000000,0.003405,0.001000,0.397486,75.938161
25,1.407163,0.958451,3.017385,2.574225,0.289359,0.287901,-0.000202,-0.001280,0.001000,0.397504,75.815716
26,1.389096,0.950976,3.014040,2.581060,0.290087,0.280612,0.004128,0.010748,0.001000,0.397675,75.750504
27,1.387077,0.959072,2.693902,2.270949,0.288630,0.287172,-0.002079,0.004973,0.001000,0.397708,75.835036
28,1.449637,1.031373,3.272820,2.859367,0.287901,0.282799,0.027627,0.035269,0.001000,0.397571,76.015713
29,1.392936,0.982659,2.934098,2.527952,0.287901,0.288630,0.003075,0.003403,0.001000,0.397745,76.129434
30,1.355434,0.953802,2.910836,2.513852,0.288630,0.287901,0.000000,0.005015,0.001000,0.397620,76.127821
31,1.305256,0.912505,3.254251,2.865706,0.288630,0.288630,0.000000,0.000000,0.001000,0.397549,76.132769
32,1.331493,0.946893,3.160553,2.780305,0.288630,0.289359,0.002001,0.002042,0.001000,0.397679,76.069504
33,1.342226,0.965933,2.667316,2.294816,0.290087,0.283528,0.014218,0.024540,0.001000,0.397444,76.117634
34,1.284002,0.915240,3.027006,2.661998,0.288630,0.288630,0.000000,0.000000,0.001000,0.397531,76.131010
35,1.319949,0.958397,2.528987,2.170490,0.282799,0.274781,-0.001230,0.006699,0.001000,0.397572,76.190982
36,1.407495,1.050314,2.712515,2.356824,0.271137,0.250729,-0.014967,-0.020289,0.001000,0.397615,76.189190
37,1.339403,0.986124,3.147529,2.797431,0.288630,0.288630,0.000000,0.000000,0.001000,0.397712,76.177567
38,1.306679,0.960230,2.676309,2.333805,0.289359,0.282799,0.009683,0.030621,0.001000,0.397757,76.108010
39,1.322596,0.983746,2.568001,2.232058,0.288630,0.285714,0.000000,0.017279,0.001000,0.397593,76.156238
40,1.296756,0.963470,2.712503,2.382305,0.288630,0.288630,0.005141,0.007005,0.001000,0.397670,76.172516
41,1.258394,0.931276,2.977473,2.653613,0.288630,0.287901,0.000000,0.005811,0.001000,0.397711,76.179013
42,1.203537,0.883014,2.543582,2.226347,0.288630,0.276968,0.007924,0.039016,0.001000,0.397686,76.196906
43,1.283252,0.967639,2.955399,2.641735,0.290087,0.287172,0.019265,0.036939,0.001000,0.397600,76.187040
44,1.201042,0.889040,3.102401,2.792259,0.288630,0.288630,0.000000,0.000000,0.001000,0.397661,76.129110
45,1.266476,0.957917,2.792251,2.483905,0.285714,0.279883,-0.000577,0.002488,0.001000,0.397558,76.113428
46,1.270123,0.963178,2.572598,2.267803,0.289359,0.277697,0.027348,0.055280,0.001000,0.397386,76.134958
47,1.215739,0.913682,2.527299,2.228142,0.288630,0.285714,0.002876,0.024271,0.001000,0.397548,76.172812
48,1.169606,0.873145,2.624192,2.330255,0.287901,0.280612,-0.027274,-0.006637,0.001000,0.397655,76.139222
49,1.170398,0.878067,2.594487,2.303660,0.289359,0.287172,0.011364,0.035916,0.001000,0.397519,76.180244
50,1.239806,0.949514,2.909822,2.619614,0.278426,0.271866,0.007969,0.010390,0.001000,0.397518,76.135384
51,1.194076,0.903901,2.921428,2.632770,0.291545,0.289359,0.011842,0.023390,0.001000,0.397429,75.968968
52,1.149200,0.862604,2.875205,2.589584,0.287901,0.288630,0.002265,0.001588,0.001000,0.397469,75.934195
53,1.146825,0.862306,2.936015,2.652840,0.288630,0.283528,0.002377,0.021247,0.001000,0.397681,76.076063
54,1.147579,0.865954,2.381586,2.101139,0.291545,0.250729,0.014182,0.036880,0.001000,0.397519,76.183117
55,1.108572,0.829256,2.561400,2.283636,0.286443,0.279155,0.011892,0.031444,0.001000,0.397650,76.162516
56,1.027923,0.750745,2.591257,2.314390,0.293003,0.281341,0.050236,0.082346,0.001000,0.397796,76.167594
57,1.079665,0.803071,2.448270,2.171672,0.288630,0.287901,0.000000,0.024646,0.001000,0.397673,76.208634
58,1.144654,0.867587,2.471521,2.192812,0.286443,0.136297,-0.002714,-0.002646,0.001000,0.397781,76.167779
59,1.216720,0.937017,2.272369,1.991726,0.291545,0.135569,0.084751,0.054608,0.001000,0.397901,76.109689
60,1.212756,0.925975,2.691939,2.404326,0.292274,0.290816,0.024220,0.044696,0.001000,0.397533,76.194635
61,1.095161,0.810813,2.616667,2.335800,0.287172,0.282799,-0.020063,-0.002415,0.001000,0.397630,76.188869
62,1.029421,0.751370,2.435674,2.160128,0.291545,0.284985,0.019560,0.047409,0.001000,0.397920,76.215070
63,1.028106,0.753924,2.528043,2.255538,0.288630,0.279155,0.006356,0.034006,0.001000,0.397888,76.204424
64,1.033738,0.762502,2.523512,2.253033,0.286443,0.266035,0.002318,0.064882,0.001000,0.397622,76.193705
65,0.884936,0.615065,3.269943,3.001656,0.288630,0.288630,0.000000,0.000162,0.001000,0.397256,76.147004
66,0.991572,0.724762,2.908267,2.641431,0.288630,0.288630,0.001440,0.018193,0.001000,0.397529,76.124121
67,0.921767,0.655148,2.655789,2.389257,0.289359,0.288630,0.000721,0.000361,0.001000,0.397516,76.186713
68,0.950450,0.684060,2.963226,2.694478,0.288630,0.288630,0.000000,0.002002,0.001000,0.397626,76.173787
69,0.975247,0.704669,2.499335,2.227969,0.293732,0.274781,0.043717,0.064468,0.001000,0.397632,76.190454
70,0.893278,0.623544,2.297781,2.029487,0.289359,0.155248,0.010852,0.067877,0.001000,0.397762,76.189020
71,0.961874,0.692562,2.865963,2.593608,0.286443,0.276239,0.066120,0.078736,0.001000,0.397533,76.173662
72,1.007972,0.736451,2.939015,2.668716,0.288630,0.288630,0.000000,0.003725,0.001000,0.397709,76.145611
73,0.910001,0.641581,2.335411,2.068264,0.295190,0.152332,0.076207,0.060190,0.001000,0.398015,76.224668
74,0.837800,0.571590,2.600890,2.335628,0.287172,0.274052,0.002266,0.039104,0.001000,0.397788,76.227681
75,0.823404,0.558973,2.412718,2.148172,0.287901,0.238338,-0.004781,0.003356,0.001000,0.397729,76.208013
76,0.848709,0.584244,2.424314,2.158368,0.288630,0.287901,0.015459,0.037730,0.001000,0.397576,76.217466
77,0.979326,0.710116,2.694060,2.422445,0.288630,0.288630,0.000000,0.000000,0.001000,0.397709,76.223492
78,0.813247,0.541866,2.913327,2.643920,0.288630,0.288630,0.000000,0.000000,0.001000,0.397681,76.120545
79,0.788798,0.521875,2.375693,2.111338,0.288630,0.245627,0.000000,0.008807,0.001000,0.397443,76.194706
80,0.846515,0.581060,3.485268,3.216997,0.288630,0.288630,0.000000,0.000000,0.001000,0.397568,76.180929
81,0.950991,0.681777,2.714019,2.444805,0.287901,0.286443,0.000806,0.001808,0.001000,0.397615,76.195650
82,0.767105,0.500414,2.665384,2.401390,0.279883,0.166910,0.019016,0.009869,0.001000,0.397649,76.248686
83,0.732810,0.469281,2.576718,2.314175,0.285714,0.278426,0.006429,0.019202,0.001000,0.397379,76.182802
84,0.711080,0.449782,3.366088,3.105042,0.288630,0.288630,0.000000,0.000000,0.001000,0.397419,76.134442
85,0.841336,0.580255,2.582036,2.320183,0.288630,0.286443,0.000000,0.009195,0.001000,0.397509,76.133913
86,0.758681,0.497354,2.584165,2.323852,0.289359,0.192420,0.087538,0.058050,0.001000,0.398153,76.172047
87,0.880429,0.616943,2.362321,2.097809,0.294461,0.265306,0.037026,0.083309,0.001000,0.397763,76.204102
88,0.824226,0.558375,2.544925,2.278913,0.293003,0.213557,0.047275,0.047572,0.001000,0.397743,76.176716
89,0.725147,0.460554,2.423012,2.160378,0.289359,0.260933,0.002083,0.049978,0.001000,0.397819,76.199200
90,0.687878,0.426511,2.436181,2.176115,0.284985,0.279155,0.002572,0.026696,0.001000,0.397710,76.188342
91,0.732832,0.473325,2.402654,2.144069,0.300292,0.230321,0.090641,0.105373,0.001000,0.397602,76.135223
92,0.674046,0.416037,2.462466,2.205781,0.288630,0.252187,0.064656,0.054527,0.001000,0.397488,76.233891
93,0.675102,0.419583,3.338617,3.084390,0.288630,0.288630,0.004079,0.004081,0.001000,0.397826,76.265719
94,0.713590,0.459595,2.612254,2.357328,0.285714,0.287172,0.011770,0.008005,0.001000,0.398033,76.222943
95,0.735493,0.479660,3.110040,2.854474,0.214286,0.169825,0.005214,0.022927,0.001000,0.397593,76.222809
96,0.665051,0.408892,2.864151,2.608740,0.287172,0.281341,0.017514,0.026972,0.001000,0.397664,76.238195
97,0.659292,0.406049,2.927632,2.675613,0.290087,0.287901,0.004069,0.000761,0.001000,0.397583,76.160409
98,0.897402,0.644284,2.589261,2.333095,0.283528,0.265306,0.006277,0.044598,0.001000,0.397627,76.117137
99,0.702486,0.446534,2.521587,2.266767,0.289359,0.283528,0.011391,0.024657,0.001000,0.397697,76.194786
100,0.856200,0.601795,2.461948,2.206100,0.289359,0.216472,0.008417,0.026929,0.001000,0.397630,76.216512
