epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,3.055402,2.203233,2.887960,2.036190,0.287172,0.111516,0.000647,-0.018260,0.000100,0.130720,68.807769
2,2.495337,1.644071,2.910621,2.059906,0.288630,0.159621,0.000000,0.040244,0.000100,0.094806,66.298044
3,2.403206,1.553063,2.911498,2.061970,0.288630,0.123178,0.000000,0.022999,0.000100,0.095637,66.124453
4,2.389740,1.540825,2.815471,1.967181,0.288630,0.099125,0.000000,0.001467,0.000100,0.095325,65.854630
5,2.369871,1.522195,2.839789,1.992753,0.288630,0.206997,0.000000,0.057680,0.000100,0.095328,65.433018
6,2.319777,1.473359,2.771226,1.925452,0.289359,0.098397,0.003997,0.011883,0.000100,0.095306,66.135305
7,2.289169,1.444020,3.112614,2.268109,0.288630,0.287172,0.000000,0.000803,0.000100,0.095443,67.334320
8,2.269319,1.425452,3.000003,2.156810,0.288630,0.261662,0.000000,0.057286,0.000100,0.095604,68.231899
9,2.164710,1.322134,3.327483,2.485556,0.288630,0.288630,0.000000,0.000000,0.000100,0.095946,70.655559
10,2.169390,1.328121,2.780351,1.939753,0.291545,0.095481,0.020077,0.004858,0.000100,0.095234,66.014467
11,2.180544,1.340552,2.935468,2.096107,0.288630,0.275510,0.000000,0.045151,0.000100,0.096432,70.175917
12,2.138042,1.299308,2.784062,1.945982,0.289359,0.137755,0.000883,0.039505,0.000100,0.095508,67.458842
13,2.059256,1.221804,2.777215,1.940438,0.288630,0.136297,-0.001839,0.029708,0.000100,0.095478,67.814288
14,1.998996,1.162865,2.785503,1.950043,0.290816,0.148688,0.003236,0.072561,0.000100,0.095192,66.016601
15,2.014007,1.179200,2.810718,1.976540,0.288630,0.235423,0.000000,0.097105,0.000100,0.095177,65.974354
16,1.954748,1.121204,2.909646,2.076772,0.288630,0.276968,0.000000,0.096556,0.000100,0.095756,68.784358
17,1.934119,1.101885,2.987920,2.156355,0.288630,0.288630,0.000000,0.001722,0.000100,0.095434,68.954315
18,1.929272,1.098345,2.968453,2.138189,0.288630,0.288630,0.000000,0.000000,0.000100,0.095326,66.320522
19,1.819209,0.989590,2.880230,2.051273,0.288630,0.284257,0.000000,0.033971,0.000100,0.095510,69.039098
20,1.856617,1.028318,2.765146,1.937504,0.288630,0.215743,0.000000,0.083086,0.000100,0.095398,65.835710
21,1.819390,0.992383,2.758894,1.932540,0.288630,0.139213,0.011793,0.039903,0.000100,0.095161,68.958494
22,1.814825,0.989100,2.928133,2.103029,0.244169,0.137026,0.082865,0.110842,0.000100,0.095410,65.993934
23,1.784772,0.960282,2.822027,1.998190,0.289359,0.271137,0.000041,0.015568,0.000100,0.095677,68.413014
24,1.758817,0.935602,3.295644,2.473036,0.288630,0.288630,0.000000,0.000000,0.000100,0.094631,65.692144
25,1.836197,1.014170,3.384990,2.563570,0.288630,0.288630,0.000000,0.000000,0.000100,0.094893,65.853352
26,1.746855,0.926008,2.793151,1.972934,0.293732,0.161808,0.008962,0.031160,0.000100,0.094638,65.604264
27,1.671789,0.852206,2.832304,2.013359,0.201166,0.125364,0.057485,0.043775,0.000100,0.095522,68.561537
28,1.662006,0.843691,2.879034,2.061377,0.288630,0.288630,-0.000920,0.000000,0.000100,0.095319,68.886329
29,1.709964,0.892902,2.843915,2.027462,0.209184,0.252187,-0.083513,0.078424,0.000100,0.095123,66.316294
30,1.661323,0.845476,2.905063,2.089849,0.295918,0.288630,0.013689,0.004407,0.000100,0.094924,65.732099
31,1.643288,0.828655,2.840445,2.026425,0.293732,0.174927,0.028324,0.037982,0.000100,0.095140,65.864078
32,1.595555,0.782136,2.799999,1.987191,0.293003,0.288630,0.008673,0.001361,0.000100,0.094933,65.960741
33,1.588987,0.776798,2.934981,2.123419,0.206997,0.285714,0.000738,0.001326,0.000100,0.095008,65.825605
34,1.560548,0.749574,2.950188,2.139823,0.240525,0.163265,0.058658,0.033295,0.000100,0.095598,69.650760
35,1.522059,0.712306,2.944057,2.134941,0.267493,0.276239,0.013995,0.040085,0.000100,0.095785,71.896402
36,1.510241,0.701716,3.186231,2.378325,0.290087,0.288630,-0.000153,0.000000,0.000100,0.097379,81.491963
37,1.484979,0.677687,3.039891,2.233218,0.199708,0.288630,0.028679,0.006184,0.000100,0.099564,95.398219
38,1.489665,0.683585,2.973703,2.168242,0.288630,0.287901,-0.001822,0.000117,0.000100,0.099229,93.214191
