epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,2.924089,2.066535,2.599408,1.739122,0.367224,0.288297,0.472257,0.430365,0.001000,0.570570,174.868662
2,2.511179,1.651939,2.469816,1.612571,0.417574,0.317749,0.549797,0.559999,0.001000,0.432052,166.143543
3,2.342746,1.488158,2.367364,1.515873,0.447609,0.386470,0.645611,0.671279,0.001000,0.431941,166.650750
4,2.274788,1.426351,2.322793,1.477695,0.449942,0.398523,0.643187,0.699742,0.001000,0.432105,166.906414
5,2.134741,1.293050,2.212773,1.374937,0.478130,0.417477,0.689575,0.725908,0.001000,0.432422,167.170373
6,2.078536,1.244247,2.263735,1.433191,0.456260,0.389872,0.686493,0.708504,0.001000,0.431965,167.266613
7,2.038963,1.211800,2.183243,1.359794,0.467146,0.436528,0.749701,0.778303,0.001000,0.437293,168.388311
8,1.935037,1.115227,2.141283,1.325337,0.510692,0.476477,0.740185,0.776942,0.001000,0.432172,168.112186
9,1.928035,1.115327,2.142800,1.333593,0.506124,0.468118,0.734702,0.773067,0.001000,0.432116,168.011166
10,1.881040,1.075157,2.066138,1.263914,0.523911,0.485420,0.766543,0.807307,0.001000,0.432449,168.393381
11,1.815962,1.016989,2.005971,1.210492,0.557154,0.508359,0.793322,0.819445,0.001000,0.432134,168.262359
12,1.758518,0.966318,2.055243,1.266540,0.530521,0.502138,0.777026,0.806227,0.001000,0.432159,168.236508
13,1.718477,0.932982,2.020222,1.237950,0.538297,0.495140,0.794021,0.815855,0.001000,0.432105,168.114801
14,1.666828,0.887334,2.030748,1.254342,0.564444,0.532659,0.791317,0.824827,0.001000,0.432139,167.884296
15,1.637799,0.864142,2.025381,1.254591,0.545004,0.518760,0.783513,0.818710,0.001000,0.431791,168.533020
16,1.589586,0.821484,1.963446,1.198429,0.568915,0.543643,0.804459,0.833987,0.001000,0.432187,168.331927
17,1.536709,0.774376,1.977727,1.218095,0.568526,0.542574,0.814738,0.835407,0.001000,0.431985,168.471963
18,1.523760,0.766446,1.997920,1.242914,0.568332,0.540338,0.812336,0.837088,0.001000,0.432247,168.676309
19,1.479698,0.726783,1.991705,1.241059,0.569207,0.539658,0.804984,0.830728,0.001000,0.432248,168.392057
20,1.449925,0.701501,1.956125,1.210124,0.581065,0.556182,0.824049,0.846838,0.001000,0.431735,168.270990
1,1.247786,0.502218,1.879216,1.134273,0.617224,0.595062,0.849185,0.864299,0.000100,0.587087,249.457360
2,1.135373,0.391106,1.892080,1.148566,0.620334,0.602547,0.845306,0.867030,0.000100,0.443242,176.269625
3,1.098892,0.356093,1.907872,1.165850,0.627138,0.608573,0.847233,0.868823,0.000100,0.443324,175.835680
4,1.061245,0.319942,1.947821,1.207294,0.625972,0.611781,0.844661,0.865360,0.000100,0.443913,176.282665
5,1.039024,0.299204,1.971566,1.232508,0.626847,0.613044,0.846022,0.866726,0.000100,0.444642,176.859733
6,1.014606,0.276243,2.008465,1.270845,0.625486,0.614405,0.847414,0.866695,0.000100,0.446112,176.607344
7,0.989504,0.252558,2.038429,1.302205,0.624611,0.612170,0.844637,0.866430,0.000100,0.443893,176.684632
8,0.956641,0.221085,2.067039,1.332196,0.630929,0.617030,0.845938,0.866285,0.000100,0.445069,176.848911
9,0.939600,0.205419,2.085709,1.352240,0.632679,0.622473,0.845615,0.865165,0.000100,0.444933,176.920125
10,0.918650,0.185838,2.134190,1.402081,0.630443,0.618876,0.844740,0.866484,0.000100,0.444455,176.653225
11,0.900880,0.169408,2.147486,1.416701,0.636470,0.626069,0.843072,0.861359,0.000100,0.444075,176.917633
12,0.871388,0.141240,2.196806,1.467341,0.632193,0.622764,0.841241,0.861401,0.000100,0.444587,177.161086
13,0.852130,0.123304,2.245902,1.517763,0.630832,0.621015,0.843315,0.860061,0.000100,0.446988,177.705175
14,0.846812,0.119307,2.268326,1.541498,0.629957,0.621501,0.836594,0.859348,0.000100,0.444101,177.546472
15,0.821112,0.094920,2.304199,1.578694,0.631707,0.623250,0.842558,0.861471,0.000100,0.447536,177.970771
16,0.816231,0.091364,2.316387,1.592210,0.630929,0.619751,0.838234,0.860107,0.000100,0.446923,177.829161
17,0.802590,0.079061,2.359610,1.636779,0.634623,0.627430,0.842669,0.861383,0.000100,0.446505,177.787109
18,0.785699,0.063524,2.384683,1.663218,0.636567,0.626944,0.845729,0.863919,0.000100,0.444279,177.608069
19,0.772672,0.051871,2.402691,1.682609,0.637053,0.626847,0.843238,0.860815,0.000100,0.444680,177.657823
20,0.781127,0.061717,2.449312,1.730624,0.635109,0.624320,0.844821,0.862213,0.000100,0.448322,177.913825
21,0.830768,0.112697,2.453979,1.736546,0.624125,0.615474,0.837251,0.856475,0.000100,0.449137,177.623651
22,0.818919,0.102074,2.453017,1.736801,0.625778,0.618390,0.839656,0.860054,0.000100,0.445239,177.623866
23,0.814512,0.098867,2.465717,1.750687,0.628791,0.622764,0.838134,0.854696,0.000100,0.443495,177.869085
24,0.797873,0.083429,2.470885,1.757067,0.627722,0.621695,0.840952,0.857012,0.000100,0.441206,177.385478
25,0.800034,0.086784,2.488061,1.775424,0.631124,0.624417,0.843995,0.860218,0.000100,0.445806,176.943227
