epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,2.574662,1.717471,2.310696,1.461665,0.445335,0.382653,0.676267,0.699626,0.001000,0.116442,34.720540
2,2.191340,1.356390,2.115248,1.295495,0.459913,0.433673,0.647120,0.726779,0.001000,0.099888,31.813167
3,2.029205,1.224768,2.011056,1.222251,0.525510,0.504373,0.732098,0.772559,0.001000,0.107287,32.673402
4,1.877622,1.104904,1.899055,1.142159,0.540087,0.517493,0.796467,0.835777,0.001000,0.105791,32.445586
5,1.777122,1.034719,1.780168,1.052359,0.590379,0.519679,0.840677,0.846395,0.001000,0.106648,32.777393
6,1.696050,0.981696,1.773174,1.071884,0.568513,0.540087,0.792085,0.826154,0.001000,0.106039,32.247293
7,1.609001,0.920091,1.647260,0.970777,0.623178,0.581633,0.857538,0.874587,0.001000,0.105433,32.476746
8,1.542964,0.877318,1.591950,0.937329,0.622449,0.583819,0.836132,0.868210,0.001000,0.105366,32.218363
9,1.473780,0.829509,1.560719,0.926398,0.613703,0.586735,0.851483,0.876556,0.001000,0.104900,32.396332
10,1.411262,0.785955,1.481214,0.864328,0.629009,0.604956,0.839401,0.867407,0.001000,0.104775,32.019969
11,1.344466,0.736310,1.467400,0.867060,0.666910,0.625364,0.872254,0.896465,0.001000,0.105028,32.202784
12,1.304796,0.711130,1.458050,0.870740,0.663994,0.632653,0.885724,0.898703,0.001000,0.104835,32.105500
13,1.261080,0.679952,1.404596,0.829424,0.685131,0.657434,0.881054,0.901838,0.001000,0.103998,31.961013
14,1.211012,0.641772,1.390520,0.827033,0.665452,0.629738,0.877979,0.890857,0.001000,0.105265,32.153790
15,1.177560,0.618998,1.386792,0.833207,0.646501,0.618805,0.870165,0.895109,0.001000,0.103836,32.006102
16,1.150425,0.601138,1.326489,0.780374,0.698251,0.672741,0.904231,0.916639,0.001000,0.105518,32.292484
17,1.092335,0.551253,1.316047,0.778967,0.699708,0.682945,0.899273,0.912497,0.001000,0.105077,32.194193
18,1.071205,0.537867,1.352609,0.822053,0.683673,0.664723,0.893924,0.912658,0.001000,0.105515,32.212850
19,1.041924,0.515058,1.277778,0.754259,0.723032,0.698251,0.909282,0.922739,0.001000,0.104861,32.162988
20,1.011650,0.490828,1.292580,0.774247,0.706997,0.676385,0.902042,0.910022,0.001000,0.105650,32.462788
21,0.973463,0.458556,1.274013,0.761454,0.691691,0.679300,0.885913,0.906294,0.001000,0.106021,32.715235
22,0.960021,0.449693,1.275115,0.767287,0.700437,0.686589,0.911183,0.921752,0.001000,0.104321,32.537464
23,0.931216,0.426088,1.226604,0.723880,0.729592,0.717201,0.904673,0.924877,0.001000,0.104414,32.672512
24,0.928234,0.427181,1.211024,0.711405,0.747085,0.724490,0.896632,0.917054,0.001000,0.103660,32.144164
25,0.899110,0.401839,1.179921,0.683945,0.761662,0.741983,0.928689,0.933681,0.001000,0.103423,32.536548
26,0.862263,0.368921,1.324053,0.832047,0.694606,0.672012,0.899956,0.913853,0.001000,0.103733,32.075026
27,0.861632,0.370816,1.246267,0.756484,0.750729,0.734694,0.919205,0.925918,0.001000,0.103386,32.249044
28,0.834947,0.347296,1.288682,0.802051,0.712828,0.695335,0.918043,0.928495,0.001000,0.104029,32.020014
29,0.810817,0.325842,1.186958,0.703427,0.772595,0.744898,0.935540,0.936096,0.001000,0.103470,32.239469
30,0.806576,0.324698,1.207816,0.726793,0.741983,0.728863,0.912921,0.926162,0.001000,0.103424,31.965038
31,0.805370,0.325217,1.236392,0.756827,0.764577,0.749271,0.915212,0.923804,0.001000,0.103725,32.242807
32,0.779504,0.301598,1.194137,0.717348,0.755102,0.744898,0.926519,0.934527,0.001000,0.104553,32.257474
33,0.766604,0.291204,1.214309,0.740198,0.747085,0.739067,0.907084,0.916551,0.001000,0.103958,31.997070
34,0.763440,0.290075,1.164808,0.692046,0.774781,0.755102,0.929833,0.937308,0.001000,0.103610,32.264435
35,0.741265,0.270387,1.224089,0.754654,0.763120,0.744898,0.917555,0.924148,0.001000,0.104312,32.166665
