epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.613033,2.892729,1.410779,2.647805,0.479226,0.478657,0.210945,0.211909,0.001000,0.110402,548.878596
2,1.295229,2.808352,1.191256,2.599815,0.556915,0.546955,0.248845,0.246316,0.001000,0.103492,505.243511
3,1.119714,2.896135,1.063519,2.727530,0.590211,0.561468,0.270799,0.268071,0.001000,0.103018,454.033096
4,1.020838,2.681108,0.989152,2.424515,0.643995,0.630336,0.270685,0.275847,0.001000,0.103289,464.881698
5,0.952058,2.395165,0.921929,2.140887,0.627775,0.575128,0.294919,0.290021,0.001000,0.102396,445.791748
6,0.906376,2.364739,0.888267,1.959970,0.692089,0.677006,0.276010,0.286741,0.001000,0.102457,441.426167
7,0.871540,2.207284,0.866773,2.230235,0.656517,0.635743,0.294520,0.312429,0.001000,0.102536,435.884630
8,0.847023,2.006112,0.833093,1.687525,0.665623,0.610415,0.314177,0.328636,0.001000,0.101058,507.042612
9,0.766977,1.315233,0.744196,0.845644,0.731360,0.653671,0.436392,0.489622,0.001000,0.101080,502.357697
10,0.674627,0.855490,0.702282,0.857041,0.745874,0.616392,0.521244,0.560124,0.001000,0.101912,539.151610
11,0.640557,0.794185,0.688048,0.769799,0.764371,0.718554,0.449564,0.517725,0.001000,0.102909,501.695526
12,0.625948,0.780052,0.677684,0.829230,0.744735,0.643995,0.571218,0.599253,0.001000,0.104161,473.657713
13,0.613044,0.775823,0.646317,0.751500,0.780307,0.663631,0.511111,0.553428,0.001000,0.104405,468.375453
14,0.594483,0.759967,0.635384,0.751308,0.763802,0.659363,0.542125,0.572016,0.001000,0.103696,465.993124
15,0.591069,0.743362,0.626394,0.720120,0.780307,0.700057,0.521477,0.573052,0.001000,0.104877,476.720885
16,0.578549,0.730437,0.615798,0.704440,0.780307,0.685828,0.505228,0.563562,0.001000,0.103932,461.341970
17,0.568630,0.717565,0.606156,0.699213,0.780023,0.684121,0.570020,0.619718,0.001000,0.103240,447.779349
18,0.566094,0.710641,0.605626,0.687599,0.781161,0.728799,0.528281,0.606464,0.001000,0.103075,444.924795
19,0.558317,0.718425,0.590374,0.702368,0.782584,0.711725,0.562631,0.609132,0.001000,0.102862,436.394978
20,0.550175,0.710379,0.583213,0.701450,0.777462,0.688389,0.575334,0.615104,0.001000,0.102748,420.985041
21,0.548138,0.696883,0.593212,0.687555,0.780876,0.723961,0.542914,0.618500,0.001000,0.100895,395.678974
22,0.541822,0.687472,0.567849,0.680706,0.785430,0.732214,0.556286,0.624473,0.001000,0.100963,379.849299
23,0.541702,0.692548,0.581368,0.686155,0.781161,0.706602,0.585268,0.638342,0.001000,0.100917,375.245444
24,0.536357,0.686410,0.576441,0.670764,0.793398,0.717701,0.570600,0.621305,0.001000,0.100889,402.211628
25,0.531464,0.670907,0.573936,0.668347,0.787991,0.690666,0.576688,0.623209,0.001000,0.100879,370.990023
26,0.527032,0.666370,0.559577,0.671370,0.784576,0.717416,0.568920,0.616464,0.001000,0.100848,371.902010
27,0.523284,0.655567,0.572834,0.651578,0.791690,0.733637,0.568955,0.636411,0.001000,0.100865,385.599930
28,0.519597,0.645983,0.560078,0.649325,0.791975,0.724246,0.591237,0.642723,0.001000,0.101027,377.533800
29,0.518521,0.642608,0.558164,0.634246,0.796813,0.703472,0.585044,0.643037,0.001000,0.100993,370.827605
30,0.516149,0.638163,0.544579,0.633342,0.800512,0.727376,0.598763,0.646982,0.001000,0.100926,381.606189
31,0.510415,0.636489,0.552224,0.644519,0.794252,0.752134,0.549543,0.625123,0.001000,0.100781,373.507316
32,0.506080,0.635515,0.557977,0.645575,0.798236,0.721685,0.598128,0.625463,0.001000,0.100784,362.100458
33,0.512615,0.634648,0.537700,0.634068,0.799659,0.739898,0.612558,0.646183,0.001000,0.100924,391.637929
34,0.509461,0.637605,0.550238,0.638130,0.804212,0.710302,0.602418,0.632817,0.001000,0.100884,363.997825
35,0.502832,0.636817,0.550619,0.641789,0.798805,0.686966,0.630978,0.641253,0.001000,0.100772,378.268713
36,0.502055,0.638811,0.526752,0.625179,0.803927,0.726522,0.627290,0.657185,0.001000,0.100815,367.310479
37,0.495923,0.630553,0.562588,0.642464,0.806488,0.745020,0.587496,0.629826,0.001000,0.101270,364.625537
38,0.501863,0.633110,0.533059,0.633946,0.802220,0.741890,0.605270,0.657295,0.001000,0.100977,387.561939
39,0.495305,0.630620,0.561227,0.650350,0.798236,0.709163,0.628213,0.667120,0.001000,0.100848,363.582006
40,0.491730,0.628237,0.520820,0.628376,0.805065,0.724815,0.617754,0.663404,0.001000,0.100907,368.166343
41,0.491001,0.625867,0.526810,0.629416,0.799659,0.673591,0.627604,0.652316,0.001000,0.100948,374.715823
42,0.488180,0.622508,0.556300,0.638027,0.803927,0.688105,0.624749,0.645248,0.001000,0.100849,362.406687
43,0.493188,0.626936,0.534378,0.630683,0.795390,0.712009,0.604741,0.648503,0.001000,0.100766,374.194262
44,0.486710,0.626267,0.527715,0.620899,0.802504,0.711725,0.626237,0.657383,0.001000,0.100942,374.059508
45,0.483586,0.622241,0.523881,0.627396,0.799089,0.715139,0.633603,0.677669,0.001000,0.100959,352.382674
46,0.491576,0.628011,0.516893,0.623235,0.803927,0.714570,0.617123,0.651613,0.001000,0.100968,386.411941
47,0.482878,0.621114,0.519281,0.624119,0.803643,0.716847,0.631660,0.668383,0.001000,0.100938,361.960673
48,0.483295,0.623919,0.502401,0.610999,0.809334,0.731645,0.652782,0.679940,0.001000,0.100906,370.272327
49,0.480268,0.618378,0.516422,0.621997,0.803643,0.733637,0.622253,0.658588,0.001000,0.100886,367.653819
50,0.479533,0.618515,0.505818,0.611888,0.806773,0.747297,0.636715,0.683718,0.001000,0.100950,359.376466
51,0.474226,0.614132,0.533344,0.640164,0.801651,0.715993,0.627833,0.659034,0.001000,0.100943,380.754154
52,0.473623,0.618169,0.535795,0.632745,0.801366,0.723108,0.612439,0.649744,0.001000,0.101033,352.647922
53,0.476630,0.617353,0.507970,0.623614,0.803073,0.728230,0.656517,0.698225,0.001000,0.100882,374.563502
54,0.474375,0.617475,0.533061,0.627838,0.803927,0.730222,0.631369,0.671415,0.001000,0.100838,348.831797
55,0.474943,0.616040,0.516252,0.609080,0.808480,0.744166,0.617477,0.662688,0.001000,0.100787,376.891193
56,0.465766,0.611173,0.538006,0.633165,0.801651,0.741036,0.608989,0.648566,0.001000,0.100842,353.832221
57,0.472851,0.616347,0.539936,0.626819,0.801366,0.742743,0.583865,0.650822,0.001000,0.100850,374.832467
58,0.470601,0.611892,0.513140,0.626044,0.804781,0.712578,0.652942,0.678151,0.001000,0.100784,344.138891
59,0.467346,0.613273,0.522965,0.620621,0.801935,0.730507,0.632872,0.677265,0.001000,0.100812,366.668173
60,0.465736,0.609881,0.509624,0.613679,0.801935,0.731929,0.624733,0.663318,0.001000,0.100213,320.657908
61,0.459468,0.606557,0.528465,0.616062,0.805635,0.743312,0.617109,0.657540,0.001000,0.101014,379.676421
62,0.467076,0.608940,0.511373,0.616723,0.807911,0.739044,0.636430,0.667266,0.001000,0.100949,354.708020
63,0.467862,0.610573,0.536895,0.625898,0.807627,0.710586,0.649730,0.667521,0.001000,0.100743,364.955880
