epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,0.491055,nan,0.288766,nan,0.128628,0.548662,-0.165001,0.281702,0.001000,0.074176,417.965958
2,0.118556,nan,0.025680,nan,0.103586,0.568583,-0.186521,0.357166,0.001000,0.068763,309.452936
3,-0.061799,nan,-0.085223,nan,0.087649,0.650541,-0.165610,0.387716,0.001000,0.068775,311.245173
4,-0.157174,nan,-0.159000,nan,0.095618,0.678145,-0.187630,0.416289,0.001000,0.076543,316.882744
5,-0.219002,nan,-0.224230,nan,0.094764,0.663347,-0.210746,0.442468,0.001000,0.078067,317.181538
6,-0.268692,nan,-0.257497,nan,0.085657,0.702334,-0.216997,0.462718,0.001000,0.077993,317.034040
7,-0.298327,nan,-0.276519,nan,0.087080,0.674445,-0.221593,0.467722,0.001000,0.078022,316.827225
8,-0.323097,nan,-0.297509,nan,0.077689,0.682982,-0.179185,0.465146,0.001000,0.077968,316.714175
9,-0.341918,nan,-0.309854,nan,0.081389,0.719693,-0.214635,0.472735,0.001000,0.077979,316.771362
10,-0.395479,nan,-0.388524,nan,0.081104,0.667615,0.391380,0.596815,0.001000,0.077959,316.574460
11,-0.422818,nan,-0.385881,nan,0.079112,0.705748,0.387173,0.589016,0.001000,0.077927,316.705028
12,-0.427632,nan,-0.404597,nan,0.078258,0.658793,0.385229,0.597533,0.001000,0.077854,316.618789
13,-0.437203,nan,-0.401405,nan,0.078258,0.698919,0.380763,0.595552,0.001000,0.077862,316.792710
14,-0.447035,nan,-0.419318,nan,0.080250,0.674161,0.418901,0.624387,0.001000,0.078080,316.855102
15,-0.451455,nan,-0.420561,nan,0.077974,0.663347,0.392271,0.601731,0.001000,0.077911,316.749878
16,-0.455748,nan,-0.413322,nan,0.076836,0.710871,0.363278,0.598046,0.001000,0.078057,316.902014
17,-0.459064,nan,-0.438829,nan,0.078258,0.692943,0.406660,0.627613,0.001000,0.078041,316.093064
18,-0.462620,nan,-0.438061,nan,0.078828,0.701195,0.406838,0.635573,0.001000,0.078316,312.996326
19,-0.466517,nan,-0.436255,nan,0.080820,0.699203,0.405479,0.627372,0.001000,0.078255,313.055546
20,-0.472189,nan,-0.446072,nan,0.079681,0.696357,0.415847,0.639607,0.001000,0.078241,313.324056
21,-0.470540,nan,-0.442854,nan,0.079112,0.698349,0.410352,0.640757,0.001000,0.078239,313.145321
22,-0.476223,nan,-0.449520,nan,0.079681,0.721116,0.416546,0.650652,0.001000,0.078244,313.097749
23,-0.476298,nan,-0.452991,nan,0.079966,0.702903,0.426694,0.652161,0.001000,0.078303,313.446365
24,-0.478285,nan,-0.454629,nan,0.076266,0.732499,0.386645,0.631124,0.001000,0.078276,313.046879
25,-0.481240,nan,-0.453165,nan,0.079966,0.717131,0.424349,0.640309,0.001000,0.078258,313.296595
26,-0.482409,nan,-0.453146,nan,0.079112,0.719693,0.424049,0.644478,0.001000,0.078323,313.322551
27,-0.482342,nan,-0.456212,nan,0.079681,0.727376,0.410183,0.647056,0.001000,0.078311,313.167030
28,-0.486579,nan,-0.460198,nan,0.079112,0.721685,0.416925,0.648799,0.001000,0.078292,313.059611
29,-0.488567,nan,-0.463681,nan,0.077974,0.693796,0.423557,0.659596,0.001000,0.078235,312.973342
