epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,2.837250,1.982627,2.516000,1.675198,0.323615,0.363703,0.697128,0.706878,0.001000,0.479277,190.955797
2,2.444362,1.624006,2.396875,1.598513,0.375364,0.370991,0.758754,0.727483,0.001000,0.439920,184.004038
3,2.339724,1.564051,2.312076,1.559607,0.382653,0.411808,0.788221,0.785238,0.001000,0.439264,184.918708
4,2.255299,1.525556,2.249502,1.542901,0.353499,0.408892,0.782753,0.802946,0.001000,0.440865,185.900163
5,2.197345,1.512304,2.190953,1.527540,0.397959,0.405248,0.798836,0.774157,0.001000,0.436353,182.241776
6,2.136073,1.493076,2.136981,1.514158,0.378280,0.432216,0.802142,0.816551,0.001000,0.433295,182.590067
7,2.077760,1.473883,2.083351,1.498334,0.389213,0.462828,0.819116,0.854850,0.001000,0.433214,182.484135
8,2.035886,1.467916,2.032090,1.481040,0.351312,0.445335,0.805669,0.840952,0.001000,0.433158,182.690383
9,1.984129,1.448926,2.011315,1.491614,0.413265,0.491983,0.824064,0.851992,0.001000,0.432929,183.211035
10,1.951560,1.445566,1.949841,1.457765,0.459184,0.492711,0.859794,0.864795,0.001000,0.433333,182.437072
11,1.904122,1.425117,1.920475,1.454207,0.456268,0.523324,0.863573,0.874757,0.001000,0.433293,183.092870
12,1.871988,1.417345,1.903582,1.460349,0.444606,0.513120,0.849486,0.867627,0.001000,0.433134,182.102993
13,1.848865,1.415576,1.880967,1.458087,0.384111,0.498542,0.802031,0.866774,0.001000,0.433358,183.487031
14,1.808425,1.395283,1.881060,1.477711,0.485423,0.443149,0.852257,0.828223,0.001000,0.433459,182.795128
15,1.795420,1.400540,1.835895,1.449572,0.433673,0.461370,0.845550,0.858001,0.001000,0.433378,182.873532
16,1.762243,1.384031,1.797829,1.427387,0.420554,0.528426,0.865709,0.881367,0.001000,0.433431,182.091102
17,1.756067,1.392656,1.775052,1.417984,0.452624,0.564140,0.879849,0.899132,0.001000,0.433450,183.059155
18,1.729691,1.379394,1.760011,1.416449,0.474490,0.564869,0.880617,0.897916,0.001000,0.433439,182.749962
19,1.705859,1.368932,1.755593,1.425041,0.469388,0.564140,0.878818,0.893139,0.001000,0.433368,183.423599
20,1.696332,1.371251,1.738090,1.418346,0.431487,0.509475,0.827094,0.845858,0.001000,0.433473,183.092387
21,1.684670,1.369880,1.721461,1.411962,0.467201,0.549563,0.878823,0.894805,0.001000,0.433225,182.961365
22,1.667044,1.362680,1.736601,1.436856,0.436589,0.521866,0.856243,0.866129,0.001000,0.433503,183.400028
