epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,2.541752,1.685223,2.289088,1.441703,0.453353,0.405977,0.675590,0.709337,0.001000,0.472126,272.693442
2,2.163414,1.330287,2.101820,1.284273,0.496356,0.451895,0.706542,0.771828,0.001000,0.431528,175.634617
3,1.995268,1.193889,2.044542,1.259602,0.518222,0.476676,0.750971,0.783498,0.001000,0.431405,175.788569
4,1.867836,1.099163,1.863482,1.111095,0.537172,0.534257,0.797550,0.838737,0.001000,0.431747,175.548793
5,1.760584,1.022805,1.752759,1.030129,0.564869,0.537901,0.818601,0.855576,0.001000,0.431167,175.731127
6,1.690304,0.981323,1.727864,1.031868,0.582362,0.561224,0.826028,0.843845,0.001000,0.431655,175.780333
7,1.600265,0.917124,1.661885,0.991553,0.594752,0.563411,0.830653,0.848647,0.001000,0.427657,175.465615
8,1.528476,0.869613,1.599675,0.952272,0.628280,0.599125,0.857510,0.886805,0.001000,0.426178,175.226760
9,1.467887,0.830846,1.552029,0.925266,0.637026,0.602041,0.872053,0.884732,0.001000,0.426427,175.758422
10,1.402470,0.784992,1.465034,0.856364,0.638484,0.599125,0.869770,0.895394,0.001000,0.426269,175.850052
11,1.335438,0.735325,1.471461,0.878658,0.642857,0.626093,0.878000,0.894531,0.001000,0.426130,175.708717
12,1.290253,0.704658,1.448142,0.869514,0.658892,0.639942,0.876956,0.899026,0.001000,0.426108,175.766109
13,1.271996,0.699102,1.421774,0.854441,0.663994,0.637755,0.875788,0.894665,0.001000,0.427357,176.504998
14,1.210652,0.649203,1.435356,0.879979,0.685860,0.644315,0.889515,0.896069,0.001000,0.427370,176.117784
15,1.182651,0.631796,1.419969,0.873962,0.614431,0.591108,0.833089,0.860271,0.001000,0.430758,176.393524
16,1.135703,0.594543,1.335326,0.798109,0.693878,0.667638,0.896011,0.912282,0.001000,0.431067,176.382896
17,1.103036,0.569723,1.327290,0.797547,0.698251,0.685860,0.897492,0.912668,0.001000,0.431290,176.287004
18,1.061499,0.535757,1.395162,0.872004,0.696064,0.656706,0.895216,0.907423,0.001000,0.431158,176.562093
