epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.132340,1.236190,0.929035,1.053524,0.705179,0.624929,0.233022,0.286545,0.001000,0.455896,687.030020
2,0.815574,1.071075,0.718900,1.082701,0.690381,0.617814,0.314345,0.340454,0.001000,0.440982,444.537748
3,0.652469,1.019838,0.600318,1.024802,0.721969,0.666192,0.298566,0.340698,0.001000,0.446111,445.945221
4,0.559431,0.981386,0.539131,1.016664,0.720262,0.670746,0.374742,0.410418,0.001000,0.448436,448.004180
5,0.502121,0.947563,0.491183,0.967285,0.623221,0.555492,0.409216,0.412252,0.001000,0.449764,448.613880
6,0.459689,0.917397,0.454367,0.942531,0.718270,0.669892,0.472434,0.498573,0.001000,0.449717,446.800458
7,0.432370,0.903364,0.434452,0.919802,0.732214,0.694935,0.428281,0.473260,0.001000,0.448876,448.005141
8,0.412533,0.882145,0.421100,0.888408,0.708310,0.639158,0.498214,0.506485,0.001000,0.449066,450.499851
9,0.394483,0.865839,0.398185,0.897010,0.719408,0.668469,0.498284,0.513474,0.001000,0.449515,450.223594
10,0.381876,0.860077,0.403604,0.898305,0.692943,0.621229,0.544891,0.538482,0.001000,0.449190,449.095003
11,0.372405,0.852144,0.376141,0.871355,0.746158,0.705179,0.499873,0.522968,0.001000,0.450589,450.678515
12,0.363294,0.841762,0.365718,0.845527,0.733637,0.682698,0.577064,0.575379,0.001000,0.449845,451.274338
13,0.355465,0.834007,0.362650,0.861507,0.741890,0.699488,0.512249,0.543255,0.001000,0.448875,450.124489
14,0.345768,0.821708,0.356405,0.843282,0.745020,0.699772,0.563839,0.576679,0.001000,0.451489,451.646455
15,0.341002,0.821317,0.341750,0.822893,0.747297,0.705179,0.569056,0.572770,0.001000,0.450471,450.239201
16,0.335914,0.816442,0.339207,0.827320,0.742743,0.700626,0.589076,0.593629,0.001000,0.448762,449.590539
17,0.330428,0.814914,0.330716,0.799485,0.750711,0.706318,0.594259,0.597580,0.001000,0.449878,451.275315
18,0.328246,0.808670,0.335961,0.840298,0.751281,0.719977,0.575233,0.584090,0.001000,0.451767,451.765934
19,0.322053,0.800230,0.327960,0.802399,0.754980,0.727092,0.582791,0.599764,0.001000,0.448353,449.002053
20,0.320895,0.801817,0.328070,0.807857,0.749289,0.717985,0.596162,0.612534,0.001000,0.448663,449.749262
21,0.318124,0.795878,0.322750,0.809420,0.754980,0.735060,0.610749,0.626007,0.001000,0.449047,450.251939
22,0.316026,0.795233,0.322924,0.802902,0.758395,0.731360,0.599791,0.616779,0.001000,0.448056,450.190704
23,0.313078,0.789305,0.316481,0.786908,0.754980,0.722254,0.638789,0.655696,0.001000,0.447571,450.243227
24,0.311755,0.789826,0.321328,0.817208,0.757826,0.731360,0.603551,0.610236,0.001000,0.448730,449.127865
25,0.309416,0.785871,0.322870,0.811937,0.749289,0.715139,0.587669,0.603026,0.001000,0.444848,446.570996
26,0.308538,0.782590,0.307643,0.786610,0.768640,0.737906,0.614425,0.626600,0.001000,0.446740,448.132423
27,0.306271,0.780464,0.311720,0.787523,0.760956,0.743312,0.625466,0.637215,0.001000,0.442942,446.548097
28,0.303503,0.776375,0.310151,0.785426,0.764087,0.744735,0.635306,0.646727,0.001000,0.444884,447.977962
29,0.302400,0.775372,0.315500,0.799205,0.748150,0.729084,0.637913,0.639923,0.001000,0.450263,451.024914
30,0.301804,0.774705,0.308875,0.790763,0.759533,0.740182,0.610162,0.622003,0.001000,0.451065,451.366010
31,0.297657,0.766880,0.314879,0.820548,0.769493,0.749289,0.581276,0.601964,0.001000,0.448088,449.847635
32,0.299761,0.771456,0.304706,0.781808,0.764087,0.746727,0.619018,0.635783,0.001000,0.448272,449.680539
33,0.298029,0.770104,0.301607,0.766040,0.764371,0.740751,0.628990,0.644909,0.001000,0.452311,452.987404
34,0.297301,0.768130,0.296279,0.775875,0.778315,0.748150,0.632640,0.636222,0.001000,0.449117,450.867747
35,0.296569,0.769822,0.301272,0.771441,0.769493,0.747012,0.640786,0.644836,0.001000,0.448743,450.738349
36,0.294242,0.762509,0.298201,0.780385,0.769493,0.751850,0.619060,0.632847,0.001000,0.445094,447.777537
37,0.296361,0.768563,0.308452,0.804579,0.753842,0.720262,0.618647,0.626963,0.001000,0.446083,449.209980
38,0.293704,0.763503,0.294776,0.772909,0.772624,0.753557,0.651979,0.659797,0.001000,0.442647,447.399295
39,0.293486,0.760741,0.311536,0.785741,0.742459,0.715993,0.638386,0.647232,0.001000,0.442845,447.561291
40,0.291461,0.756464,0.295383,0.761565,0.775754,0.751565,0.642822,0.651534,0.001000,0.447529,450.439954
41,0.290080,0.755018,0.306448,0.779553,0.755265,0.723108,0.661900,0.662939,0.001000,0.449904,452.139760
42,0.289536,0.755622,0.298960,0.771858,0.756118,0.721685,0.646757,0.649527,0.001000,0.446836,448.950277
43,0.289349,0.756809,0.296511,0.765271,0.772055,0.744451,0.645741,0.644922,0.001000,0.449289,451.855190
44,0.288821,0.755407,0.296501,0.764768,0.756972,0.724815,0.660901,0.657242,0.001000,0.447275,450.504673
45,0.287655,0.754510,0.293601,0.765249,0.764371,0.746727,0.668681,0.676771,0.001000,0.446410,449.186964
46,0.285645,0.748990,0.293173,0.758925,0.766363,0.732499,0.626089,0.636851,0.001000,0.446492,449.850349
47,0.286292,0.749474,0.288859,0.762102,0.770063,0.752134,0.648629,0.659252,0.001000,0.448262,451.002215
48,0.286692,0.751855,0.296421,0.767107,0.774616,0.745874,0.653169,0.661567,0.001000,0.446691,450.943179
49,0.286235,0.749661,0.290915,0.759212,0.773193,0.750142,0.636115,0.645486,0.001000,0.449129,451.932096
50,0.285214,0.747045,0.292361,0.760455,0.770347,0.745874,0.636883,0.645548,0.001000,0.447046,451.240258
51,0.283048,0.743809,0.298865,0.777196,0.761810,0.729084,0.653317,0.649747,0.001000,0.450082,451.504980
52,0.283218,0.746242,0.297626,0.771333,0.767786,0.742174,0.638512,0.647416,0.001000,0.446921,450.843556
53,0.282030,0.744184,0.298294,0.773929,0.767501,0.736483,0.635137,0.645019,0.001000,0.446288,450.832090
54,0.283424,0.744638,0.292621,0.763638,0.767786,0.747581,0.652617,0.665083,0.001000,0.448193,451.586106
55,0.283341,0.743417,0.285962,0.750035,0.777462,0.761525,0.657962,0.665702,0.001000,0.448802,451.082863
56,0.281119,0.741988,0.289478,0.749761,0.775185,0.749004,0.657429,0.667816,0.001000,0.447162,450.347397
57,0.279114,0.738520,0.293636,0.773917,0.778884,0.766363,0.637284,0.663168,0.001000,0.451610,451.169035
58,0.279541,0.740784,0.293075,0.754548,0.767501,0.741890,0.654270,0.660114,0.001000,0.447703,450.388861
59,0.281940,0.743532,0.291326,0.752726,0.768924,0.747012,0.661618,0.668090,0.001000,0.449206,450.527404
60,0.281154,0.740518,0.291973,0.757734,0.773762,0.750142,0.637124,0.642104,0.001000,0.450288,452.114794
61,0.277559,0.734501,0.298469,0.770887,0.762379,0.733921,0.626316,0.635726,0.001000,0.446610,450.940312
62,0.279640,0.738456,0.287878,0.747318,0.777462,0.752703,0.645307,0.652554,0.001000,0.449782,451.386055
63,0.278543,0.735995,0.290766,0.763791,0.772339,0.742174,0.659425,0.658423,0.001000,0.445675,451.079189
64,0.279439,0.737040,0.289842,0.758374,0.772055,0.742743,0.662883,0.659848,0.001000,0.448130,452.341765
65,0.279276,0.738827,0.284292,0.745608,0.775754,0.765225,0.664074,0.672008,0.001000,0.447622,450.988163
66,0.279777,0.738433,0.284032,0.742334,0.777177,0.753557,0.664851,0.669518,0.001000,0.447216,451.008859
67,0.274625,0.727926,0.290071,0.767907,0.772624,0.743312,0.645859,0.650901,0.001000,0.445150,450.473632
68,0.277285,0.734576,0.286586,0.754386,0.784291,0.764087,0.668352,0.668834,0.001000,0.447839,451.255465
69,0.277200,0.733162,0.285208,0.752494,0.778600,0.749573,0.656718,0.649702,0.001000,0.445339,450.292667
70,0.274657,0.728000,0.291858,0.753568,0.767501,0.746158,0.665291,0.671537,0.001000,0.448679,442.877615
71,0.277431,0.734363,0.292901,0.769659,0.769778,0.763233,0.648913,0.657386,0.001000,0.448330,442.047643
72,0.275835,0.730218,0.290802,0.764795,0.776323,0.755834,0.658930,0.667889,0.001000,0.447568,442.746720
73,0.276383,0.733855,0.288652,0.760596,0.778884,0.761525,0.640726,0.648876,0.001000,0.450910,444.028137
74,0.275867,0.731160,0.292512,0.768482,0.762664,0.732783,0.655857,0.656245,0.001000,0.448967,444.218999
75,0.275071,0.730647,0.291517,0.767556,0.773478,0.749289,0.675165,0.672201,0.001000,0.443797,440.691734
76,0.276922,0.735377,0.289468,0.760334,0.770632,0.745874,0.663372,0.660395,0.001000,0.443360,441.166386
77,0.274258,0.728337,0.290740,0.756426,0.768640,0.744166,0.678846,0.668459,0.001000,0.445850,443.795512
78,0.273355,0.727591,0.286891,0.745872,0.774047,0.748150,0.658374,0.659994,0.001000,0.449314,447.539402
79,0.275840,0.730859,0.292266,0.765479,0.769493,0.743597,0.670306,0.659384,0.001000,0.447160,446.621323
80,0.277230,0.735594,0.285588,0.752597,0.782869,0.763802,0.653725,0.658211,0.001000,0.448472,446.880438
81,0.275019,0.728428,0.280443,0.745067,0.786568,0.764656,0.671292,0.675483,0.001000,0.445246,445.342673
82,0.273480,0.727322,0.301303,0.784824,0.764087,0.744735,0.641335,0.650274,0.001000,0.444699,443.867065
83,0.273956,0.726581,0.281093,0.751672,0.775470,0.755834,0.670582,0.681036,0.001000,0.448821,445.065346
84,0.274870,0.732076,0.275761,0.730737,0.783438,0.756972,0.689673,0.688570,0.001000,0.449727,446.716545
85,0.273339,0.726560,0.293240,0.760274,0.766648,0.736198,0.675216,0.671469,0.001000,0.447607,450.124772
86,0.274517,0.728398,0.279926,0.741035,0.780876,0.766079,0.672806,0.680958,0.001000,0.447364,448.198446
87,0.273397,0.725464,0.285084,0.747466,0.776608,0.760387,0.664297,0.672208,0.001000,0.446432,448.747770
88,0.271850,0.723507,0.286520,0.770284,0.780592,0.764940,0.653855,0.661691,0.001000,0.449131,450.140216
89,0.273011,0.725368,0.292227,0.757656,0.771485,0.752988,0.650117,0.657224,0.001000,0.448831,449.844939
90,0.271190,0.719573,0.282990,0.746011,0.782869,0.768071,0.646780,0.656283,0.001000,0.449481,449.437137
91,0.272418,0.724939,0.286743,0.744373,0.769778,0.747866,0.668966,0.670070,0.001000,0.449450,450.866487
92,0.271245,0.722597,0.277422,0.726357,0.780307,0.756972,0.666903,0.681821,0.001000,0.447159,450.439704
93,0.270956,0.720269,0.287280,0.749766,0.771201,0.743882,0.657075,0.664371,0.001000,0.445552,451.690090
94,0.269782,0.720182,0.285345,0.751277,0.777177,0.751850,0.660948,0.659288,0.001000,0.444689,450.886021
95,0.270475,0.721994,0.287513,0.770755,0.781161,0.760956,0.655832,0.664698,0.001000,0.443996,448.580733
96,0.272995,0.726121,0.289952,0.767211,0.785430,0.769778,0.616790,0.643987,0.001000,0.443796,447.855477
97,0.270656,0.722016,0.288766,0.760351,0.774616,0.756688,0.659734,0.660028,0.001000,0.443589,447.098912
98,0.270796,0.720515,0.282400,0.740541,0.769209,0.748150,0.674451,0.679857,0.001000,0.443486,447.826060
99,0.269347,0.717911,0.281566,0.756189,0.783438,0.764371,0.642680,0.645375,0.001000,0.448630,451.123066
100,0.270634,0.722719,0.277026,0.730321,0.778031,0.768071,0.671337,0.677790,0.001000,0.449243,450.419938
101,0.258642,0.693527,0.272997,0.721714,0.789414,0.768924,0.684254,0.687263,0.000100,0.449294,449.596729
