epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.644626,0.871005,1.470160,0.808370,0.745874,0.616392,0.135553,0.296754,0.001000,0.074176,451.647419
2,1.357618,0.795201,1.233866,0.759561,0.750142,0.549516,0.225756,0.356401,0.001000,0.069096,317.952920
3,1.182905,0.772810,1.120319,0.765538,0.749004,0.689812,0.117496,0.287563,0.001000,0.069145,318.347930
4,1.068293,0.753913,1.021485,0.742302,0.756403,0.614969,0.296574,0.401461,0.001000,0.069149,318.267745
5,0.991321,0.737420,0.956559,0.725552,0.742174,0.536426,0.415553,0.449972,0.001000,0.069163,318.725295
6,0.929435,0.715905,0.906887,0.708395,0.762948,0.700911,0.373840,0.472953,0.001000,0.069184,318.940495
7,0.881926,0.696022,0.868453,0.693783,0.767501,0.697496,0.376764,0.466267,0.001000,0.069230,319.004690
8,0.851208,0.684972,0.852712,0.695042,0.759818,0.600740,0.493380,0.537476,0.001000,0.069196,318.638031
9,0.820467,0.670211,0.817061,0.673342,0.781446,0.681275,0.540409,0.575000,0.001000,0.069144,318.802811
10,0.805136,0.666520,0.813759,0.679794,0.782869,0.676437,0.518438,0.566544,0.001000,0.069142,319.296057
11,0.790584,0.661340,0.786241,0.660961,0.785430,0.702334,0.528267,0.577075,0.001000,0.068981,318.034156
12,0.776510,0.654852,0.788521,0.669568,0.770063,0.619806,0.569752,0.584693,0.001000,0.069143,318.299371
13,0.759667,0.646530,0.760527,0.651567,0.772624,0.643995,0.527385,0.564235,0.001000,0.069120,319.193860
14,0.747323,0.640807,0.749571,0.646495,0.789698,0.710017,0.502344,0.564762,0.001000,0.069155,319.326581
15,0.742534,0.641729,0.757754,0.658869,0.785999,0.692373,0.547927,0.593113,0.001000,0.069143,319.447158
16,0.731808,0.635317,0.735998,0.641361,0.795390,0.691804,0.551419,0.583905,0.001000,0.069147,319.361489
17,0.720975,0.630051,0.733359,0.644813,0.774331,0.663062,0.539597,0.583414,0.001000,0.069117,318.957913
18,0.718307,0.631529,0.715837,0.631603,0.794252,0.724530,0.554427,0.611797,0.001000,0.069135,319.285317
19,0.706506,0.624621,0.713241,0.633615,0.793967,0.712863,0.579056,0.638112,0.001000,0.069146,319.018999
20,0.698484,0.620952,0.706096,0.630491,0.797666,0.693796,0.601147,0.627201,0.001000,0.069172,319.442475
21,0.692388,0.618006,0.694266,0.621560,0.801651,0.737052,0.594592,0.633110,0.001000,0.069094,318.560033
22,0.685547,0.614323,0.686850,0.617273,0.799659,0.727092,0.576766,0.636265,0.001000,0.069166,319.050158
23,0.682828,0.614419,0.688048,0.620819,0.795105,0.694935,0.558216,0.613912,0.001000,0.069120,318.923177
24,0.678818,0.612661,0.685870,0.621015,0.801366,0.709732,0.582042,0.633858,0.001000,0.069231,318.821088
25,0.671301,0.607554,0.680065,0.617290,0.804781,0.693227,0.610992,0.627474,0.001000,0.069135,319.906130
26,0.667886,0.606136,0.681152,0.620187,0.797666,0.729937,0.527080,0.584532,0.001000,0.069259,320.754864
27,0.666335,0.606128,0.667284,0.607888,0.804212,0.727376,0.616197,0.653766,0.001000,0.069182,319.705590
28,0.662091,0.603428,0.661472,0.603598,0.799943,0.739898,0.606546,0.664696,0.001000,0.069223,319.859474
29,0.657257,0.599961,0.654579,0.597942,0.808196,0.726522,0.630720,0.658104,0.001000,0.068747,316.018005
30,0.657112,0.601099,0.660972,0.605691,0.806204,0.723961,0.609372,0.656344,0.001000,0.069041,318.892366
31,0.652659,0.597882,0.661965,0.607756,0.801935,0.752988,0.568082,0.634595,0.001000,0.069150,319.380147
32,0.649405,0.595758,0.654220,0.601040,0.799374,0.745874,0.596732,0.653155,0.001000,0.069143,319.633320
33,0.646678,0.593941,0.661059,0.608799,0.803927,0.735913,0.608668,0.655613,0.001000,0.069121,319.056178
34,0.645458,0.593662,0.648109,0.596773,0.805350,0.756403,0.619478,0.667915,0.001000,0.069167,319.516611
35,0.642965,0.592002,0.661257,0.610746,0.803358,0.711155,0.627602,0.654077,0.001000,0.069076,318.738072
36,0.639567,0.589502,0.651730,0.601940,0.807911,0.738475,0.612876,0.651294,0.001000,0.069129,319.254999
37,0.639427,0.589924,0.645248,0.595990,0.807057,0.747297,0.614782,0.665506,0.001000,0.069109,319.788661
38,0.635475,0.586462,0.644481,0.595724,0.807342,0.719693,0.629587,0.667122,0.001000,0.069186,318.079808
39,0.632153,0.583756,0.658141,0.609948,0.796813,0.713147,0.628469,0.664554,0.001000,0.069497,315.949583
40,0.629342,0.581404,0.637972,0.590309,0.813887,0.741890,0.639272,0.679714,0.001000,0.069077,312.730318
41,0.630347,0.582869,0.645404,0.598114,0.803073,0.703472,0.632674,0.666618,0.001000,0.069316,316.378449
42,0.626121,0.579044,0.655848,0.608972,0.807342,0.694650,0.625894,0.646016,0.001000,0.069387,315.796009
43,0.625426,0.578707,0.643349,0.596893,0.807342,0.739044,0.624932,0.678659,0.001000,0.069405,315.965413
44,0.625785,0.579595,0.640901,0.594965,0.790552,0.676437,0.610989,0.643122,0.001000,0.069316,315.808299
45,0.622932,0.577001,0.647445,0.601569,0.804496,0.722254,0.631204,0.669670,0.001000,0.069420,318.590591
46,0.624368,0.578678,0.630001,0.584496,0.810188,0.706602,0.637906,0.668808,0.001000,0.069290,318.971909
47,0.622041,0.576651,0.639581,0.594329,0.803073,0.760672,0.590472,0.643831,0.001000,0.069335,319.268365
48,0.621912,0.576673,0.633758,0.588527,0.812749,0.741890,0.635556,0.679084,0.001000,0.069232,318.376204
49,0.618572,0.573373,0.635447,0.590406,0.811895,0.741320,0.630286,0.663084,0.001000,0.069337,319.231145
50,0.619338,0.574368,0.624965,0.580211,0.815595,0.741320,0.651426,0.682839,0.001000,0.069352,319.089795
51,0.616764,0.572000,0.631951,0.587254,0.807342,0.737621,0.634457,0.680070,0.001000,0.069277,318.881466
52,0.617450,0.572866,0.644744,0.600201,0.804781,0.729084,0.624197,0.667838,0.001000,0.069330,319.359276
53,0.613625,0.569199,0.633660,0.589209,0.810188,0.732783,0.637325,0.672099,0.001000,0.069360,319.146836
54,0.614434,0.570043,0.629700,0.585369,0.810472,0.744735,0.639650,0.687877,0.001000,0.069299,319.517914
55,0.615413,0.571056,0.627437,0.583158,0.809619,0.754411,0.623137,0.675727,0.001000,0.069239,319.170827
56,0.611187,0.566921,0.630035,0.585767,0.811611,0.733921,0.659754,0.686945,0.001000,0.069349,319.799926
57,0.613346,0.569150,0.638458,0.594342,0.802789,0.761810,0.567201,0.639232,0.001000,0.069280,319.343417
58,0.611016,0.566986,0.626534,0.582579,0.814172,0.744735,0.631533,0.680778,0.001000,0.069359,319.690982
59,0.611169,0.567253,0.625181,0.581307,0.811042,0.725100,0.663260,0.690127,0.001000,0.069335,319.229231
60,0.611085,0.567170,0.633486,0.589562,0.803643,0.749858,0.630481,0.681526,0.001000,0.069429,319.988922
