epoch,train_loss,has_train_loss_improved,time
1,0.054490,1,432.994515
2,0.028090,1,432.149893
3,0.023934,1,433.496585
4,0.019550,1,432.652633
5,0.016261,1,432.531045
6,0.014708,1,433.577871
7,0.013781,1,434.343502
8,0.013113,1,433.391937
9,0.012577,1,432.449327
10,0.012140,1,433.220162
11,0.011771,1,432.915979
12,0.011468,1,435.669192
13,0.011214,1,432.353491
14,0.011003,1,431.825378
15,0.010824,1,432.944741
16,0.010672,1,432.135167
17,0.010535,1,471.076291
18,0.010420,1,432.533241
19,0.010318,1,431.456978
20,0.010230,1,431.946739
21,0.010165,1,431.881920
22,0.010101,1,431.657082
23,0.010062,1,431.858702
24,0.010045,1,431.507769
25,0.010053,0,430.845516
26,0.010088,0,431.241204
27,0.010185,0,431.460084
28,0.010586,0,430.649574
29,0.010558,0,430.351395
30,0.010728,0,431.078124
