epoch,train_loss,has_valid_loss_improved,time
1,0.071661,0.071391,1,523.194971
2,0.071635,0.071372,1,523.734942
3,0.071607,0.071348,1,523.666621
4,0.071582,0.071309,1,523.829192
5,0.071520,0.071225,1,523.727620
6,0.071369,0.070945,1,524.123797
7,0.068877,0.059330,1,524.025843
8,0.056512,0.053770,1,523.942110
9,0.052332,0.050459,1,523.674923
10,0.048536,0.045147,1,524.193903
11,0.043114,0.041183,1,524.752085
12,0.040403,0.038837,1,527.825949
13,0.037905,0.036257,1,529.059814
14,0.035305,0.033789,1,527.249995
15,0.033219,0.032038,1,524.325163
16,0.031551,0.030617,1,524.954576
17,0.030156,0.029209,1,528.081407
18,0.028922,0.028099,1,528.880385
19,0.027855,0.027079,1,528.082327
20,0.026934,0.026343,1,527.916989
21,0.026339,0.026368,0,527.922022
22,0.027229,0.025661,1,527.557726
23,0.024896,0.024289,1,527.541459
24,0.025037,0.023518,1,527.591574
25,0.027163,0.023749,0,527.095894
26,0.023691,0.022519,1,525.798580
27,0.025502,0.028191,0,523.510163
28,0.023524,0.027274,0,522.411089
29,0.022497,0.022425,1,523.060451
30,0.023981,0.024563,0,522.769031
31,0.023490,0.022919,0,523.099640
32,0.022036,0.020129,1,522.825420
33,0.022166,0.021132,0,523.164658
34,0.023525,0.022813,0,523.325748
35,0.022352,0.021610,0,523.174984
36,0.022133,0.022266,0,522.978461
37,0.021802,0.024607,0,523.143159
38,0.022537,0.021025,0,523.907451
39,0.020602,0.021555,0,523.422290
40,0.022521,0.019103,1,523.340510
41,0.020832,0.020190,0,523.230844
42,0.024479,0.024376,0,523.718745
43,0.021306,0.020335,0,523.519912
44,0.022601,0.021184,0,523.851096
45,0.020791,0.020471,0,523.394250
46,0.023163,0.019969,0,523.400489
47,0.020822,0.019565,0,523.181285
48,0.020999,0.026582,0,523.152114
49,0.023155,0.021453,0,522.759151
50,0.021165,0.020301,0,522.731718
51,0.020474,0.020880,0,522.783442
52,0.022653,0.021871,0,523.017194
53,0.021914,0.023711,0,522.616078
54,0.024504,0.025495,0,522.853353
55,0.022430,0.021185,0,522.166134
56,0.021177,0.020528,0,522.069572
57,0.020478,0.019748,0,521.914868
58,0.024158,0.026781,0,521.897484
59,0.023545,0.021911,0,521.434885
60,0.021259,0.020680,0,521.118555
61,0.020843,0.021009,0,521.628214
62,0.022931,0.020855,0,522.099189
63,0.024414,0.020705,0,522.046984
64,0.022629,0.020866,0,521.625157
65,0.020450,0.019484,0,522.034347
66,0.022368,0.022017,0,521.919111
67,0.022466,0.023904,0,522.055815
68,0.024018,0.023560,0,521.992998
69,0.025476,0.021626,0,522.131728
70,0.021463,0.020720,0,521.959078
71,0.020906,0.021495,0,521.676185
72,0.024111,0.026327,0,521.504716
73,0.023425,0.019652,0,522.088836
74,0.023402,0.027161,0,521.926117
75,0.029283,0.023888,0,522.039004
