epoch,train_loss,has_train_loss_improved,time
1,0.005384,1,401.695538
2,0.005370,1,398.779051
3,0.005358,1,398.416409
4,0.005345,1,398.104321
5,0.005332,1,397.964974
6,0.005321,1,397.703180
7,0.005310,1,397.623037
8,0.005299,1,397.367058
9,0.005289,1,397.095836
10,0.005278,1,396.884954
11,0.005269,1,397.300926
12,0.005259,1,397.507956
13,0.005251,1,397.990288
14,0.005242,1,398.322739
15,0.005234,1,398.192394
16,0.005225,1,398.155558
17,0.005217,1,398.254061
18,0.005210,1,397.711039
19,0.005202,1,397.588994
20,0.005195,1,397.465872
21,0.005188,1,397.607673
22,0.005181,1,397.224862
23,0.005176,1,397.252373
24,0.005169,1,397.046670
25,0.005163,1,396.872191
26,0.005157,1,396.659211
27,0.005151,1,396.603659
28,0.005146,1,396.351429
29,0.005140,1,396.395979
30,0.005135,1,396.169248
31,0.005130,1,395.744253
32,0.005126,1,395.632955
33,0.005121,1,395.777058
34,0.005117,1,395.726932
35,0.005112,1,395.523272
36,0.005108,1,395.575900
37,0.005104,1,395.468450
38,0.005101,1,395.626950
39,0.005097,1,395.246244
40,0.005093,1,395.506980
41,0.005089,1,395.346560
42,0.005086,1,395.461604
43,0.005083,1,395.251060
44,0.005080,1,395.182694
45,0.005077,1,394.877119
46,0.005075,1,394.910577
47,0.005072,1,395.537795
48,0.005069,1,395.916816
49,0.005067,1,396.365702
50,0.005065,1,396.410709
51,0.005063,1,395.918380
52,0.005061,1,395.791800
53,0.005059,1,395.709463
54,0.005057,1,395.802064
55,0.005057,1,395.972968
56,0.005054,1,395.890147
57,0.005054,1,396.176838
58,0.005052,1,396.220025
59,0.005052,1,395.937365
60,0.005051,1,396.290363
61,0.005050,1,395.758400
62,0.005051,0,395.811038
63,0.005051,0,396.807012
64,0.005050,0,395.986393
65,0.005052,0,396.322234
66,0.005051,0,396.627544
67,0.005053,0,395.783562
68,0.005054,0,395.174319
69,0.005057,0,395.876053
70,0.005058,0,395.613753
71,0.005061,0,395.484436
72,0.005062,0,396.094605
73,0.005067,0,395.317456
74,0.005067,0,396.126494
75,0.005073,0,395.748426
76,0.005078,0,395.688987
77,0.005081,0,396.175063
78,0.005089,0,395.486830
79,0.005090,0,395.399601
80,0.005100,0,394.834419
81,0.005106,0,395.092767
82,0.005108,0,396.554477
83,0.005120,0,398.314571
84,0.005125,0,401.096448
85,0.005133,0,399.658258
86,0.005142,0,403.524419
87,0.005150,0,402.084004
88,0.005162,0,398.700899
89,0.005168,0,399.718083
90,0.005186,0,399.863838
91,0.005188,0,400.983803
92,0.005204,0,400.324766
93,0.005209,0,399.721737
94,0.005233,0,397.572832
95,0.005238,0,400.524844
96,0.005258,0,400.383663
97,0.005268,0,400.232190
98,0.005282,0,404.599475
99,0.005295,0,398.164166
100,0.005303,0,400.587199
