epoch,train_loss,has_train_loss_improved,time
1,0.041825,1,392.633255
2,0.012385,1,401.138148
3,0.012152,1,400.919528
4,0.011928,1,401.008257
5,0.011657,1,400.767442
6,0.011293,1,401.182350
7,0.010789,1,400.600654
8,0.010185,1,400.770760
9,0.009587,1,400.500816
10,0.009017,1,400.688721
11,0.008409,1,400.775591
12,0.007833,1,400.844108
13,0.007330,1,401.215625
14,0.006974,1,400.858215
15,0.006779,1,401.062410
16,0.006639,1,401.049597
17,0.006524,1,401.304650
18,0.006426,1,401.574959
19,0.006338,1,401.184021
20,0.006261,1,400.905953
21,0.006190,1,400.999967
22,0.006125,1,401.137069
23,0.006065,1,400.818172
24,0.006007,1,399.832128
25,0.005953,1,401.361945
26,0.005902,1,403.103783
