epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,1.387738,0.494818,0.852500,0.852500,29.860862
2,0.354371,0.314060,0.919400,0.919400,29.952572
3,0.204102,0.134417,0.965000,0.965000,29.456442
4,0.150259,0.130996,0.966100,0.966100,29.473175
5,0.125785,0.112998,0.969600,0.969600,24.572338
6,0.109580,0.098680,0.973600,0.973600,17.207117
7,0.094289,0.101530,0.973500,0.973500,17.412755
8,0.087136,0.087205,0.977600,0.977600,17.277735
9,0.077979,0.079927,0.978900,0.978900,19.913195
10,0.072474,0.066743,0.983700,0.983700,30.101856
