epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,0.487136,0.186079,0.946100,0.946100,29.637369
2,0.141097,0.099956,0.972500,0.972500,28.552614
3,0.099395,0.089014,0.975900,0.975900,29.664343
4,0.078481,0.083460,0.974900,0.974900,28.128489
5,0.065300,0.068962,0.981000,0.981000,19.239958
6,0.057734,0.068343,0.980500,0.980500,18.421180
7,0.051821,0.057988,0.983800,0.983800,18.460446
8,0.046842,0.057138,0.984600,0.984600,18.426332
9,0.038393,0.062131,0.982600,0.982600,27.391920
10,0.039565,0.051775,0.985300,0.985300,31.377564
