epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,0.735009,0.214395,0.935500,0.931600,85.662759
2,0.279479,0.134311,0.961500,0.960800,84.567040
3,0.205420,0.120503,0.964700,0.966100,88.146313
4,0.171119,0.099755,0.970100,0.969100,87.843580
5,0.148623,0.081221,0.975800,0.974700,85.110106
6,0.134928,0.088029,0.975300,0.974700,87.962740
7,0.123399,0.080821,0.976900,0.976100,88.562398
8,0.115200,0.080676,0.976400,0.975400,90.133729
9,0.110306,0.075251,0.978700,0.979400,89.477059
10,0.101377,0.062730,0.980800,0.980100,86.490213
11,0.101606,0.059119,0.984200,0.980900,85.462166
12,0.094486,0.070327,0.981700,0.981700,84.696920
13,0.092237,0.060212,0.983400,0.982200,86.611047
14,0.088399,0.060295,0.983500,0.984000,88.721259
15,0.085988,0.059906,0.984300,0.983000,87.519783
16,0.082844,0.063135,0.983400,0.982600,85.095728
17,0.081727,0.061658,0.983200,0.983400,83.855775
18,0.079631,0.063618,0.983400,0.984700,82.773292
19,0.079733,0.061215,0.983300,0.982500,83.232016
20,0.074526,0.054205,0.985000,0.983900,84.076738
21,0.074050,0.060133,0.983300,0.983400,81.884698
22,0.072633,0.056742,0.985400,0.982400,88.092493
23,0.072972,0.053831,0.985500,0.985000,83.234673
24,0.071629,0.054508,0.985200,0.984700,84.476604
25,0.067459,0.053949,0.985500,0.986000,84.463369
26,0.069474,0.057107,0.984400,0.985400,84.497623
27,0.068556,0.052976,0.986100,0.986100,84.486347
28,0.069188,0.050495,0.985900,0.987300,84.578377
29,0.068465,0.050066,0.986500,0.987200,102.660049
30,0.065872,0.047291,0.986900,0.986200,85.555779
