epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,2.250894,3.027981,0.106400,0.336300,87.098440
2,1.610282,3.961241,0.136900,0.575900,85.240492
3,1.294433,3.632004,0.176900,0.679100,86.459403
4,1.115114,3.165271,0.243800,0.720500,83.859820
5,1.004854,2.841104,0.277100,0.760600,84.326223
6,0.917187,2.198204,0.381500,0.789300,83.464210
7,0.835495,2.770751,0.331000,0.825600,82.209393
8,0.767580,2.430899,0.413400,0.840600,81.573620
9,0.712551,2.232960,0.435900,0.864800,82.219217
10,0.668410,2.001017,0.480700,0.871000,82.676338
11,0.653573,1.360394,0.568300,0.875900,83.927974
12,0.611176,1.872579,0.531000,0.901600,82.485778
13,0.582144,1.214936,0.672600,0.910500,82.291438
14,0.543770,1.563407,0.627800,0.914600,84.077339
15,0.516995,1.294773,0.650900,0.926900,83.171450
16,0.484133,0.471842,0.860500,0.930100,82.413546
17,0.454904,0.914060,0.761200,0.937700,83.310835
18,0.434087,0.567225,0.841700,0.942100,83.635943
19,0.417275,0.566943,0.843400,0.943800,83.286002
20,0.405888,0.575462,0.832900,0.938600,84.338305
21,0.391284,0.482410,0.858900,0.951900,84.309681
22,0.382444,0.602712,0.834600,0.950200,86.377487
23,0.369396,0.441604,0.868100,0.958200,84.559310
24,0.363291,0.434026,0.870800,0.951600,84.279849
25,0.349552,0.790168,0.814500,0.945700,84.714286
26,0.347615,0.351471,0.895700,0.954800,83.400841
27,0.340647,0.334308,0.903300,0.958500,83.863269
28,0.334591,0.388426,0.887600,0.957300,85.330865
29,0.325822,0.379953,0.893400,0.959100,84.457758
30,0.321982,0.250496,0.927900,0.956800,85.901498
