epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,0.856244,0.439356,0.882400,0.889600,75.927723
2,0.441681,0.380053,0.896900,0.902100,76.141795
3,0.384890,0.331086,0.907400,0.918200,76.047273
4,0.350383,0.286819,0.918500,0.930700,75.988335
5,0.322324,0.277877,0.920200,0.936300,75.929074
6,0.301147,0.249067,0.932800,0.946000,75.962297
7,0.284026,0.268842,0.921600,0.940400,75.699370
8,0.257523,0.218940,0.935600,0.950100,75.812149
9,0.251633,0.262057,0.923800,0.942900,75.877657
10,0.248778,0.232056,0.933500,0.951100,75.905284
11,0.240895,0.208818,0.940500,0.959600,75.902545
12,0.234186,0.198358,0.941100,0.957500,76.014578
13,0.222126,0.261623,0.930800,0.948900,75.890493
14,0.218178,0.181603,0.950400,0.963800,76.086173
15,0.223451,0.180188,0.946300,0.964900,76.120547
16,0.207656,0.193121,0.949300,0.961300,75.999896
17,0.213980,0.174451,0.952200,0.966600,76.056206
18,0.214363,0.193605,0.951500,0.966600,76.002350
19,0.211658,0.212680,0.937300,0.957100,75.846066
20,0.210043,0.199526,0.947800,0.962000,76.046786
21,0.194056,0.156905,0.957600,0.969100,75.864757
22,0.196193,0.158675,0.956900,0.969500,76.079324
23,0.195379,0.154845,0.958000,0.965500,75.975581
24,0.193686,0.159246,0.956500,0.969100,75.835357
25,0.194012,0.193825,0.945200,0.966800,75.745456
26,0.185820,0.197945,0.951500,0.966000,76.086492
27,0.186362,0.186825,0.946500,0.969600,75.923472
28,0.190242,0.182070,0.956100,0.969200,76.063871
29,0.188573,0.186635,0.949300,0.966800,76.070453
30,0.186892,0.186487,0.953600,0.971200,76.066697
