epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,0.624308,0.407234,0.888600,0.890600,31.005341
2,0.416909,0.381562,0.895900,0.900900,23.277779
3,0.377480,0.352985,0.900800,0.906300,17.936763
4,0.341722,0.299389,0.919400,0.927900,30.993277
5,0.313065,0.279771,0.926400,0.934700,30.907154
6,0.301855,0.293816,0.920500,0.930600,31.068651
7,0.285153,0.245642,0.934400,0.946800,31.374904
8,0.279419,0.243404,0.938700,0.948200,31.189876
9,0.266420,0.255710,0.934000,0.948900,31.068641
10,0.259767,0.240680,0.939500,0.950900,31.184829
11,0.254781,0.236045,0.936600,0.951900,31.019654
12,0.253227,0.232206,0.937400,0.949200,31.079842
13,0.246024,0.205654,0.947900,0.957700,24.722992
14,0.245483,0.204848,0.944700,0.957700,17.976550
15,0.244109,0.227739,0.945100,0.960400,31.065201
16,0.241287,0.190870,0.952000,0.964900,31.142204
17,0.234972,0.205313,0.951100,0.961400,31.064867
18,0.231891,0.197746,0.943800,0.960800,31.111494
19,0.237651,0.252822,0.939500,0.952300,31.064972
20,0.236874,0.245145,0.943800,0.958300,31.119438
21,0.229815,0.206895,0.952900,0.964400,31.019229
22,0.228833,0.232613,0.940000,0.957000,30.985995
23,0.230142,0.184804,0.952300,0.961100,30.977736
24,0.224610,0.180236,0.954700,0.965100,25.722663
25,0.227615,0.202000,0.948100,0.958200,17.766049
26,0.222280,0.279158,0.941400,0.955800,17.770539
27,0.227580,0.215147,0.946100,0.960700,17.774583
28,0.221428,0.222097,0.950600,0.964600,17.768734
29,0.223954,0.205528,0.946900,0.961600,17.766403
30,0.218577,0.213425,0.952700,0.964100,17.775227
