epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,2.302851,2.302900,0.095333,0.095333,9.854954
2,2.302804,2.302953,0.097467,0.097467,9.438336
3,2.302819,2.302946,0.097200,0.097200,9.433886
4,2.302799,2.302958,0.095333,0.095333,9.423510
5,2.302758,2.302675,0.099867,0.099867,9.433492
6,2.302817,2.302524,0.097200,0.097200,9.432642
7,2.302809,2.302839,0.100000,0.100000,9.428583
8,2.302835,2.303047,0.095333,0.095333,9.426546
9,2.302769,2.302784,0.098400,0.098400,9.423159
10,2.302820,2.302727,0.099867,0.099867,9.425497
11,2.302832,2.302949,0.100000,0.100000,9.431168
12,2.302814,2.302488,0.100800,0.100800,9.429462
13,2.302779,2.303040,0.097200,0.097200,9.434667
14,2.302775,2.302819,0.100800,0.100800,9.421124
15,2.302763,2.303035,0.099867,0.099867,9.423921
16,2.302821,2.302909,0.098400,0.098400,9.423608
17,2.302806,2.302738,0.097467,0.097467,9.423553
18,2.302830,2.302923,0.095333,0.095333,9.427988
19,2.302850,2.302731,0.095333,0.095333,9.425545
20,2.302830,2.302691,0.097467,0.097467,9.431254
