epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,2.004274,1.858615,0.315467,0.318000,11.204364
2,1.787996,1.709029,0.369200,0.367867,10.797373
3,1.670631,1.622225,0.407200,0.405867,10.804434
4,1.617920,1.546404,0.426800,0.425067,10.812888
5,1.564193,1.553802,0.423733,0.424400,10.811713
6,1.517509,1.485761,0.448267,0.447867,10.815903
7,1.483831,1.471512,0.474667,0.478533,10.825172
8,1.454176,1.435255,0.487200,0.481067,10.831665
9,1.429125,1.438399,0.484533,0.484400,10.828417
10,1.403537,1.338877,0.525867,0.520933,10.819198
11,1.390759,1.367598,0.501600,0.498133,10.821228
12,1.367171,1.424619,0.489600,0.481867,10.818708
13,1.351586,1.311261,0.526000,0.526400,10.819787
14,1.340633,1.278990,0.541867,0.535467,10.822064
15,1.326709,1.251313,0.550667,0.541733,10.820289
16,1.309835,1.253140,0.544533,0.537733,10.832359
17,1.301855,1.210019,0.563867,0.560933,10.831033
18,1.279397,1.284217,0.545867,0.529600,10.832745
19,1.277586,1.230991,0.556933,0.557600,10.831841
20,1.265198,1.306945,0.543867,0.551200,10.832682
