epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,2.302932,2.302608,0.098400,0.098400,9.781201
2,2.302022,2.294577,0.143467,0.138400,9.366135
3,2.245850,2.073574,0.174000,0.178667,9.365246
4,2.004550,1.899829,0.256133,0.256933,9.389239
5,1.870563,1.818801,0.305067,0.303200,9.367265
6,1.791237,1.735526,0.337200,0.337333,9.366348
7,1.742352,1.672601,0.370533,0.370267,9.368526
8,1.690004,1.653850,0.385067,0.380667,9.382184
9,1.645408,1.625259,0.397200,0.398267,9.367847
10,1.616948,1.580966,0.410400,0.412533,9.369638
11,1.584552,1.645363,0.396933,0.399867,9.367751
12,1.557884,1.544839,0.427467,0.426800,9.373745
13,1.527644,1.545735,0.424400,0.423200,9.368823
14,1.502794,1.549732,0.429067,0.429600,9.369104
15,1.475145,1.510157,0.450267,0.449733,9.368329
16,1.449858,1.434706,0.470267,0.471600,9.369325
17,1.425242,1.441682,0.479867,0.475733,9.391175
18,1.393394,1.435004,0.472400,0.473200,9.410263
19,1.376822,1.398556,0.497200,0.494933,9.374103
20,1.341823,1.385924,0.506800,0.503733,9.369801
