epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,2.037083,1.888174,0.310400,0.305333,9.505281
2,1.818735,1.737127,0.372267,0.372933,9.108564
3,1.695023,1.665215,0.387600,0.389867,9.117128
4,1.618607,1.555335,0.430533,0.428400,9.126788
5,1.562511,1.577712,0.428400,0.427467,9.134012
6,1.512852,1.467619,0.464933,0.463600,9.135507
7,1.465420,1.461246,0.468267,0.467600,9.136873
8,1.415571,1.403388,0.490533,0.491333,9.138950
9,1.376329,1.401619,0.500933,0.500000,9.189342
10,1.344347,1.356045,0.513200,0.508000,9.188259
11,1.309065,1.351565,0.518267,0.515467,9.139950
12,1.281002,1.293677,0.540667,0.538133,9.148892
13,1.259459,1.331650,0.530133,0.528800,9.139072
14,1.228550,1.291875,0.534000,0.532533,9.140727
15,1.205969,1.243590,0.556667,0.557733,9.139946
16,1.188143,1.229753,0.566267,0.563200,9.139189
17,1.169893,1.229791,0.569067,0.565733,9.138601
18,1.150953,1.233924,0.568533,0.568533,9.141190
19,1.140017,1.253181,0.559867,0.558000,9.140388
20,1.118022,1.201961,0.579867,0.578400,9.139271
