epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,2.297744,2.277663,0.156267,0.158667,9.953378
2,2.276388,2.156454,0.204800,0.203333,9.536664
3,2.035238,1.929367,0.266800,0.268267,9.537438
4,1.895104,1.918303,0.257467,0.259200,9.541126
5,1.865286,1.848046,0.290400,0.289467,9.538790
6,1.794858,1.772981,0.340667,0.335067,9.540593
7,1.758942,1.735163,0.349067,0.347600,9.569176
8,1.724436,1.673810,0.373067,0.374133,9.607555
9,1.689417,1.646963,0.374800,0.376267,9.608864
10,1.669621,1.671823,0.379600,0.375067,9.611972
11,1.646320,1.673531,0.384133,0.383733,9.608398
12,1.626174,1.605950,0.408400,0.405733,9.606791
13,1.592535,1.579830,0.417333,0.416667,9.599300
14,1.568309,1.581952,0.409333,0.405600,9.591050
15,1.549994,1.547770,0.420800,0.419200,9.590861
16,1.524027,1.497550,0.447733,0.445200,9.589421
17,1.494914,1.482685,0.456000,0.455867,9.592149
18,1.471209,1.438248,0.468800,0.468533,9.597763
19,1.454854,1.419662,0.476000,0.474667,9.592029
20,1.425718,1.384036,0.495867,0.494800,9.589759
