epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,nan,nan,0.101467,0.101467,10.645642
2,nan,nan,0.101467,0.101467,10.220893
3,nan,nan,0.101467,0.101467,10.220086
4,nan,nan,0.101467,0.101467,10.221328
5,nan,nan,0.101467,0.101467,10.221045
6,nan,nan,0.101467,0.101467,10.221419
7,nan,nan,0.101467,0.101467,10.219907
8,nan,nan,0.101467,0.101467,10.220209
9,nan,nan,0.101467,0.101467,10.220974
10,nan,nan,0.101467,0.101467,10.219663
11,nan,nan,0.101467,0.101467,10.222053
12,nan,nan,0.101467,0.101467,10.222315
13,nan,nan,0.101467,0.101467,10.220807
14,nan,nan,0.101467,0.101467,10.220366
15,nan,nan,0.101467,0.101467,10.220905
16,nan,nan,0.101467,0.101467,10.220020
17,nan,nan,0.101467,0.101467,10.220549
18,nan,nan,0.101467,0.101467,10.218931
19,nan,nan,0.101467,0.101467,10.218574
20,nan,nan,0.101467,0.101467,10.219702
