epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,2.330534,2.243197,0.170800,0.228400,10.658680
2,1.932586,1.927328,0.280667,0.322933,10.247052
3,1.789348,1.815776,0.320667,0.350533,10.247438
4,1.740724,1.679099,0.377600,0.384533,10.250266
5,1.653765,1.762906,0.367600,0.391200,10.247821
6,1.611101,1.636679,0.405200,0.412667,10.248210
7,1.585249,1.637854,0.423600,0.439467,10.252767
8,1.551916,1.526488,0.441600,0.429067,10.246579
9,1.527546,1.540281,0.444000,0.456933,10.245749
10,1.492494,1.503946,0.452933,0.464533,10.247647
11,1.463054,1.520197,0.443333,0.464000,10.247745
12,1.449578,1.427764,0.471200,0.487733,10.249514
13,1.414968,1.349930,0.507067,0.516667,10.247584
14,1.391565,1.391083,0.502000,0.504267,10.246942
15,1.371609,1.319460,0.519867,0.525333,10.247187
16,1.356579,1.331165,0.529600,0.528133,10.245901
17,1.340689,1.249325,0.543067,0.544533,10.247506
18,1.321401,1.330842,0.524533,0.517467,10.247782
19,1.315773,1.222714,0.567333,0.572667,10.246166
20,1.304614,1.371779,0.520000,0.546800,10.250734
