epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,2.511300,2.334383,0.117600,257.981472
2,2.304376,2.282108,0.129600,256.356984
3,2.178848,2.514706,0.167600,256.529656
4,1.747262,1.710508,0.382800,256.625789
5,1.469151,1.659096,0.447000,256.624925
6,1.221280,1.588683,0.486600,256.607524
7,1.083326,1.030376,0.653600,256.771236
8,0.911944,1.863792,0.483000,256.754936
9,0.818137,0.932310,0.686600,256.728217
10,0.743323,0.790815,0.743400,256.764472
11,0.674296,1.161267,0.662400,256.711673
12,0.623958,0.700710,0.783600,256.848739
13,0.575476,0.762830,0.759200,256.824709
14,0.541190,0.708071,0.772200,256.857131
15,0.512723,0.899893,0.719000,256.821725
16,0.485103,0.598350,0.799800,256.823710
17,0.457817,0.677754,0.786000,256.843635
18,0.434589,0.636207,0.805600,256.841877
19,0.414415,0.568500,0.822800,256.842539
20,0.397119,0.714036,0.788800,256.755628
21,0.376639,0.565870,0.825600,256.781586
22,0.364496,0.548797,0.839200,256.789857
23,0.346636,0.586944,0.824800,256.824049
24,0.333772,0.579757,0.830800,256.841333
25,0.320473,0.628308,0.822200,256.851873
26,0.306994,0.594673,0.842000,256.724293
27,0.295271,0.598887,0.833600,256.843418
28,0.285115,0.543763,0.842000,257.017515
29,0.271005,0.697060,0.820800,256.800998
30,0.208894,0.506301,0.865400,256.842536
31,0.163090,0.504659,0.871400,256.693403
32,0.149220,0.515514,0.872000,256.719153
33,0.141010,0.530766,0.874000,256.956864
34,0.137241,0.548755,0.870000,256.781648
35,0.132683,0.548138,0.869200,256.804190
36,0.129738,0.550393,0.870000,256.758673
37,0.120549,0.574233,0.870600,256.790914
38,0.121122,0.584946,0.874800,256.781178
39,0.116825,0.585830,0.873600,256.706029
40,0.113131,0.577028,0.868400,256.760924
41,0.112514,0.586524,0.871600,256.674214
42,0.108385,0.606608,0.871800,256.682695
43,0.103903,0.585832,0.870400,256.797191
44,0.101438,0.623599,0.870800,256.742237
45,0.100106,0.609091,0.869400,256.731221
46,0.096879,0.616957,0.868400,256.722686
47,0.095371,0.624104,0.869800,256.685169
48,0.093675,0.622392,0.874000,256.783215
49,0.089537,0.648856,0.868800,256.754999
50,0.089606,0.644201,0.869600,256.794365
51,0.087186,0.640957,0.869000,256.734880
52,0.085953,0.662924,0.865200,256.748760
53,0.084573,0.645573,0.868600,256.734043
54,0.082661,0.659936,0.863600,256.732675
55,0.078716,0.650388,0.868800,256.730835
56,0.076609,0.675470,0.870800,256.707636
57,0.077781,0.686960,0.867400,256.794544
58,0.076556,0.677160,0.865800,256.740020
59,0.074515,0.681211,0.867200,256.753556
60,0.070971,0.688465,0.867400,256.749131
61,0.071579,0.699842,0.869600,256.693788
62,0.069555,0.688082,0.868600,256.710757
63,0.069625,0.697923,0.866600,256.769233
64,0.066078,0.703879,0.867400,256.775330
65,0.066913,0.702744,0.865800,256.784043
66,0.063902,0.715588,0.862800,256.689893
67,0.065400,0.708879,0.868600,256.809737
68,0.062139,0.710873,0.867600,256.773616
69,0.061167,0.738939,0.867400,256.802371
70,0.061212,0.721618,0.867800,256.843143
71,0.059639,0.734333,0.870200,256.767058
72,0.058138,0.738713,0.865200,256.747267
73,0.056847,0.755194,0.869800,256.816354
74,0.055232,0.775402,0.867000,256.785456
75,0.057650,0.742694,0.868200,256.783044
76,0.054914,0.761279,0.864400,256.681879
77,0.055125,0.778262,0.866400,256.828619
78,0.053702,0.743911,0.867000,256.751358
79,0.053829,0.753040,0.867200,256.788277
80,0.050961,0.771345,0.866800,256.840023
81,0.049667,0.737761,0.868800,256.772986
82,0.050159,0.759741,0.869600,256.743072
83,0.047628,0.798671,0.869000,256.769083
84,0.049204,0.767353,0.864800,256.775521
85,0.047495,0.786752,0.864400,256.737301
86,0.046886,0.767779,0.865800,256.789717
87,0.046175,0.786531,0.866800,256.903715
88,0.046125,0.773368,0.871200,256.847553
89,0.046284,0.768988,0.867000,256.824644
90,0.044629,0.799124,0.868400,256.816837
91,0.043115,0.804075,0.868600,256.766682
92,0.043359,0.816387,0.867600,256.744712
93,0.043200,0.811005,0.867800,256.766534
94,0.042153,0.809970,0.865000,256.785636
95,0.040824,0.828897,0.867400,256.788737
96,0.040739,0.819036,0.869600,256.852417
97,0.040095,0.844968,0.867200,256.756723
98,0.040225,0.850479,0.864600,256.775366
99,0.039622,0.843975,0.869000,256.814323
100,0.039977,0.808454,0.870400,256.772304
101,0.037395,0.815004,0.864200,256.819184
102,0.036549,0.834160,0.868600,256.664782
103,0.037259,0.834007,0.866800,256.709686
104,0.035970,0.838418,0.866200,256.779177
105,0.037479,0.815950,0.867000,256.761544
106,0.037443,0.826825,0.866400,256.756335
107,0.036600,0.833665,0.868000,256.713134
108,0.034348,0.830554,0.865800,256.700854
109,0.033742,0.805954,0.870000,256.793813
110,0.035529,0.813118,0.866800,256.833926
111,0.034229,0.849024,0.867400,256.832316
112,0.033816,0.857774,0.868000,256.816487
113,0.034787,0.831892,0.863400,256.714607
114,0.033838,0.854925,0.866600,256.811192
115,0.036465,0.856525,0.861800,256.762225
116,0.033306,0.864640,0.865400,256.848026
117,0.031130,0.843776,0.866000,256.798974
118,0.032525,0.827956,0.868400,256.681043
119,0.032355,0.854907,0.869000,256.663434
120,0.031777,0.866091,0.868200,256.759209
121,0.030067,0.821974,0.872800,256.774098
122,0.031118,0.873325,0.866800,256.767550
123,0.029727,0.851399,0.865000,256.806104
124,0.029839,0.866384,0.867400,256.696782
125,0.028643,0.843902,0.868600,256.663216
126,0.027343,0.867457,0.869000,256.771419
127,0.029574,0.847076,0.866000,256.736537
128,0.028424,0.877447,0.865800,256.709499
129,0.027385,0.839558,0.867600,256.655285
130,0.027323,0.856521,0.866800,256.745744
131,0.029671,0.860646,0.869200,256.782488
132,0.028165,0.836671,0.866800,256.716075
133,0.027906,0.846413,0.870400,256.771778
134,0.027465,0.859463,0.867200,256.779264
135,0.027703,0.876671,0.867400,256.692185
136,0.026673,0.874309,0.871000,256.827749
137,0.026573,0.898208,0.868400,256.746561
138,0.027093,0.849032,0.873800,256.721375
139,0.026363,0.854313,0.871000,256.737715
140,0.026935,0.859876,0.870800,256.745545
141,0.025281,0.875609,0.869000,256.770993
142,0.024259,0.872659,0.868200,256.724655
143,0.025827,0.896547,0.867400,256.798220
144,0.024318,0.869586,0.870200,256.747621
145,0.024822,0.861778,0.870200,256.782022
146,0.023632,0.871371,0.869000,256.742309
147,0.023782,0.899724,0.868800,256.830069
148,0.023756,0.850821,0.871000,256.874561
