epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,2.031285,1.605952,0.412200,458.389392
2,1.421545,1.349428,0.512400,453.559170
3,1.216712,1.143318,0.593200,453.326640
4,1.061178,1.032278,0.644200,453.321574
5,0.936037,0.907279,0.690200,453.591921
6,0.829689,0.820367,0.724000,454.784449
7,0.742565,0.762975,0.740400,454.250161
8,0.677151,0.692891,0.772000,455.579114
9,0.620366,0.692297,0.769800,456.708473
10,0.572065,0.652297,0.787400,454.780641
11,0.531357,0.642758,0.795600,452.742326
12,0.497884,0.582961,0.812600,451.985461
13,0.463748,0.580593,0.811600,455.115770
14,0.431220,0.580103,0.817000,454.235734
15,0.406875,0.527464,0.836200,457.596911
16,0.382301,0.553837,0.833000,453.154809
17,0.357969,0.556939,0.833400,455.009316
18,0.336079,0.512566,0.846800,454.607926
19,0.314884,0.519540,0.843600,455.208586
20,0.297511,0.565825,0.835800,453.960213
21,0.275818,0.520213,0.845600,456.192278
22,0.259142,0.505231,0.852800,452.932532
23,0.243530,0.630350,0.826200,453.865731
24,0.231368,0.520754,0.854600,452.472894
25,0.216761,0.511917,0.852600,452.201461
26,0.203833,0.542699,0.856800,453.367716
27,0.194732,0.628987,0.843000,452.347241
28,0.181942,0.624656,0.842600,452.201588
29,0.175078,0.564259,0.859600,453.787662
30,0.163829,0.581462,0.849200,455.875397
31,0.158637,0.561561,0.858800,453.459939
32,0.092175,0.496674,0.881400,455.340502
33,0.066836,0.508903,0.879600,458.838328
34,0.060415,0.521487,0.882400,453.873249
35,0.055085,0.533114,0.883600,453.394191
36,0.051861,0.535351,0.884000,453.294199
37,0.047786,0.555707,0.885600,456.872919
38,0.046705,0.563876,0.886200,453.363127
39,0.044466,0.573310,0.885200,455.580586
40,0.042414,0.585996,0.884600,454.680127
41,0.039997,0.573827,0.886200,458.185575
42,0.038859,0.573673,0.888000,454.170053
43,0.038101,0.594435,0.883400,452.361563
44,0.038448,0.611160,0.881800,453.399583
45,0.036206,0.596880,0.886000,453.133309
46,0.035944,0.601700,0.885200,456.397760
47,0.035034,0.613773,0.883200,454.989614
48,0.034061,0.622510,0.882200,452.758327
49,0.032822,0.603216,0.883800,453.420311
50,0.031112,0.609917,0.886000,454.668039
51,0.031596,0.627710,0.886800,455.668702
52,0.030433,0.637335,0.884200,453.803018
53,0.030113,0.655310,0.882400,453.950093
54,0.029584,0.632469,0.884200,455.412472
55,0.028691,0.654613,0.885400,453.742267
56,0.027583,0.656473,0.885400,455.027847
57,0.027541,0.643754,0.885000,457.198559
58,0.027222,0.657167,0.886600,455.340027
59,0.026555,0.663436,0.884200,458.421536
60,0.026700,0.645469,0.886800,453.249946
61,0.024818,0.658319,0.884600,453.779149
62,0.024412,0.685297,0.882200,455.709112
63,0.025376,0.666972,0.887200,456.276318
64,0.025135,0.672955,0.884800,453.231855
65,0.023439,0.687922,0.886400,455.069097
66,0.023766,0.673427,0.883600,454.050145
67,0.023048,0.681706,0.881400,454.074325
68,0.024027,0.691702,0.882600,454.050434
69,0.022538,0.686077,0.885600,455.504291
70,0.022522,0.691692,0.884800,453.047050
71,0.021896,0.680256,0.883200,458.001118
72,0.021324,0.694315,0.886200,456.752668
73,0.020242,0.691896,0.884400,455.156618
74,0.020464,0.681902,0.887000,457.654058
75,0.021999,0.707370,0.881800,454.171956
76,0.020773,0.688283,0.884600,453.360279
77,0.020120,0.696795,0.883200,456.133192
78,0.020830,0.695136,0.884000,453.724127
79,0.020186,0.696898,0.883800,455.793317
80,0.020599,0.695647,0.882600,455.543318
81,0.019546,0.697415,0.883200,453.518970
82,0.018544,0.697584,0.884800,453.338501
83,0.019125,0.711478,0.881600,454.191974
84,0.018038,0.688642,0.885600,458.424184
85,0.018434,0.697183,0.883000,455.761319
86,0.017824,0.699531,0.885200,454.161824
87,0.017462,0.704519,0.883800,452.803053
88,0.018006,0.697899,0.883200,455.718604
89,0.017609,0.701760,0.883000,456.619192
90,0.017707,0.704150,0.884400,454.408310
91,0.017389,0.699786,0.885800,454.247241
92,0.016622,0.695946,0.884600,454.125927
93,0.016946,0.681673,0.885800,455.491144
94,0.016317,0.699828,0.886200,455.944925
95,0.016264,0.700868,0.885200,455.277968
96,0.017208,0.714473,0.885400,455.688781
97,0.016547,0.708414,0.881400,456.297820
98,0.016790,0.761895,0.883400,455.754694
99,0.016172,0.722480,0.879600,454.729882
100,0.016790,0.702213,0.883800,455.813740
101,0.015219,0.718070,0.883200,456.015734
102,0.015978,0.735349,0.882200,455.652321
103,0.014923,0.732991,0.885000,455.190527
104,0.015267,0.717835,0.882200,455.433849
105,0.014643,0.729624,0.882800,454.774585
106,0.014700,0.725559,0.884200,455.810097
107,0.014461,0.720077,0.884800,455.723301
108,0.013964,0.734670,0.882600,457.955573
109,0.013570,0.735506,0.883200,456.046752
110,0.014119,0.718648,0.886200,457.882332
