epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,2.613841,2.191857,0.169600,454.808870
2,1.798779,1.805937,0.362800,454.490482
3,1.513448,1.658922,0.451000,456.139951
4,1.278624,1.177644,0.596400,457.842560
5,1.110151,1.075725,0.630400,459.311888
6,0.983566,0.985314,0.670000,460.099841
7,0.904104,0.868265,0.715400,460.758374
8,0.844029,0.860397,0.718800,462.050209
9,0.792704,0.937006,0.707000,463.644835
10,0.758425,0.781201,0.742000,465.242810
11,0.722661,0.760147,0.760400,465.007365
12,0.692587,0.681003,0.780400,465.389560
13,0.663955,0.763708,0.762000,465.519566
14,0.646963,0.739657,0.757800,466.234998
15,0.624582,0.720967,0.781000,466.191401
16,0.605359,0.735163,0.774200,467.229737
17,0.587990,0.651777,0.790600,467.940583
18,0.570313,0.624126,0.795400,468.304073
19,0.553569,0.621583,0.806200,468.765648
20,0.539036,0.628161,0.800800,469.867497
21,0.527305,0.599039,0.808200,471.530509
22,0.514998,0.629861,0.803800,472.221581
23,0.499952,0.623733,0.807400,472.673815
24,0.490572,0.600763,0.815600,475.422059
25,0.478910,0.562403,0.821600,474.837693
26,0.467180,0.557238,0.823400,474.358380
27,0.455703,0.634325,0.815000,475.155175
28,0.448241,0.557383,0.833200,476.120276
29,0.434672,0.570995,0.832800,475.747655
30,0.426195,0.548035,0.834400,475.256316
31,0.414602,0.549535,0.831400,475.617716
32,0.409152,0.689288,0.794400,477.104697
33,0.403265,0.547076,0.833000,478.947032
34,0.396611,0.522395,0.843600,479.227450
35,0.391198,0.539680,0.844800,480.164951
36,0.383253,0.521776,0.844000,480.596772
37,0.374008,0.559524,0.833200,481.182027
38,0.367879,0.519190,0.842800,482.571437
39,0.361424,0.549437,0.843400,483.607670
40,0.354721,0.532557,0.844000,483.992332
41,0.351561,0.534863,0.842800,485.624577
42,0.343612,0.514515,0.852600,491.563033
43,0.338721,0.585563,0.834000,495.096313
44,0.334166,0.562786,0.838800,495.381665
45,0.325779,0.525913,0.849400,495.053202
46,0.324155,0.542720,0.842800,495.190257
47,0.317357,0.511435,0.853600,495.548700
48,0.311147,0.502403,0.855200,495.646920
49,0.307343,0.486775,0.860200,495.823970
50,0.305972,0.543647,0.842800,496.530690
51,0.260313,0.440059,0.875400,496.650651
52,0.223484,0.448998,0.876200,496.682682
53,0.217951,0.461057,0.880800,496.907784
54,0.212479,0.473595,0.878000,496.898079
55,0.210888,0.466975,0.877600,493.644209
56,0.206264,0.468454,0.877400,487.159403
57,0.202859,0.474161,0.876400,485.979728
58,0.200663,0.467775,0.878600,490.688376
59,0.198162,0.480211,0.877400,496.107283
60,0.197170,0.494132,0.878400,495.553477
61,0.194677,0.477725,0.879200,492.920845
62,0.194782,0.473553,0.878800,483.561395
63,0.193585,0.481079,0.877400,482.481260
64,0.192181,0.482774,0.878400,482.245144
65,0.189106,0.492792,0.878200,481.260547
66,0.189043,0.491865,0.876800,479.677922
67,0.187900,0.492478,0.875000,478.440403
68,0.186714,0.495933,0.875200,477.205826
69,0.186891,0.481321,0.879600,476.990756
70,0.184612,0.485979,0.878000,475.146664
71,0.182231,0.484917,0.881000,474.826121
72,0.180348,0.483630,0.880000,473.475119
73,0.180061,0.493816,0.883000,471.497130
74,0.177578,0.488185,0.881200,470.766840
75,0.180141,0.491681,0.879400,470.990648
76,0.177912,0.485993,0.880000,470.064508
77,0.179264,0.486933,0.880400,469.691291
78,0.174047,0.509024,0.879000,469.296937
