epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,2.095592,1.768019,0.359200,304.477767
2,1.496592,1.624890,0.459600,302.795485
3,1.281416,1.463642,0.527400,302.787878
4,1.104258,1.116341,0.619200,302.772631
5,0.973952,0.959190,0.679800,302.738889
6,0.862073,0.899225,0.700600,302.663666
7,0.769851,0.746411,0.744200,302.638912
8,0.704436,0.747814,0.760000,302.670293
9,0.646789,0.723546,0.764400,302.623248
10,0.605629,0.666706,0.793400,302.800115
11,0.569909,0.592378,0.804000,303.506138
12,0.540656,0.606052,0.811200,303.336563
13,0.516049,0.646863,0.797400,302.495447
14,0.492296,0.519335,0.831600,302.760690
15,0.470857,0.543855,0.825400,303.320452
16,0.453856,0.560197,0.826800,302.515919
17,0.434458,0.588992,0.818000,302.572911
18,0.419521,0.536512,0.830000,302.707034
19,0.405704,0.564182,0.821400,302.575225
20,0.398200,0.504398,0.845600,302.601301
21,0.381552,0.496916,0.851000,302.633778
22,0.369765,0.518034,0.839600,302.584450
23,0.360973,0.509193,0.843400,302.570454
24,0.351702,0.467871,0.855400,302.587018
25,0.341726,0.496073,0.852400,302.617705
26,0.332021,0.484184,0.860200,302.450351
27,0.323496,0.473722,0.860400,302.426860
28,0.314156,0.447639,0.867600,302.510869
29,0.307511,0.487388,0.853400,302.422999
30,0.300785,0.440777,0.863000,302.500062
31,0.294796,0.426344,0.870200,302.513463
32,0.286155,0.449026,0.870400,302.430212
33,0.277700,0.533896,0.853200,302.492427
34,0.277712,0.464115,0.864200,302.449471
35,0.271929,0.411002,0.883800,302.416474
36,0.260681,0.416691,0.878000,302.349808
37,0.258054,0.459440,0.867600,302.386869
38,0.250946,0.449261,0.869600,302.398298
39,0.246676,0.421670,0.878800,302.466213
40,0.241677,0.461091,0.870600,302.495760
41,0.235877,0.404371,0.883400,302.491249
42,0.232065,0.428845,0.879800,302.482041
43,0.229407,0.428378,0.881200,302.419226
44,0.223593,0.454741,0.877000,302.431040
45,0.220129,0.404205,0.884000,302.544873
46,0.213539,0.452319,0.874800,303.106281
47,0.211859,0.435712,0.880000,302.426037
48,0.208919,0.416440,0.882600,302.391227
49,0.206047,0.421756,0.888400,303.447696
50,0.202028,0.429035,0.883800,303.483620
51,0.150065,0.366287,0.907000,303.477495
52,0.127011,0.363500,0.905000,303.453007
53,0.120913,0.371622,0.903800,302.411452
54,0.118036,0.375961,0.908200,302.482168
55,0.114888,0.394042,0.905200,302.463188
56,0.112077,0.385784,0.903800,302.435735
57,0.111482,0.382972,0.907400,302.472637
58,0.109061,0.399322,0.903200,302.468732
59,0.108397,0.399995,0.905600,302.579682
60,0.106955,0.409155,0.905200,302.503577
61,0.106296,0.407525,0.906000,302.569400
62,0.102549,0.416154,0.904800,302.778548
63,0.104739,0.411356,0.904800,302.392300
64,0.104269,0.415465,0.905200,302.412862
65,0.103096,0.414645,0.906800,302.408504
66,0.101158,0.403661,0.907800,302.454843
67,0.099830,0.411567,0.907000,302.409203
68,0.099356,0.410269,0.907000,302.405535
69,0.098307,0.414896,0.906000,302.433332
70,0.096277,0.415016,0.906600,302.523808
71,0.097458,0.421144,0.906400,302.487613
72,0.095143,0.416881,0.908000,302.465639
73,0.097130,0.425945,0.904800,302.397522
74,0.093144,0.421015,0.906400,302.383262
75,0.095199,0.427919,0.908000,302.409599
76,0.092281,0.425961,0.904600,302.421091
77,0.092008,0.432614,0.906800,302.408185
78,0.091468,0.423234,0.905000,302.397016
79,0.091872,0.445015,0.906000,302.397356
80,0.092344,0.433193,0.904400,302.857980
81,0.090132,0.419942,0.908400,302.388452
82,0.089010,0.429247,0.907400,303.424608
