epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,1.997215,1.650748,0.401800,284.353866
2,1.285413,1.305810,0.561800,282.972864
3,0.974896,0.970579,0.675600,283.012275
4,0.774837,0.687079,0.773800,283.054607
5,0.663916,0.673739,0.784400,283.034204
6,0.590720,0.654088,0.790600,283.012221
7,0.537583,0.593102,0.806000,283.019127
8,0.494210,0.536044,0.830000,283.051076
9,0.462175,0.590209,0.818800,283.005194
10,0.433092,0.531585,0.836600,282.981556
11,0.410312,0.515834,0.844200,283.016834
12,0.388648,0.506539,0.842400,283.042076
13,0.373200,0.492516,0.846200,283.040367
14,0.353949,0.510264,0.843800,283.092217
15,0.337359,0.489904,0.848400,283.087478
16,0.324692,0.453224,0.858000,283.088787
17,0.308596,0.498971,0.844800,283.072650
18,0.297765,0.415184,0.876200,283.097410
19,0.290459,0.431814,0.875200,283.058189
20,0.279026,0.449344,0.863800,283.079602
21,0.267953,0.428166,0.878200,283.096139
22,0.258038,0.432491,0.873200,283.060292
23,0.250490,0.485051,0.864000,283.058936
24,0.245837,0.507421,0.853400,283.094305
25,0.236265,0.447029,0.868000,283.067625
26,0.228592,0.437740,0.879800,283.074430
27,0.219444,0.432664,0.881200,283.112600
28,0.212942,0.468266,0.873800,283.104144
29,0.204266,0.412419,0.882400,283.146334
30,0.202688,0.472875,0.869200,283.095656
31,0.196058,0.468185,0.874600,283.109775
32,0.188386,0.494044,0.872800,283.091259
33,0.183557,0.484934,0.873000,283.080863
34,0.178530,0.489135,0.876200,283.079365
35,0.174901,0.470186,0.872600,283.032832
36,0.167651,0.466073,0.879000,283.073016
37,0.160241,0.508998,0.879400,283.097329
38,0.161413,0.493235,0.876200,283.135454
39,0.154922,0.447022,0.885800,283.162922
40,0.149109,0.496767,0.873400,283.232996
41,0.148063,0.486805,0.882600,283.217431
42,0.144712,0.443081,0.890800,283.188753
43,0.140218,0.503755,0.875000,283.196151
44,0.138151,0.490580,0.880200,283.197092
45,0.136416,0.524945,0.877400,283.210111
46,0.131896,0.511079,0.882200,283.229749
47,0.103758,0.426344,0.905200,283.217437
48,0.066749,0.435626,0.908000,283.233488
49,0.059337,0.445953,0.907800,283.233112
50,0.054570,0.451808,0.909400,283.263926
51,0.051512,0.464373,0.907000,283.317477
52,0.048975,0.463139,0.905000,283.270506
53,0.046654,0.487691,0.905200,283.215194
54,0.044567,0.484153,0.907800,283.197680
55,0.043563,0.505060,0.906000,283.207760
56,0.044409,0.519807,0.904800,283.207188
