epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,21.621391,18.942989,0.233200,296.536558
2,16.309856,14.151802,0.399400,295.684982
3,12.528159,11.389285,0.364000,296.216215
4,9.685520,8.555105,0.529400,296.130754
5,7.551301,7.043036,0.548400,295.532704
6,5.952642,5.240919,0.634000,295.613099
7,4.723622,4.248073,0.651400,296.322431
8,3.801998,3.305927,0.712200,295.882255
9,3.104865,3.142656,0.645800,298.051676
10,2.562840,2.392133,0.707400,296.342937
11,2.152832,1.941466,0.742200,296.433642
12,1.841742,1.782702,0.740200,296.172443
13,1.605772,1.711129,0.745800,297.332258
14,1.430955,1.399073,0.767200,298.373236
15,1.292246,1.253852,0.783800,296.263342
16,1.188209,1.241196,0.778400,296.117743
17,1.100360,1.195095,0.763000,296.206231
18,1.039790,0.998393,0.804200,296.195320
19,0.989631,0.952003,0.808000,295.999488
20,0.959274,1.099895,0.757200,296.308049
21,0.925004,0.960179,0.803400,296.034304
22,0.895765,0.894728,0.823200,296.361432
23,0.881721,0.842829,0.833400,296.024475
24,0.865756,1.084677,0.768800,296.680160
25,0.857853,0.979598,0.796600,296.153142
26,0.841568,0.873815,0.824600,296.090718
27,0.840696,1.180397,0.742000,295.974296
28,0.831587,0.845456,0.828200,296.047594
29,0.826139,0.778771,0.852200,295.743009
30,0.821011,1.040919,0.769400,295.877933
31,0.816483,1.100660,0.774200,295.898457
32,0.812818,0.843497,0.823400,296.419702
33,0.810385,0.781052,0.846400,295.416723
34,0.809506,0.878446,0.826400,295.652399
35,0.802825,0.872357,0.819600,296.524918
36,0.801971,0.985970,0.807000,295.729350
37,0.808954,0.927844,0.827000,296.235037
38,0.797822,0.848017,0.829400,296.011594
39,0.796400,0.809927,0.845600,296.659713
40,0.795843,0.873549,0.820800,296.468815
41,0.785147,0.937232,0.799600,295.973226
42,0.788859,0.899882,0.819600,296.326660
43,0.786378,0.814791,0.835400,295.887822
44,0.783383,0.896504,0.811600,296.188365
45,0.781247,1.098570,0.770600,296.012859
46,0.778595,1.012905,0.788800,296.327586
47,0.787019,0.966341,0.794600,296.290593
48,0.783390,0.987450,0.814400,295.659129
49,0.781904,0.857006,0.826400,297.455103
50,0.778506,0.818816,0.838200,297.373287
51,0.782385,0.947091,0.805600,295.918967
52,0.773936,1.022531,0.802200,295.516539
53,0.776963,0.741969,0.860800,295.705763
54,0.770094,0.986959,0.794200,295.694763
55,0.775738,0.999584,0.794800,295.598885
56,0.784239,0.824352,0.844200,295.998012
57,0.776124,0.836606,0.842400,298.336065
58,0.763312,1.090225,0.778200,297.532614
59,0.775891,0.925085,0.826400,295.578025
60,0.766105,0.791570,0.846200,296.346024
61,0.763841,0.881604,0.823400,295.568177
62,0.767155,0.793508,0.855600,296.145384
63,0.768485,0.795565,0.852800,296.656376
64,0.754550,0.729616,0.874000,298.834893
65,0.761734,0.800769,0.853800,297.205013
66,0.761974,0.798248,0.845600,297.687835
67,0.756680,0.742276,0.867800,297.512060
68,0.756822,0.766602,0.854600,298.025072
69,0.758628,0.812979,0.840000,297.585269
70,0.757649,0.999558,0.773000,297.774164
71,0.764647,0.983079,0.812200,298.246324
72,0.765612,1.071925,0.767600,298.215585
73,0.758908,0.787650,0.849000,295.744373
74,0.754024,0.854909,0.825000,296.011448
75,0.759676,0.828749,0.843200,298.183177
76,0.760610,0.832980,0.850600,296.344748
77,0.757457,0.797672,0.850200,296.113475
78,0.748447,0.886553,0.823800,295.635272
79,0.749679,0.878868,0.827000,295.545301
80,0.754677,0.767137,0.849600,296.264290
81,0.754439,0.801232,0.849200,295.617210
82,0.754096,0.778512,0.861400,295.696967
83,0.754618,0.805362,0.841600,296.157606
84,0.747862,0.913570,0.826200,296.717017
85,0.745593,0.985995,0.804600,296.279155
86,0.747521,0.931948,0.806600,295.663402
87,0.750725,0.786457,0.855200,296.012738
88,0.747030,0.844843,0.832600,296.026940
89,0.749331,0.768519,0.856600,296.517978
90,0.738847,0.793534,0.844200,295.866948
91,0.741054,0.865893,0.831600,295.968825
92,0.749533,1.014996,0.800000,295.681070
93,0.746572,0.750839,0.866200,295.970969
94,0.738986,0.689773,0.879400,295.841636
95,0.746803,1.104278,0.777000,295.750077
96,0.742640,0.772631,0.853600,296.036840
97,0.740260,0.841995,0.838600,296.326374
98,0.744632,0.793833,0.855200,297.023276
99,0.745577,1.036284,0.784000,298.093835
100,0.754809,0.983446,0.811200,295.686812
1,0.624478,0.608908,0.909800,443.187813
2,0.572735,0.578612,0.915000,440.454212
3,0.550869,0.558118,0.917400,440.931330
4,0.536636,0.588030,0.914800,441.089637
5,0.521226,0.560544,0.919200,441.289695
6,0.503855,0.548340,0.921000,440.940922
7,0.493342,0.542212,0.921200,441.122350
8,0.484213,0.517208,0.925800,441.275882
9,0.474270,0.570941,0.914400,441.527187
10,0.465228,0.539861,0.925200,443.691475
11,0.456972,0.508320,0.922400,442.538302
12,0.447567,0.528374,0.918800,442.963153
13,0.438764,0.540234,0.916800,443.182257
14,0.430632,0.499224,0.925800,443.983610
15,0.426191,0.508997,0.922200,446.019421
16,0.415567,0.519669,0.922000,445.370922
17,0.411548,0.523680,0.915200,446.116978
18,0.405727,0.489632,0.924200,447.121390
19,0.401057,0.479272,0.926600,448.037448
20,0.398140,0.503959,0.922600,449.206010
21,0.392033,0.485470,0.925000,450.246763
22,0.385728,0.487576,0.920600,450.378255
23,0.382314,0.491910,0.921800,450.533814
24,0.379753,0.501324,0.919000,451.605387
25,0.375062,0.521598,0.915800,454.054460
26,0.370799,0.475475,0.923600,456.305407
27,0.368765,0.497888,0.920600,456.060175
28,0.361158,0.502382,0.919400,455.470979
29,0.361515,0.456160,0.927400,453.419068
30,0.356720,0.485195,0.918600,453.389947
31,0.357508,0.458169,0.924600,454.846516
32,0.351089,0.433850,0.925600,453.398120
33,0.349138,0.435051,0.921000,451.290772
34,0.350224,0.460606,0.920200,449.759383
35,0.346494,0.481347,0.916600,449.217923
36,0.345726,0.517880,0.911000,450.642209
37,0.339526,0.525161,0.913200,449.087882
38,0.338875,0.463207,0.923800,449.328775
39,0.339892,0.490919,0.912800,449.932202
40,0.341028,0.485413,0.915400,451.609564
41,0.336643,0.536600,0.895800,454.123976
42,0.339205,0.446594,0.922000,451.268414
43,0.332585,0.472086,0.914800,449.083081
44,0.334027,0.434832,0.920600,447.404455
45,0.334349,0.451875,0.920400,446.889331
46,0.331174,0.469331,0.912600,447.318198
47,0.333509,0.487360,0.910600,446.377873
48,0.330393,0.498696,0.909400,445.416548
49,0.327627,0.433830,0.922600,444.934102
50,0.324778,0.446559,0.919600,445.076320
51,0.324354,0.457072,0.921200,445.704010
52,0.323199,0.480594,0.914600,446.414777
53,0.320435,0.439478,0.919600,444.203113
54,0.321972,0.481252,0.911400,443.444540
55,0.324854,0.481926,0.915000,442.895317
56,0.323063,0.484999,0.915000,442.570498
57,0.324292,0.460335,0.914400,443.627190
58,0.323406,0.466848,0.914600,442.556549
59,0.324593,0.486901,0.908800,441.893358
60,0.317250,0.434577,0.919800,441.595090
61,0.319648,0.448161,0.925600,441.155170
62,0.319740,0.473763,0.920400,442.173458
63,0.318661,0.412745,0.922000,441.702065
64,0.318093,0.465617,0.920000,441.235196
65,0.320835,0.480443,0.912200,440.654775
66,0.318122,0.435984,0.922400,440.768056
67,0.314940,0.431023,0.924000,441.502479
68,0.313819,0.426254,0.924600,441.530334
69,0.316446,0.434087,0.921800,440.932677
70,0.319574,0.863162,0.818600,440.901702
71,0.314164,0.409394,0.927000,441.689446
72,0.314158,0.434340,0.922800,440.604560
73,0.313846,0.449467,0.917400,441.574002
74,0.313374,0.410799,0.924800,440.548454
75,0.313842,0.418045,0.928400,440.504092
76,0.311490,0.480081,0.912200,440.578820
77,0.313047,0.450980,0.914600,440.518904
78,0.313651,0.436608,0.919000,441.172935
79,0.310004,0.424798,0.928600,440.946844
80,0.315043,0.463682,0.903600,440.976955
81,0.312164,0.455308,0.915000,440.988697
82,0.314461,0.472113,0.918000,440.607421
83,0.310144,0.523790,0.898200,440.635160
84,0.313967,0.456434,0.923000,440.986896
85,0.306675,0.445397,0.917200,440.608465
86,0.311212,0.431714,0.924400,440.614954
87,0.313348,0.438060,0.917200,440.574499
88,0.315691,0.431913,0.922000,440.916816
89,0.313426,0.411111,0.923000,440.974791
90,0.306041,0.413689,0.921200,440.531866
91,0.309271,0.454258,0.921000,440.924490
92,0.313428,0.440551,0.915800,440.573386
93,0.308189,0.442742,0.920200,440.612329
94,0.311225,0.456442,0.919000,440.607410
95,0.320569,0.461794,0.911600,440.974381
96,0.312796,0.423501,0.926800,441.003324
97,0.305697,0.421983,0.932200,440.623732
98,0.310107,0.409415,0.927000,440.645658
99,0.303671,0.525986,0.904400,440.602635
100,0.310146,0.452397,0.920200,440.628829
101,0.309606,0.418475,0.924400,440.998518
102,0.309897,0.429794,0.921600,441.012992
103,0.306131,0.429339,0.924000,441.226781
104,0.306263,0.457139,0.919400,440.573192
105,0.308442,0.461727,0.911000,440.930024
106,0.308839,0.421648,0.924200,440.585233
107,0.304058,0.545284,0.901400,440.908505
108,0.313251,0.427214,0.922400,440.955581
109,0.309545,0.473736,0.916800,440.991996
110,0.313365,0.471481,0.917800,440.800719
111,0.307815,0.408873,0.922600,440.670819
112,0.300447,0.472387,0.914000,441.010805
113,0.307377,0.421470,0.922800,440.964169
114,0.308146,0.430109,0.925200,440.981052
115,0.311008,0.595904,0.872600,440.608124
116,0.305367,0.417403,0.925600,440.963388
117,0.307741,0.439577,0.917000,440.978289
118,0.306383,0.441992,0.923200,440.954386
119,0.309883,0.461201,0.918400,440.626450
120,0.310968,0.441409,0.920400,440.962335
121,0.304890,0.413305,0.924400,440.970334
122,0.303264,0.417483,0.925200,440.633362
123,0.303601,0.433323,0.922200,441.021802
124,0.303108,0.437982,0.925200,440.988579
125,0.305135,0.418258,0.927200,440.972376
126,0.305293,0.432016,0.923200,440.975782
127,0.303085,0.443027,0.925200,440.612088
128,0.301226,0.473597,0.913400,440.606890
129,0.304015,0.410467,0.926600,440.988435
130,0.304695,0.470673,0.917600,440.616282
131,0.305981,0.442152,0.916200,441.003790
132,0.307770,0.475366,0.916800,440.595750
133,0.305334,0.494337,0.916600,440.965811
134,0.303805,0.435106,0.923400,440.632677
135,0.302577,0.440905,0.919600,440.565856
136,0.308284,0.424904,0.923000,440.921376
137,0.303709,0.512123,0.910400,440.896455
138,0.304877,0.427021,0.921400,440.508949
139,0.307684,0.466604,0.917200,440.556328
140,0.302703,0.415018,0.926400,440.526189
141,0.303919,0.583083,0.882600,440.530871
142,0.302731,0.417213,0.927000,440.867101
143,0.302647,0.487121,0.912600,440.618437
144,0.303052,0.470752,0.921400,440.986075
145,0.302566,0.484458,0.909800,440.973881
146,0.300764,0.441665,0.925000,440.563810
147,0.301583,0.428631,0.925800,440.576285
148,0.301726,0.433963,0.923600,440.610810
149,0.299058,0.440637,0.923600,440.531905
150,0.307968,0.449967,0.922000,441.806630
151,0.300669,0.440269,0.920600,440.619231
152,0.298446,0.469747,0.920600,440.595859
153,0.304311,0.488501,0.921600,440.618808
154,0.300134,0.453962,0.919400,440.571564
155,0.309576,0.427471,0.925200,441.037203
156,0.300034,0.388528,0.934000,440.959976
157,0.302397,0.487528,0.910200,440.574204
158,0.297757,0.410217,0.925800,440.957335
159,0.302189,0.463387,0.924000,441.025062
160,0.302277,0.447255,0.920800,440.612890
161,0.303442,0.464471,0.915400,441.059068
162,0.301540,0.441848,0.918600,440.623336
163,0.303852,0.429412,0.923600,440.601221
164,0.298380,0.446192,0.923600,440.594515
165,0.298087,0.435066,0.921600,440.968865
