epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,4.719956,3.958810,0.253800,440.377814
2,3.617604,3.208188,0.349200,437.216710
3,2.989685,2.876589,0.392400,439.272502
4,2.516768,2.242657,0.490800,438.335768
5,2.116455,1.941011,0.560200,438.068345
6,1.821049,1.752292,0.583000,436.925165
7,1.593789,1.513718,0.662600,437.359689
8,1.390801,1.478608,0.654400,436.771877
9,1.256938,1.320997,0.691400,436.615746
10,1.161360,1.121210,0.746400,436.922605
11,1.089777,1.132821,0.728200,436.356508
12,1.022756,1.146065,0.727800,435.770992
13,0.991113,0.949127,0.788000,436.581417
14,0.942403,0.902517,0.805200,436.380859
15,0.911807,1.216440,0.732000,436.181741
16,0.897548,0.986588,0.780200,435.477984
17,0.866558,0.868165,0.818600,435.802616
18,0.851622,1.173343,0.742800,436.570347
19,0.841125,0.915101,0.799000,438.185443
20,0.833638,1.017753,0.784200,438.899804
21,0.813557,0.857351,0.831000,436.882294
22,0.809366,0.981014,0.804800,437.550121
23,0.800300,0.848439,0.831000,436.924231
24,0.797228,0.905298,0.815000,437.991245
25,0.786058,0.988336,0.795000,437.114190
26,0.787761,1.247191,0.730200,435.989224
27,0.782562,1.090234,0.782400,435.628259
28,0.779755,0.793288,0.846200,436.700637
29,0.770178,1.024681,0.799400,436.530238
30,0.766558,0.858220,0.843400,436.453229
31,0.768331,1.066328,0.780800,437.544231
32,0.769425,0.871749,0.833400,435.725566
33,0.754165,0.978024,0.794200,436.748640
34,0.761981,0.829234,0.857200,437.570296
35,0.750549,0.928608,0.822200,438.510526
36,0.750318,0.756280,0.872400,438.154090
37,0.744576,0.725556,0.878200,437.255159
38,0.748648,1.002499,0.786000,438.385861
39,0.746645,0.958999,0.813200,439.475325
40,0.743546,0.873095,0.827800,437.672818
41,0.740030,0.779320,0.859000,437.660924
42,0.740303,1.230294,0.757000,438.189210
43,0.743211,0.770176,0.864200,438.630100
44,0.735515,0.803508,0.852600,436.916618
45,0.750450,0.799974,0.864200,436.991387
46,0.736363,0.821309,0.856200,436.459641
47,0.732681,0.803201,0.867400,437.355085
48,0.729698,0.795031,0.865000,436.604523
49,0.736309,0.852285,0.844400,438.658527
50,0.739222,0.843702,0.855400,437.083890
51,0.733913,0.782199,0.870400,439.206349
52,0.720707,0.863073,0.848200,436.123416
53,0.723466,0.759483,0.871600,437.508496
54,0.728105,0.805433,0.871400,437.485210
55,0.724629,0.730858,0.881200,437.302259
56,0.719927,0.836932,0.855200,437.990339
57,0.733705,0.786115,0.870600,438.723134
58,0.719907,0.770556,0.876000,438.380147
59,0.722027,0.770512,0.874200,439.271085
60,0.713037,0.890462,0.839800,438.418955
61,0.726443,0.897893,0.836400,438.235313
62,0.724916,0.841702,0.847000,437.880477
63,0.726891,1.019932,0.788800,438.429774
64,0.731117,1.036577,0.810800,438.034907
65,0.719992,0.846743,0.845800,438.151627
66,0.729010,0.874994,0.845400,438.416951
67,0.721706,0.793301,0.861400,438.119184
