epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,4.380315,3.540565,0.324400,468.791819
2,3.230233,2.996565,0.398000,465.757134
3,2.690161,2.431395,0.479800,465.302205
4,2.266713,2.140092,0.529200,466.125254
5,1.932698,1.804430,0.589200,464.804392
6,1.660453,1.618173,0.634800,466.026618
7,1.456532,1.293378,0.709000,465.076393
8,1.299072,1.150354,0.747400,464.282405
9,1.193666,1.191904,0.730000,464.946780
10,1.111566,1.051605,0.751400,464.395943
11,1.050184,1.026209,0.762600,467.037364
12,1.004824,1.099397,0.742000,464.890613
13,0.972984,1.030348,0.762400,465.560590
14,0.945131,1.036116,0.761600,466.010489
15,0.926194,0.917904,0.787800,463.973740
16,0.911356,0.906813,0.795600,464.317769
17,0.893588,1.134141,0.727200,464.812675
18,0.880106,0.851733,0.806000,464.576870
19,0.875450,1.257351,0.695000,464.574657
20,0.868675,0.981058,0.784600,464.686697
21,0.851782,1.031102,0.764400,465.109315
22,0.848711,0.880971,0.808200,465.325292
23,0.842155,0.978086,0.787200,463.516125
24,0.842546,0.798618,0.826000,463.693942
25,0.831517,0.788163,0.825400,465.542465
26,0.831819,0.816038,0.825400,463.896052
27,0.829463,0.858013,0.816400,463.201575
28,0.822246,0.901690,0.804400,463.862315
29,0.818630,0.996332,0.794600,463.146765
30,0.815563,0.863948,0.820600,464.395005
31,0.812728,0.898701,0.805800,464.413093
32,0.811570,0.862565,0.813600,465.359449
33,0.801712,0.822710,0.829200,465.558861
34,0.805046,0.973687,0.771200,462.949323
35,0.796939,0.867073,0.832200,465.415557
36,0.794126,0.925104,0.815400,462.472395
37,0.793228,0.869807,0.812200,464.245340
38,0.798908,0.760808,0.846200,463.754383
39,0.792738,0.816462,0.835600,462.908508
40,0.787841,0.791062,0.840400,465.963388
41,0.787049,1.102792,0.784000,468.019749
42,0.786426,1.158043,0.754200,463.953902
43,0.782671,0.826700,0.825000,463.875034
44,0.779762,0.861162,0.822600,464.026305
45,0.785782,0.846569,0.832000,463.764485
46,0.775277,1.311696,0.713200,464.392765
47,0.774879,0.832649,0.833000,465.093853
48,0.779446,0.927609,0.799600,466.106539
49,0.778499,0.929236,0.813400,465.145323
50,0.778423,0.910885,0.811400,466.263755
51,0.772522,0.999217,0.788000,464.018998
52,0.765568,0.899179,0.808600,464.270217
53,0.767637,0.896044,0.810200,464.296444
54,0.766200,1.103429,0.757000,463.868196
55,0.762834,0.801203,0.841400,463.029651
56,0.760343,0.874537,0.830600,464.477853
57,0.760722,0.813718,0.840400,463.538798
58,0.760907,1.420991,0.729400,465.624035
59,0.762815,0.998299,0.790200,462.957864
60,0.751446,0.881842,0.825400,463.393380
61,0.758967,1.227015,0.775800,467.607174
62,0.753811,1.293586,0.697400,464.595059
63,0.760669,0.723759,0.860000,467.600406
64,0.760201,0.802526,0.841800,466.035845
65,0.753806,1.052262,0.787000,464.510986
66,0.760677,0.988164,0.789400,464.227960
67,0.752301,0.907635,0.818800,464.388839
68,0.751621,0.796181,0.848600,467.738214
69,0.749092,0.847373,0.830200,463.600529
70,0.748746,0.878034,0.830600,463.375139
71,0.747172,1.043818,0.779400,466.848273
72,0.760867,0.861735,0.834600,465.370509
73,0.751818,0.909903,0.825400,463.078205
74,0.743522,0.872887,0.833600,465.025315
75,0.746920,0.882602,0.818800,464.559830
76,0.736410,0.959124,0.821000,464.568240
77,0.738292,0.894382,0.818200,463.646291
78,0.746228,0.895075,0.823200,465.913544
79,0.744231,0.974963,0.799000,464.449031
80,0.740313,0.923043,0.809000,463.496463
81,0.740063,0.869149,0.821600,465.044010
82,0.740245,1.098884,0.786800,463.289282
83,0.740704,0.954149,0.793200,466.948666
84,0.737348,1.236574,0.773200,463.738177
85,0.732043,0.919009,0.806600,464.568839
86,0.735663,0.789205,0.851800,466.834091
87,0.732684,0.868736,0.827000,463.562622
88,0.726427,0.807901,0.844600,465.341193
89,0.744000,0.871179,0.838600,464.884564
90,0.735280,0.878352,0.831200,464.098632
91,0.729152,0.991770,0.786800,464.220339
92,0.736444,0.955345,0.803200,464.139212
93,0.738176,0.743836,0.864200,463.807410
94,0.732533,0.802166,0.842200,465.636871
95,0.727260,0.963228,0.809600,463.682904
96,0.733922,1.094216,0.770600,464.032691
97,0.729741,1.029413,0.785200,464.894353
98,0.725359,1.110044,0.757000,466.185087
99,0.726757,1.028114,0.794800,465.891709
100,0.724962,0.806471,0.839600,464.104728
1,0.602742,0.591445,0.907000,275.909770
2,0.558681,0.587795,0.912800,273.733707
3,0.531263,0.571630,0.910600,273.728253
4,0.520543,0.567089,0.913000,273.568011
5,0.502607,0.538731,0.917200,273.535267
6,0.494221,0.586186,0.911200,273.543064
7,0.488457,0.545474,0.912800,273.549474
8,0.474485,0.525994,0.919800,273.573044
9,0.465614,0.550807,0.916000,273.617424
10,0.460503,0.595744,0.903600,273.494586
11,0.453452,0.538425,0.911800,273.508291
12,0.441022,0.521381,0.915600,273.540212
13,0.440274,0.573645,0.910000,273.447533
14,0.429809,0.511612,0.919400,273.453786
15,0.422980,0.520059,0.916000,273.562185
