epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,4.233588,3.498930,0.283600,281.051288
2,3.124146,3.230682,0.325600,280.058129
3,2.564897,2.655044,0.458400,280.121062
4,2.141419,3.084755,0.381800,280.173846
5,1.800018,2.175199,0.504600,280.215790
6,1.548661,2.811216,0.419800,280.234359
7,1.372893,1.949742,0.542800,280.196490
8,1.246557,1.521437,0.636000,280.173288
9,1.140090,1.432732,0.674200,280.145433
10,1.054448,1.139536,0.735600,280.186462
11,0.985017,1.390673,0.646000,280.184502
12,0.932566,1.087111,0.727200,280.214061
13,0.895482,0.958533,0.769200,280.284028
14,0.862819,1.106098,0.731800,280.171110
15,0.830031,1.059100,0.747000,280.158030
16,0.808198,0.907875,0.781200,280.196199
17,0.796006,1.549405,0.649400,280.178280
18,0.784421,1.332659,0.698000,280.217124
19,0.768743,0.837811,0.813600,280.244250
20,0.760447,1.271783,0.685200,280.257994
21,0.754567,0.888359,0.793400,280.274029
22,0.745462,1.172536,0.711400,280.275214
23,0.738553,0.826369,0.817000,280.227575
24,0.729725,0.927000,0.782000,280.223530
25,0.722550,0.833727,0.810000,280.229045
26,0.719849,1.072547,0.754200,280.247707
27,0.717911,1.287739,0.709600,280.262193
28,0.717124,0.805440,0.833000,280.233195
29,0.705704,1.038706,0.749600,280.193465
30,0.706531,0.858971,0.802400,280.180875
31,0.703071,0.944746,0.784800,280.220580
32,0.699660,0.959861,0.793000,280.215493
33,0.693862,0.874405,0.803000,280.206250
34,0.695036,1.044149,0.752200,280.199850
35,0.696620,1.141614,0.744800,280.222862
36,0.689676,1.214589,0.727600,280.220320
37,0.694350,0.956601,0.773800,280.260604
38,0.685464,0.851203,0.810400,280.260999
39,0.683156,0.836878,0.826400,280.244313
40,0.683495,0.937838,0.794400,280.276194
41,0.679246,0.957595,0.787600,280.252956
42,0.674984,0.873637,0.810600,280.267141
43,0.675298,0.880032,0.804600,280.291723
44,0.675277,1.069148,0.756400,280.311402
45,0.676607,1.078231,0.766600,280.311333
46,0.671654,0.794162,0.825200,280.328707
47,0.667856,0.877681,0.817200,280.343142
48,0.664017,0.844573,0.820600,280.330220
49,0.666696,0.927192,0.791200,280.374403
50,0.669315,1.649623,0.667400,280.389014
51,0.666341,1.163540,0.739000,280.352696
52,0.665301,0.885682,0.802000,280.356366
53,0.665765,0.874646,0.811200,280.326217
54,0.660847,0.785677,0.834600,280.407620
55,0.657939,0.835951,0.818600,280.401541
56,0.659772,0.851377,0.811600,280.410332
57,0.658568,0.791130,0.838600,280.427006
58,0.656667,0.965210,0.783000,280.419166
59,0.653601,1.021253,0.786000,280.395580
60,0.654546,0.872457,0.822400,280.374044
61,0.652497,1.152415,0.756000,280.365022
62,0.653544,0.799090,0.834200,280.392238
63,0.656662,0.859298,0.826400,280.341053
64,0.648110,1.242090,0.755800,280.367793
65,0.650665,0.827858,0.824600,280.334521
66,0.654958,1.191904,0.722600,280.380134
67,0.650829,0.810682,0.836000,280.388257
68,0.645493,0.913316,0.811000,280.393869
69,0.644303,0.788136,0.841000,280.447828
70,0.644200,0.801530,0.837400,280.439789
71,0.647495,0.757620,0.848000,280.472548
72,0.643979,0.989108,0.789600,280.443539
73,0.642720,0.733658,0.849000,280.477070
74,0.642214,0.849611,0.815600,280.482304
75,0.641572,1.052993,0.779600,280.491811
76,0.640872,1.117028,0.756600,280.489163
77,0.640220,0.954173,0.796800,280.488526
78,0.641855,0.866113,0.828200,280.492153
79,0.643093,0.962878,0.790000,280.525749
80,0.637141,0.808613,0.841600,280.518265
81,0.636121,0.928565,0.803600,280.519724
82,0.640506,0.869471,0.823600,280.524038
83,0.634422,0.950923,0.790200,280.500275
84,0.632383,1.054780,0.774000,280.521541
85,0.634836,0.951563,0.774000,280.511192
86,0.633577,0.894905,0.803600,280.471695
87,0.635180,0.873841,0.813000,280.472694
88,0.635003,1.244884,0.725200,280.521953
89,0.631849,0.784375,0.843800,280.496912
90,0.629898,0.940869,0.794000,280.482691
91,0.629571,0.841114,0.826200,280.513877
92,0.630313,0.770310,0.841200,280.507470
93,0.629834,0.897667,0.810800,280.512580
94,0.632975,0.808721,0.830800,280.553721
95,0.626732,0.921271,0.806800,280.528054
96,0.626202,0.722812,0.858000,280.540555
97,0.628983,0.792183,0.842800,280.524157
98,0.624888,1.289016,0.720400,280.537921
99,0.625710,0.762172,0.849200,280.548404
100,0.622742,0.825851,0.826800,280.558757
1,0.494256,0.569524,0.907600,281.334674
2,0.452243,0.561064,0.912000,280.358846
3,0.430166,0.558544,0.913600,280.415474
4,0.414917,0.562372,0.915400,280.462788
5,0.401382,0.561312,0.916000,280.471748
6,0.392453,0.533587,0.919600,280.473728
7,0.384518,0.559037,0.916600,280.518359
8,0.373425,0.535044,0.919400,280.483210
9,0.362226,0.516042,0.921400,280.493082
10,0.356892,0.540052,0.915000,280.487728
11,0.348534,0.526754,0.917200,280.473859
12,0.344659,0.537618,0.917200,280.473797
13,0.334703,0.530740,0.917600,280.479541
14,0.328711,0.523385,0.921800,280.460434
15,0.322976,0.530028,0.917000,280.467818
16,0.316327,0.517330,0.917200,280.428753
17,0.313251,0.542548,0.916400,280.429550
18,0.310660,0.511189,0.916600,280.411537
19,0.302926,0.521998,0.920400,280.477121
20,0.300382,0.526259,0.915400,280.460237
21,0.293825,0.529828,0.916400,280.465475
22,0.291438,0.504557,0.918600,280.469932
23,0.287609,0.547044,0.915000,280.486579
24,0.283254,0.504517,0.913600,280.476267
25,0.282145,0.501574,0.920600,280.460168
26,0.278323,0.528796,0.916400,280.497251
27,0.278493,0.528370,0.908200,280.470574
28,0.276470,0.525500,0.907800,280.487702
29,0.273855,0.509832,0.918400,280.475880
30,0.269573,0.500538,0.916000,280.506753
31,0.267195,0.479827,0.917200,280.463974
32,0.265661,0.528201,0.909600,280.507926
33,0.265185,0.529849,0.907200,280.476492
34,0.260426,0.512020,0.914000,280.500140
35,0.260892,0.502770,0.910000,280.497827
36,0.258744,0.512207,0.910800,280.491398
37,0.253773,0.490493,0.917000,280.468410
38,0.251554,0.530180,0.903000,280.557286
39,0.254761,0.484127,0.912600,280.465613
40,0.249984,0.512084,0.913600,280.458229
41,0.252451,0.519208,0.907200,280.483206
42,0.253436,0.531701,0.912200,280.495125
43,0.246408,0.541483,0.906600,280.490412
44,0.245979,0.502822,0.908000,280.537551
45,0.247049,0.509599,0.907400,280.581270
46,0.249662,0.564499,0.899600,280.525960
47,0.256657,0.520485,0.908800,280.524804
48,0.243508,0.515068,0.911800,280.517700
49,0.244124,0.487280,0.914200,280.526122
50,0.240543,0.592668,0.898400,280.523983
51,0.247793,0.463864,0.919200,280.571650
52,0.241127,0.484940,0.912600,280.539134
53,0.241621,0.549335,0.904000,280.609189
54,0.241811,0.508847,0.909400,280.569896
55,0.241239,0.517014,0.908800,280.541940
56,0.243536,0.502807,0.907800,280.599446
57,0.239609,0.443339,0.914200,280.669847
58,0.235163,0.566115,0.893000,280.590167
59,0.241065,0.546968,0.904800,280.565707
60,0.239346,0.506484,0.904600,280.575204
61,0.241144,0.521528,0.907600,280.592926
62,0.234511,0.507328,0.904600,280.611959
63,0.233326,0.500761,0.913200,280.617591
64,0.233615,0.515848,0.908000,280.667725
65,0.235687,0.536103,0.901600,280.657182
66,0.236612,0.516763,0.904400,280.602721
67,0.235267,0.495846,0.912000,280.643055
68,0.234462,0.492686,0.911600,280.611715
69,0.236045,0.483060,0.912200,280.704590
70,0.235718,0.512744,0.909600,280.739814
71,0.232108,0.522228,0.909200,280.708938
72,0.233666,0.566677,0.899400,280.731498
73,0.237659,0.500633,0.912600,280.717543
74,0.230698,0.464129,0.916000,280.725255
75,0.231273,0.529429,0.910400,280.776744
76,0.229810,0.537240,0.904800,280.784677
77,0.225603,0.494264,0.911800,280.733309
78,0.232711,0.547159,0.908200,280.768703
79,0.232893,0.484983,0.912600,280.796181
80,0.227268,0.515277,0.906600,280.793656
81,0.233144,0.493824,0.910800,280.823200
82,0.227469,0.526243,0.906600,280.843381
83,0.228587,0.537000,0.905000,280.884139
84,0.235461,0.473995,0.908600,280.863684
85,0.229500,0.515440,0.909200,280.886522
86,0.230373,0.446951,0.913200,280.927834
87,0.225069,0.476475,0.921000,280.901086
88,0.226321,0.533402,0.905800,280.876842
89,0.224149,0.518496,0.906200,280.880622
90,0.220909,0.561720,0.898200,280.856555
91,0.228046,0.509191,0.910600,280.869000
92,0.230663,0.523129,0.904000,280.881077
93,0.226443,0.533788,0.908200,280.869230
94,0.223004,0.520351,0.909000,280.914956
95,0.226583,0.485005,0.910400,280.899336
96,0.225381,0.504419,0.905800,280.881455
97,0.225806,0.591840,0.896400,280.896863
98,0.228031,0.537025,0.908600,280.898865
99,0.221398,0.473949,0.914200,280.931155
100,0.223408,0.508089,0.906600,280.926633
101,0.224041,0.487278,0.913400,280.935688
102,0.225290,0.551688,0.898600,280.905420
