epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,4.082250,3.375388,0.348200,308.366043
2,2.843743,2.805441,0.463000,307.105558
3,2.250459,2.130867,0.597400,307.296627
4,1.808352,1.860557,0.645800,307.377786
5,1.490459,1.536378,0.688000,307.389091
6,1.273534,1.265425,0.749400,307.470695
7,1.127101,1.047994,0.781600,307.512168
8,1.018237,1.412233,0.679000,307.496479
9,0.943272,1.009702,0.773400,307.436433
10,0.884346,1.365616,0.700600,307.440100
11,0.843897,0.958903,0.774600,307.489450
12,0.806640,0.907703,0.788400,307.434303
13,0.780627,0.977160,0.757000,307.484815
14,0.759827,0.883913,0.794800,307.471066
15,0.742964,1.091062,0.743400,307.429091
16,0.729873,0.846397,0.798800,307.437050
17,0.717398,0.737937,0.830600,307.429895
18,0.707107,0.937177,0.769200,307.431705
19,0.701412,0.796521,0.817200,307.322703
20,0.693268,1.320470,0.711600,307.386768
21,0.687369,0.826624,0.809600,307.360474
22,0.682014,0.882184,0.791400,307.416427
23,0.677592,0.741636,0.836400,307.453627
24,0.671573,0.807352,0.816600,307.401678
25,0.669833,0.985514,0.771400,307.350803
26,0.667782,0.734539,0.828000,307.366851
27,0.661723,0.844023,0.810400,307.413482
28,0.661556,0.950846,0.779400,307.454860
29,0.656886,0.822818,0.819200,307.479412
30,0.656414,0.773949,0.825200,307.478806
31,0.651890,0.812249,0.816200,307.437965
32,0.650745,0.789358,0.824200,307.414491
33,0.644476,0.835748,0.810200,307.362370
34,0.644719,0.719185,0.848200,307.487870
35,0.638741,0.879234,0.798200,307.446336
36,0.639993,0.809855,0.822200,307.425857
37,0.639284,0.937338,0.801800,307.464409
38,0.637206,0.791949,0.824200,307.374796
39,0.637271,1.140548,0.734800,307.401260
40,0.641888,0.844086,0.801200,307.449168
41,0.635560,0.865188,0.807200,307.465361
42,0.631518,0.957147,0.793800,307.432504
43,0.634271,0.817518,0.826600,307.367802
44,0.631424,1.231245,0.731400,307.372063
45,0.632060,0.888281,0.812000,307.322616
46,0.630410,0.782682,0.830200,307.393702
47,0.629823,0.710610,0.850600,307.441248
48,0.628961,0.872108,0.808600,307.391999
49,0.627253,0.776291,0.842400,307.436915
50,0.625780,1.151371,0.742800,307.391392
51,0.624607,0.764140,0.836000,307.387462
52,0.625137,0.933120,0.797400,307.322772
53,0.620827,1.046726,0.777200,307.398902
54,0.623303,0.686504,0.850000,307.438957
55,0.620783,0.864861,0.810400,307.386521
56,0.619792,1.229112,0.731200,307.396384
57,0.620317,0.962642,0.794600,307.412409
58,0.620439,1.295206,0.712200,307.437162
59,0.621523,1.056031,0.767800,307.440845
60,0.618558,0.730883,0.845200,307.446785
61,0.616531,0.710180,0.851000,307.387983
62,0.616995,0.742404,0.846400,307.445332
63,0.614931,0.764257,0.828400,307.432702
64,0.613015,0.811813,0.824200,307.487097
65,0.613971,0.893512,0.817600,307.528639
66,0.612630,0.788990,0.844600,307.486041
67,0.614556,0.951084,0.792400,307.544084
68,0.615107,0.719893,0.853400,307.611422
69,0.613372,0.785981,0.830800,307.609543
70,0.610380,0.893304,0.809200,307.679166
71,0.614206,0.804780,0.827400,307.622326
72,0.612764,1.142717,0.764000,307.677250
73,0.614055,0.706827,0.853600,307.674283
74,0.606103,0.864008,0.795600,307.737002
75,0.607916,1.038206,0.763200,307.751162
76,0.610946,0.808896,0.817200,307.655319
77,0.612384,0.797480,0.829200,307.673102
78,0.604969,0.791141,0.828200,307.663423
79,0.606178,0.819384,0.824200,307.664638
80,0.610510,0.912302,0.810400,307.617969
81,0.605639,0.828744,0.825000,307.672781
82,0.606065,0.856060,0.813800,307.668037
83,0.606741,0.775312,0.841800,307.651395
84,0.606156,0.970473,0.802600,307.625222
85,0.608573,0.883681,0.814600,307.598836
86,0.605550,0.801017,0.833400,307.676385
87,0.607290,1.024467,0.772800,307.822757
88,0.608711,0.666869,0.861200,307.663278
89,0.604341,0.797867,0.824400,307.813829
90,0.603459,0.754669,0.844600,307.664720
91,0.606483,0.900672,0.815400,307.622141
92,0.602360,0.715335,0.853600,307.643843
93,0.603731,0.759762,0.833400,307.650394
94,0.605633,0.894657,0.805000,307.552214
95,0.606293,0.932310,0.786400,307.618180
96,0.604746,0.901381,0.809600,307.569206
97,0.604068,0.729529,0.845800,307.583296
98,0.600820,0.861375,0.815600,307.579571
99,0.606507,0.911171,0.807600,307.588824
100,0.604434,0.887154,0.805000,307.618418
1,0.470172,0.530037,0.908000,307.301625
2,0.430751,0.518249,0.911600,306.259419
3,0.411035,0.510534,0.912000,306.382933
4,0.400035,0.508289,0.916600,306.320770
5,0.390251,0.515234,0.912000,306.355192
6,0.378383,0.516924,0.913000,306.351646
7,0.370573,0.506258,0.913800,306.357224
8,0.362744,0.504139,0.917000,306.389809
9,0.355635,0.494757,0.916600,306.382050
10,0.350355,0.537843,0.907800,306.385216
11,0.344728,0.501965,0.916000,306.370957
12,0.339497,0.492134,0.917600,306.368970
13,0.331089,0.499644,0.913800,306.384457
14,0.328597,0.528532,0.908200,306.379542
15,0.323457,0.515643,0.909600,306.436050
16,0.316405,0.498703,0.913000,306.428370
17,0.314679,0.490818,0.911600,306.388588
18,0.311711,0.492766,0.916000,306.376226
19,0.308875,0.482562,0.915000,306.378682
20,0.306407,0.490886,0.911800,306.359656
21,0.302127,0.493959,0.911200,306.424741
22,0.300751,0.487703,0.912800,306.401790
23,0.295790,0.527428,0.906400,306.395625
24,0.295847,0.504938,0.907000,306.388374
25,0.291073,0.481399,0.914400,306.421144
26,0.288680,0.478066,0.911600,306.424157
27,0.288274,0.485503,0.909600,306.393055
28,0.287963,0.497933,0.909000,306.405823
29,0.286193,0.481450,0.909800,306.412549
30,0.284715,0.500338,0.907200,306.464585
31,0.279763,0.504668,0.907800,306.423889
32,0.278752,0.478893,0.909800,306.385132
33,0.276998,0.464123,0.916200,306.362733
34,0.276219,0.493314,0.906800,306.363607
35,0.276857,0.482312,0.912200,306.376869
36,0.274170,0.503575,0.907800,306.380273
37,0.275689,0.488996,0.909200,306.380946
38,0.273351,0.510337,0.909400,306.462708
39,0.271629,0.535312,0.901000,306.381580
40,0.273391,0.487704,0.908600,306.350299
41,0.270827,0.494181,0.910000,306.320838
42,0.267292,0.531643,0.901400,306.359233
43,0.267377,0.508119,0.903800,306.395250
44,0.267200,0.488039,0.909400,306.439290
45,0.265348,0.503962,0.904600,306.476104
46,0.265676,0.509993,0.908000,306.407478
47,0.265936,0.470509,0.910800,306.458331
48,0.266167,0.495656,0.902600,306.445943
49,0.263962,0.509879,0.902000,306.467152
50,0.265103,0.539784,0.898600,306.502640
51,0.266014,0.478283,0.908000,306.460032
52,0.261802,0.491066,0.911400,306.408925
53,0.263402,0.581235,0.888600,306.496223
54,0.264751,0.468445,0.913200,306.557771
55,0.262004,0.493807,0.906200,306.536504
56,0.262547,0.493476,0.908600,306.532994
57,0.262298,0.487735,0.905600,306.537041
58,0.261901,0.547150,0.903600,306.493674
59,0.262645,0.504973,0.907800,306.557655
60,0.260781,0.513308,0.906000,306.605052
61,0.262230,0.518961,0.906000,306.614387
62,0.255806,0.508588,0.904600,306.620077
63,0.258646,0.523078,0.898000,306.606006
64,0.260621,0.528095,0.893800,306.610797
65,0.258155,0.497494,0.906600,306.612911
66,0.257614,0.504655,0.910600,306.591972
67,0.258555,0.496858,0.907800,306.646249
68,0.253299,0.508556,0.905000,306.677448
69,0.256775,0.497538,0.900000,306.624475
70,0.256955,0.518297,0.901400,306.653024
71,0.258297,0.518198,0.903200,306.702189
72,0.255277,0.469113,0.908200,306.675326
73,0.256741,0.539811,0.899000,306.694405
74,0.259335,0.562745,0.891600,306.655667
75,0.258962,0.484438,0.906000,306.657092
76,0.256436,0.539445,0.898800,306.652839
77,0.251708,0.504098,0.908400,306.696992
78,0.252528,0.508790,0.902600,306.681190
79,0.254329,0.622867,0.883800,306.654032
80,0.259479,0.509068,0.904400,306.617028
