epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,0.473436,0.153635,0.956200,0.956200,65.472663
2,0.127518,0.092173,0.973800,0.973800,65.513135
3,0.090070,0.077893,0.978900,0.978900,65.451264
4,0.071169,0.081495,0.975700,0.975700,65.468058
5,0.060647,0.069923,0.981200,0.981200,65.407837
6,0.052661,0.063750,0.981500,0.981500,65.430813
7,0.044927,0.054901,0.985300,0.985300,65.510022
8,0.040210,0.054419,0.986200,0.986200,65.496727
9,0.037157,0.052829,0.985300,0.985300,65.407898
10,0.034169,0.055068,0.984400,0.984400,65.472278
11,0.029834,0.050445,0.986600,0.986600,65.423886
12,0.029135,0.047555,0.987100,0.987100,65.503706
13,0.024232,0.047937,0.986300,0.986300,65.422781
14,0.023536,0.045073,0.987700,0.987700,65.483392
15,0.021968,0.048953,0.985400,0.985400,65.528270
16,0.018143,0.050906,0.987700,0.987700,65.365672
17,0.017104,0.045366,0.988000,0.988000,65.427105
18,0.017235,0.045932,0.988500,0.988500,65.442752
19,0.013223,0.056655,0.984100,0.984100,65.409892
20,0.013678,0.046121,0.987400,0.987400,65.504630
