epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,0.481228,0.185884,0.950200,0.951200,75.431952
2,0.148594,0.113070,0.968400,0.970900,74.589392
3,0.111915,0.102311,0.969200,0.974200,75.191884
4,0.092224,0.090550,0.974100,0.976700,74.496565
5,0.081292,0.077861,0.978200,0.980400,74.608421
6,0.072857,0.082860,0.976200,0.979600,74.500843
7,0.067822,0.070287,0.979400,0.982600,74.409652
8,0.064201,0.063557,0.982700,0.985300,74.465241
9,0.058787,0.076926,0.978100,0.980100,74.669917
10,0.061614,0.064819,0.982100,0.984300,74.530813
11,0.055958,0.067959,0.981900,0.982600,74.611979
12,0.052011,0.060460,0.982600,0.985400,74.539851
13,0.050535,0.062418,0.982000,0.984300,74.315970
14,0.046770,0.077892,0.977600,0.981300,74.528314
15,0.048541,0.062353,0.981800,0.984200,74.353632
16,0.046469,0.063027,0.982600,0.984400,74.336144
17,0.045212,0.057461,0.984200,0.986100,74.536319
18,0.043802,0.048577,0.986200,0.987900,74.433473
19,0.040894,0.055442,0.984100,0.986600,74.536966
20,0.042239,0.062408,0.980500,0.984100,74.374738
