epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,0.427005,0.164662,0.952000,0.951000,7.613573
2,0.139479,0.095518,0.971200,0.972100,7.281556
3,0.099263,0.082623,0.973800,0.973500,7.285276
4,0.079716,0.083161,0.975600,0.975600,7.282066
5,0.066235,0.062279,0.982200,0.982400,7.282184
6,0.056858,0.056455,0.983800,0.984000,7.283411
7,0.051107,0.058608,0.983700,0.984000,7.281009
8,0.045204,0.054498,0.984600,0.984700,7.283314
9,0.039518,0.053759,0.984900,0.984400,7.280117
10,0.036965,0.051870,0.985100,0.985600,7.282382
11,0.032805,0.050923,0.985300,0.984800,7.283304
12,0.029409,0.047174,0.987700,0.987900,7.283757
13,0.027689,0.048785,0.985800,0.985500,7.280230
14,0.025374,0.045732,0.986900,0.987000,7.283226
15,0.022602,0.051075,0.986200,0.986000,7.281009
16,0.020785,0.047022,0.986100,0.986400,7.282379
17,0.019433,0.044067,0.989000,0.988500,7.282113
18,0.019319,0.046570,0.987500,0.987600,7.282346
19,0.016280,0.047669,0.988200,0.988300,7.298572
20,0.015360,0.048238,0.987000,0.987000,7.282196
