epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,0.463189,0.162398,0.953300,0.953100,66.488635
2,0.134889,0.102798,0.969100,0.968800,66.490984
3,0.097401,0.111978,0.966500,0.966800,66.283561
4,0.078662,0.072056,0.978700,0.978900,66.519592
5,0.064407,0.067173,0.979300,0.979200,66.504276
6,0.057927,0.073484,0.980100,0.979600,66.723512
7,0.050979,0.051300,0.985200,0.984900,66.639424
8,0.042199,0.059051,0.982200,0.981500,66.655582
9,0.041122,0.051932,0.986900,0.986500,66.395050
10,0.039855,0.054857,0.984600,0.984300,66.546875
11,0.033417,0.044643,0.987300,0.987300,66.425012
12,0.032676,0.046084,0.985700,0.985700,66.166658
13,0.028156,0.043697,0.988600,0.988400,66.143057
14,0.023641,0.042603,0.988100,0.988200,66.176940
15,0.022464,0.040853,0.988100,0.988200,66.486201
16,0.021331,0.044238,0.986900,0.986700,66.407735
17,0.020876,0.042575,0.988900,0.988600,66.652808
18,0.019361,0.042827,0.988200,0.987900,65.999590
19,0.018033,0.043199,0.988600,0.988500,65.809329
20,0.016104,0.038102,0.989800,0.989800,65.895938
