epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,1.249693,0.377464,0.874200,0.872500,67.527585
2,0.346377,0.187097,0.941000,0.940000,67.523476
3,0.191834,0.124265,0.964400,0.963500,67.579982
4,0.142483,0.083208,0.975600,0.975200,67.568848
5,0.113420,0.077443,0.975300,0.974800,67.483457
6,0.097659,0.067777,0.980200,0.980400,67.511426
7,0.086077,0.063841,0.979600,0.979600,67.631023
8,0.073210,0.064265,0.980500,0.979800,67.639182
9,0.067985,0.057530,0.981900,0.982200,67.505134
10,0.060785,0.070657,0.979400,0.979900,67.529498
11,0.057730,0.055422,0.984800,0.984100,67.537356
12,0.054529,0.080543,0.979000,0.978700,67.517071
13,0.053242,0.051080,0.985500,0.985600,67.445124
14,0.051793,0.056871,0.982700,0.983000,67.508413
15,0.044711,0.049147,0.985100,0.985700,67.489216
16,0.042784,0.062873,0.981700,0.981700,67.529707
17,0.042538,0.051144,0.985400,0.985400,67.542142
18,0.041600,0.049065,0.985900,0.985700,67.508791
19,0.038074,0.060762,0.983200,0.983300,67.518501
20,0.035890,0.050115,0.985500,0.986200,67.531609
