epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,0.539640,0.196177,0.941000,0.945200,74.804485
2,0.178579,0.135865,0.959900,0.964500,74.712251
3,0.137080,0.118014,0.965100,0.970400,74.762155
4,0.117568,0.106490,0.969300,0.973500,74.720458
5,0.104578,0.103679,0.969500,0.975200,74.981005
6,0.092202,0.106638,0.966900,0.972200,75.002161
7,0.087117,0.083177,0.975500,0.979100,74.934032
8,0.080124,0.101252,0.971000,0.975400,74.774868
9,0.077157,0.080703,0.978100,0.980800,74.816033
10,0.073220,0.071170,0.979000,0.982000,74.745771
11,0.068656,0.074458,0.979700,0.983200,74.712027
12,0.065037,0.072262,0.980200,0.982000,74.771510
13,0.065921,0.064909,0.983400,0.984800,74.527334
14,0.064766,0.079294,0.978300,0.981600,74.696347
15,0.061811,0.080233,0.977900,0.980300,74.770262
16,0.058003,0.073623,0.980900,0.983800,74.732801
17,0.059305,0.066344,0.981700,0.984900,75.190366
18,0.055095,0.065044,0.982000,0.984800,75.080920
19,0.054405,0.058616,0.982100,0.985300,74.946615
20,0.055121,0.071376,0.979900,0.984800,74.796803
