epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,1.479344,0.333749,0.898500,0.897500,7.751316
2,0.286539,0.136264,0.959000,0.958800,7.463970
3,0.160425,0.159425,0.960100,0.958000,7.464739
4,0.121946,0.099648,0.974600,0.974500,7.464297
5,0.103066,0.076517,0.978400,0.978400,7.463690
6,0.085808,0.064104,0.982600,0.982600,7.463940
7,0.074164,0.060757,0.983500,0.983800,7.461462
8,0.071212,0.055029,0.985300,0.984900,7.464469
9,0.063197,0.062159,0.982900,0.982200,7.465554
10,0.058960,0.058663,0.984300,0.983800,7.463803
11,0.052768,0.052228,0.985200,0.985100,7.465170
12,0.049617,0.053361,0.986000,0.985500,7.462728
13,0.046823,0.047125,0.986400,0.986900,7.463469
14,0.046886,0.046493,0.986600,0.986700,7.464926
15,0.045358,0.048199,0.987000,0.986900,7.464426
16,0.043498,0.046444,0.986500,0.986800,7.463956
17,0.038209,0.058191,0.985200,0.984800,7.463726
18,0.038084,0.047960,0.986900,0.987100,7.464206
19,0.035303,0.046435,0.987400,0.987800,7.463732
20,0.034177,0.049023,0.986700,0.986300,7.462516
