epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,1.109310,0.287539,0.906200,0.919400,75.132735
2,0.198845,0.150583,0.954700,0.961800,75.248514
3,0.141201,0.138378,0.956000,0.963000,75.231776
4,0.119100,0.097260,0.969200,0.974200,75.145667
5,0.102571,0.096860,0.971400,0.973900,75.194518
6,0.092123,0.093806,0.970300,0.975700,75.177638
7,0.084602,0.080930,0.978900,0.982600,75.113456
8,0.078550,0.071242,0.981600,0.984100,75.149838
9,0.077552,0.075494,0.977700,0.981300,74.820943
10,0.074375,0.071136,0.979300,0.982500,74.761528
11,0.069187,0.060879,0.982900,0.986000,74.981525
12,0.066603,0.075012,0.977800,0.981300,75.055484
13,0.064973,0.062440,0.981700,0.984400,74.929541
14,0.063165,0.066694,0.979000,0.982700,74.822006
15,0.062070,0.056224,0.982300,0.986100,74.734303
16,0.057791,0.062817,0.982000,0.985100,74.551155
17,0.055991,0.062653,0.982000,0.984100,74.522506
18,0.057836,0.051563,0.985400,0.987900,74.754279
19,0.055657,0.057555,0.984800,0.986400,74.399023
20,0.052786,0.062769,0.981900,0.984200,74.304879
