epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,1.140311,0.291133,0.907900,0.919400,74.759186
2,0.238976,0.137652,0.957900,0.965200,74.827771
3,0.160700,0.128096,0.962000,0.966100,74.795377
4,0.128839,0.115822,0.968100,0.971400,74.835662
5,0.119253,0.118815,0.964400,0.971100,74.893693
6,0.107733,0.103488,0.970100,0.973400,74.964943
7,0.101747,0.104774,0.967000,0.973900,74.970238
8,0.096201,0.086475,0.974500,0.978600,75.029812
9,0.089482,0.079035,0.975100,0.978200,75.111488
10,0.085858,0.100177,0.970800,0.975700,75.127840
11,0.083829,0.071500,0.978100,0.981800,75.044765
12,0.082991,0.073907,0.973800,0.978800,74.933869
13,0.077178,0.074750,0.978800,0.982800,75.076499
14,0.074981,0.074349,0.978400,0.981100,74.703480
15,0.072950,0.065494,0.979700,0.983400,74.714153
16,0.073537,0.081101,0.974900,0.977800,74.831875
17,0.068541,0.066129,0.981100,0.984000,74.890796
18,0.068550,0.063228,0.980000,0.983700,75.036996
19,0.067293,0.061162,0.982100,0.985300,74.900195
20,0.065942,0.077138,0.977900,0.981200,75.183641
