epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,0.921242,0.222275,0.928100,0.924100,82.782988
2,0.242612,0.177641,0.947200,0.944300,80.807572
3,0.159296,0.090808,0.972300,0.971200,80.165891
4,0.134987,0.078140,0.977300,0.974600,81.357420
5,0.116232,0.076443,0.976900,0.976900,80.409140
6,0.104467,0.080614,0.977400,0.976300,81.678425
7,0.096474,0.091703,0.973500,0.970200,83.233112
8,0.090270,0.064438,0.979700,0.978900,79.676997
9,0.088589,0.055394,0.984100,0.982700,80.629146
10,0.085546,0.058548,0.983000,0.980400,82.561907
11,0.083503,0.056960,0.982200,0.980900,81.834431
12,0.077442,0.060258,0.982100,0.981700,80.825744
13,0.074847,0.058734,0.982300,0.980800,80.840439
14,0.072230,0.056378,0.985000,0.982900,81.126488
15,0.068333,0.044691,0.986000,0.984800,83.500724
16,0.067004,0.050534,0.984800,0.983300,80.735211
17,0.065978,0.050392,0.985900,0.985300,83.237946
18,0.065794,0.055359,0.983700,0.983400,80.039861
19,0.062828,0.056056,0.984100,0.981700,84.794735
20,0.061413,0.054691,0.983800,0.981000,83.033852
