epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,2.273560,4.319706,0.104400,0.229400,149.451957
2,2.017791,3.171757,0.201800,0.303800,146.563661
3,1.884190,6.176826,0.152600,0.341000,147.061418
4,1.810599,2.391545,0.283800,0.333800,146.727642
5,1.751186,3.767040,0.245600,0.359200,146.748981
6,1.716262,1.784418,0.358000,0.407800,147.079777
7,1.677436,6.643816,0.199000,0.400000,147.067512
8,1.628403,2.876242,0.258800,0.436200,146.940089
9,1.594589,2.316730,0.304000,0.434200,147.104439
10,1.565326,2.254468,0.320200,0.476800,146.929466
11,1.530957,6.291193,0.232000,0.483200,146.702488
12,1.497425,7.033613,0.213600,0.484400,146.692610
13,1.479179,11.413062,0.230000,0.512200,146.929337
14,1.449199,2.999404,0.329800,0.492200,146.568878
15,1.416025,4.080636,0.274000,0.542200,146.674284
16,1.385014,3.384614,0.340600,0.548000,146.530535
17,1.380553,4.945886,0.288400,0.552600,146.593010
18,1.341804,1.440969,0.493600,0.543000,146.486392
19,1.305030,2.039835,0.401600,0.587600,147.089084
20,1.307636,3.561066,0.342200,0.586000,146.584246
