epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,1.841144,1.432310,0.468800,0.458800,480.666348
2,1.443185,1.213569,0.563000,0.556400,475.095513
3,1.263572,1.151400,0.580200,0.593200,474.576751
4,1.116137,1.030482,0.637800,0.637200,477.639000
5,1.011102,0.874326,0.698000,0.702000,476.975632
6,0.924296,0.913864,0.685000,0.700200,476.950095
7,0.846838,0.822457,0.725400,0.743800,474.910085
8,0.789880,0.831903,0.717800,0.743000,476.717041
9,0.735384,0.712994,0.751200,0.761000,478.206451
10,0.693546,0.729286,0.749200,0.774800,483.008598
11,0.651694,0.689052,0.770400,0.777400,478.100270
12,0.619633,0.645006,0.785400,0.782400,484.392922
13,0.585236,0.689408,0.773000,0.785800,478.090203
14,0.554944,0.622926,0.790800,0.793400,476.941726
15,0.527116,0.713586,0.773600,0.798800,479.354903
16,0.499209,0.646807,0.784600,0.792600,474.383539
17,0.477234,0.671333,0.786200,0.804400,471.188111
18,0.454681,0.749564,0.773400,0.802800,473.551458
19,0.433327,0.616577,0.798400,0.808000,471.145105
20,0.414065,0.591991,0.807800,0.804600,472.907805
