epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,2.371921,5.306750,0.222200,267.597210
2,1.542622,1.551558,0.476600,266.442369
3,1.288139,1.454236,0.583800,266.518142
4,1.128924,1.211077,0.599800,266.694079
5,1.017315,1.218099,0.606000,266.458020
6,0.924447,1.436881,0.646000,266.537139
7,0.837936,3.951923,0.662400,266.474824
8,0.775223,1.651509,0.705200,266.498008
9,0.723525,2.186272,0.719800,266.472615
10,0.676981,0.996869,0.763000,266.457936
11,0.636650,1.253849,0.765600,266.585620
12,0.607123,1.229117,0.748000,266.421475
13,0.573086,0.918211,0.768000,266.355372
14,0.543530,1.481200,0.774000,266.368134
15,0.519033,0.752635,0.802000,266.311261
16,0.489898,1.622263,0.801200,266.291767
17,0.469442,0.998019,0.790200,266.259926
18,0.443787,0.879664,0.813000,266.214496
19,0.417853,0.848737,0.806600,266.300905
20,0.399278,0.814876,0.815800,266.353129
21,0.380545,0.712173,0.823600,266.362760
22,0.363018,0.711714,0.820800,266.357311
23,0.342252,0.632058,0.826400,266.443923
24,0.326396,0.591222,0.833200,266.415161
25,0.308800,0.606889,0.837600,266.465217
26,0.294413,0.757733,0.833200,266.433167
27,0.285775,0.921922,0.821800,266.500080
28,0.272589,0.563038,0.843400,266.576880
29,0.255912,0.634847,0.843200,266.519162
30,0.243221,0.642270,0.847400,266.531794
31,0.231745,0.611890,0.849000,266.569701
32,0.220508,0.615995,0.851000,266.582544
33,0.213112,0.634435,0.842800,266.634018
34,0.205052,0.720786,0.833600,266.610047
35,0.193338,0.604229,0.854400,266.612515
36,0.180739,0.715274,0.855200,266.621076
37,0.177144,0.676733,0.856600,266.624051
38,0.169005,0.650138,0.865200,266.592080
39,0.161137,0.611463,0.853200,266.571781
40,0.152913,0.643060,0.856800,266.433836
41,0.145126,0.639851,0.857600,266.473655
42,0.141032,0.656224,0.861000,266.508524
43,0.136657,0.622799,0.855600,266.460441
44,0.127620,0.658493,0.861200,266.466478
45,0.123935,0.668834,0.854200,266.522448
46,0.115335,0.637767,0.857800,266.515358
47,0.112720,0.670138,0.860000,266.541687
48,0.109072,0.658058,0.862000,266.508682
49,0.105979,0.739403,0.858400,266.425460
50,0.102361,0.726485,0.858600,266.587072
51,0.102122,0.720551,0.859400,266.620487
52,0.097462,0.702266,0.863000,266.686756
53,0.094443,0.666636,0.865400,266.695539
54,0.086439,0.701865,0.872000,266.711055
