epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,2.281289,1.912755,0.306600,428.761866
2,1.588835,1.528200,0.458200,425.071366
3,1.267868,1.520809,0.509800,425.397186
4,1.044583,1.115756,0.632600,425.127035
5,0.888247,0.970185,0.686600,425.545194
6,0.774775,0.864492,0.721200,425.358050
7,0.687927,0.841510,0.734400,425.412232
8,0.610412,0.802791,0.743000,425.568868
9,0.552783,0.706159,0.770600,425.946797
10,0.504355,0.831255,0.750400,426.353815
11,0.461862,0.518841,0.826600,425.947351
12,0.428562,0.538098,0.835200,425.512597
13,0.392317,0.729971,0.786200,426.156020
14,0.370565,0.677699,0.797200,426.068835
15,0.346418,0.687075,0.804600,425.423685
16,0.316405,0.623180,0.818800,425.666934
17,0.296328,0.461835,0.861200,425.344371
18,0.275952,0.549416,0.838200,425.242136
19,0.258325,0.716125,0.812600,424.703927
20,0.245442,0.507847,0.846800,424.767446
21,0.225474,0.742211,0.811600,425.700281
22,0.214573,0.521867,0.859400,425.033403
23,0.201448,0.526864,0.858200,424.386288
24,0.186299,0.487992,0.868800,424.627994
25,0.170785,0.797968,0.814800,424.556861
26,0.167968,0.490768,0.868200,423.493335
27,0.153195,0.678211,0.835600,423.164268
28,0.148046,0.696217,0.842400,423.413311
29,0.142337,0.513910,0.870200,424.769684
30,0.125284,0.787153,0.837200,423.041060
31,0.119556,0.550147,0.871200,423.476257
32,0.111840,0.565181,0.861800,424.104578
33,0.110622,0.591499,0.866400,423.306932
34,0.099627,0.648108,0.864800,423.994264
35,0.099586,0.526739,0.876800,423.248206
36,0.093949,0.756585,0.844000,423.037872
37,0.098413,0.577365,0.872200,423.568152
38,0.081059,0.726921,0.851000,423.180913
39,0.088556,0.560415,0.874800,424.109339
40,0.078362,0.648944,0.864000,425.466963
41,0.075913,0.618767,0.872800,425.100185
42,0.067681,0.593072,0.874000,423.779092
43,0.066459,0.633983,0.873400,425.430721
44,0.065578,0.619165,0.872800,424.714160
45,0.068107,0.597105,0.883000,424.986489
46,0.060465,0.653848,0.867400,426.983056
47,0.057081,0.667377,0.870600,426.687151
48,0.061340,0.637654,0.872400,424.940797
49,0.053510,0.631398,0.876400,425.751690
50,0.049311,0.714575,0.877600,424.201927
51,0.050753,0.668921,0.873800,424.591187
52,0.050854,0.609307,0.881400,424.173334
53,0.043214,0.651889,0.877800,424.331598
54,0.043407,0.803796,0.861200,425.056284
55,0.048193,0.628355,0.878000,424.585757
56,0.045003,0.699397,0.874600,424.587193
57,0.039855,0.763548,0.867000,424.816376
58,0.039779,0.715440,0.874600,424.820327
59,0.044322,0.651780,0.881200,423.883740
60,0.035200,0.669248,0.880800,424.739452
61,0.035638,0.633057,0.888000,424.036681
62,0.035132,0.639142,0.884000,425.571510
63,0.034666,0.610347,0.889800,424.425205
64,0.030619,0.631564,0.892800,425.185692
65,0.031368,0.707789,0.881400,423.711593
66,0.027770,0.680283,0.886000,424.450252
67,0.031970,0.598786,0.886800,424.958855
68,0.030925,0.709365,0.880600,424.499192
69,0.028520,0.755292,0.876200,425.091285
70,0.029279,0.677707,0.878600,424.438728
71,0.034230,0.642179,0.888200,423.731028
72,0.023124,0.727723,0.880800,425.614815
73,0.026059,0.716668,0.885600,423.758182
74,0.023777,0.667751,0.886000,425.180548
75,0.026715,0.677063,0.878800,425.410085
76,0.024485,0.712526,0.880000,424.568319
77,0.024803,0.677974,0.886400,424.954282
78,0.024090,0.686220,0.884000,425.030192
79,0.025296,1.041760,0.858000,425.235890
80,0.038479,0.714156,0.881200,423.939711
81,0.032161,0.672708,0.883200,424.761552
82,0.022036,0.668058,0.888600,424.796310
83,0.022524,0.692690,0.883800,424.800640
84,0.023411,0.715368,0.881800,424.758302
85,0.020957,0.637101,0.895200,423.766341
86,0.020888,0.642472,0.899200,424.591859
87,0.020410,0.782230,0.878000,424.689927
88,0.026618,0.773429,0.878600,424.647429
89,0.026937,0.684640,0.889200,424.169639
90,0.020904,0.741935,0.882400,424.988830
91,0.021944,0.705705,0.886800,424.205243
92,0.024570,0.693754,0.887800,424.041846
93,0.016983,0.713500,0.890600,424.706945
94,0.015721,0.710901,0.891600,425.171275
95,0.016198,0.700782,0.883200,423.548817
96,0.020799,0.690132,0.889000,424.532571
97,0.015021,0.679967,0.889400,425.161598
98,0.014402,0.671230,0.891600,424.758627
99,0.016155,0.678801,0.888000,425.106608
100,0.014542,0.654935,0.893200,424.640886
101,0.013467,0.698490,0.892400,424.597775
102,0.016814,0.775145,0.884600,424.529647
103,0.016762,0.691009,0.892400,423.814309
104,0.016225,0.710469,0.878800,424.857070
105,0.020352,0.699282,0.894200,425.227946
106,0.013806,0.713732,0.888400,424.852455
107,0.014804,0.742360,0.883600,425.040645
108,0.020805,0.720624,0.886600,424.369813
109,0.017942,0.688423,0.895600,425.003520
110,0.016864,0.687369,0.887800,424.804559
111,0.014277,0.754270,0.887400,424.934391
112,0.015856,0.716658,0.884000,424.450056
113,0.013567,0.699113,0.890200,424.986746
114,0.014794,0.697086,0.888800,424.376905
115,0.014324,0.797157,0.882200,423.816987
116,0.013758,0.696700,0.889400,424.271973
117,0.015645,0.717213,0.889000,423.968496
118,0.012209,0.712535,0.893000,425.564282
119,0.014892,1.013702,0.859400,424.218081
120,0.025150,0.723949,0.886000,424.974412
121,0.019741,0.730899,0.889400,425.263728
122,0.014108,0.684605,0.891200,423.980805
123,0.012526,0.714304,0.888200,424.569975
124,0.011045,0.735691,0.895200,423.742890
125,0.012721,0.696844,0.892600,424.952327
126,0.013259,0.652940,0.895400,424.885753
127,0.011688,0.761229,0.890600,424.580882
128,0.011375,0.711713,0.894400,425.005838
129,0.010916,0.666553,0.895600,424.470318
130,0.009995,0.708666,0.890400,424.210407
131,0.010897,0.782056,0.887800,425.191989
132,0.014337,0.667364,0.897600,424.454844
133,0.012526,0.675688,0.895400,424.640767
134,0.012478,0.782456,0.888200,425.161324
135,0.016289,0.684339,0.894000,423.718899
136,0.011753,0.705064,0.887400,425.157306
137,0.015689,0.688923,0.896600,424.892533
138,0.010072,0.704775,0.898400,424.476477
139,0.009810,0.708572,0.895600,424.592272
140,0.008801,0.685828,0.894200,424.412192
141,0.007744,0.667602,0.901400,424.057402
142,0.007903,0.757339,0.892000,424.918577
143,0.012329,0.746673,0.891600,424.465440
144,0.009863,0.733903,0.897400,424.901929
145,0.009665,0.749769,0.896200,425.122477
146,0.007903,0.786926,0.891800,425.321834
147,0.009593,0.910456,0.875200,424.611401
148,0.013419,0.704448,0.891000,424.779099
149,0.008925,0.737746,0.892200,424.134326
150,0.013061,0.760245,0.889400,425.039558
151,0.011330,0.690824,0.892600,424.302200
152,0.006717,0.689417,0.891600,424.541840
153,0.006895,0.713363,0.896600,424.286120
154,0.007768,0.708680,0.890800,424.607416
155,0.006259,0.691776,0.898000,424.662874
156,0.007173,0.676558,0.897000,425.210922
157,0.007724,0.853149,0.871000,425.067220
158,0.017259,0.790849,0.889000,424.897955
159,0.011021,0.786069,0.894000,424.359021
160,0.010514,0.758067,0.891400,425.041506
161,0.009951,0.737403,0.893800,424.425478
162,0.008213,0.727126,0.894600,424.477417
163,0.008159,0.784148,0.887200,424.533787
164,0.015455,0.755610,0.893600,424.768761
165,0.012795,0.740919,0.896000,424.907392
166,0.009607,0.746567,0.891200,424.802579
167,0.014212,0.691838,0.891400,424.398305
168,0.010208,0.765069,0.887600,424.583001
169,0.017814,0.753881,0.890000,423.778500
170,0.009730,0.738760,0.894600,424.638621
171,0.006830,0.678849,0.897200,425.057844
172,0.005120,0.673924,0.899200,423.550765
173,0.004439,0.659319,0.900000,424.507844
174,0.004306,0.665206,0.900400,424.218227
175,0.004081,0.664093,0.900200,424.601643
176,0.003955,0.648300,0.901000,423.873803
177,0.003901,0.638564,0.900600,425.271603
178,0.003846,0.644674,0.904200,424.440743
179,0.003589,0.633576,0.900600,424.963728
180,0.003645,0.634134,0.903000,424.089602
181,0.003646,0.630273,0.901600,424.695939
182,0.003505,0.626436,0.901400,424.454017
183,0.003316,0.637677,0.900400,424.231538
184,0.003359,0.624374,0.900800,425.218357
185,0.003387,0.628590,0.902800,424.134181
186,0.003419,0.615468,0.902600,424.751318
187,0.003730,0.618013,0.899800,424.480139
188,0.003308,0.610580,0.900600,423.929429
189,0.003198,0.624759,0.901000,425.402396
190,0.003125,0.605300,0.902800,424.874320
191,0.003021,0.601025,0.902000,424.638094
192,0.003281,0.606719,0.901600,424.987013
193,0.003039,0.609481,0.902800,424.978086
194,0.002897,0.605518,0.903600,424.425709
195,0.002982,0.594681,0.901400,425.540692
196,0.002827,0.608016,0.901000,423.355537
197,0.002873,0.596339,0.903400,424.709107
198,0.002966,0.599131,0.901200,424.593545
199,0.002730,0.600703,0.901800,425.122100
200,0.002719,0.591814,0.902600,425.396717
201,0.002791,0.590292,0.902600,424.214709
202,0.002705,0.591854,0.904600,424.734365
203,0.002677,0.591555,0.904200,425.215237
204,0.002676,0.583679,0.903800,424.560055
205,0.002713,0.582233,0.902400,424.544746
206,0.002600,0.591016,0.903600,425.013439
207,0.002608,0.591369,0.904200,424.670913
208,0.002667,0.582920,0.903800,424.521269
209,0.002558,0.589301,0.902000,424.258390
210,0.002660,0.581216,0.904600,424.194130
211,0.002565,0.587271,0.904200,424.474253
212,0.002564,0.581595,0.904200,424.863936
213,0.002460,0.590017,0.902600,424.222620
214,0.002530,0.590807,0.903800,424.391045
215,0.002591,0.593315,0.902400,424.445866
216,0.002495,0.580175,0.903800,424.854539
217,0.002449,0.591359,0.904200,424.327887
218,0.002417,0.581078,0.904600,424.165174
219,0.002414,0.576557,0.904000,423.898509
220,0.003091,0.569180,0.902800,424.322037
221,0.002592,0.582307,0.903800,425.558014
222,0.002480,0.585303,0.902400,424.608540
223,0.002421,0.583873,0.901600,423.614044
224,0.002402,0.584860,0.902600,423.425170
225,0.002364,0.590637,0.903200,424.994556
226,0.002340,0.587142,0.903400,424.461722
227,0.002402,0.590791,0.901200,424.892685
228,0.002380,0.580697,0.902200,424.284677
229,0.002317,0.570296,0.902000,424.166774
230,0.002292,0.577422,0.902200,424.771601
231,0.002266,0.578484,0.903000,424.520552
232,0.002304,0.568250,0.903000,424.493936
233,0.002356,0.574350,0.901600,423.722724
234,0.002377,0.568374,0.902400,424.555604
235,0.002283,0.572289,0.904200,424.610163
236,0.002234,0.567813,0.901800,423.145647
237,0.002307,0.572256,0.903400,425.059761
238,0.002183,0.575989,0.902200,424.982624
239,0.002308,0.566437,0.903600,423.990973
240,0.002328,0.572682,0.903400,424.726291
241,0.002262,0.571642,0.903200,424.310067
242,0.002241,0.570561,0.902800,424.053646
243,0.002158,0.584628,0.905000,424.598037
244,0.002239,0.585934,0.903800,424.795288
245,0.002724,0.568053,0.905600,424.307928
246,0.002818,0.568411,0.902400,425.172565
247,0.002282,0.575683,0.902400,424.230853
248,0.002207,0.563500,0.903000,424.877718
249,0.002132,0.581017,0.903000,424.658709
250,0.002198,0.566595,0.905400,424.726696
251,0.002215,0.560124,0.903600,424.782630
252,0.002126,0.566258,0.905800,425.854444
253,0.002138,0.575895,0.901200,425.507747
254,0.002180,0.569587,0.902800,424.235586
255,0.002068,0.569728,0.905800,423.641127
256,0.002227,0.570053,0.904600,424.780109
257,0.002126,0.566226,0.903600,424.650746
258,0.002179,0.567489,0.904600,423.759260
259,0.002245,0.569160,0.901600,424.633533
260,0.002191,0.578475,0.905200,423.450500
261,0.002111,0.583312,0.904800,424.284182
262,0.002172,0.569158,0.903600,424.246326
263,0.002049,0.577569,0.905800,424.187749
264,0.002064,0.572956,0.903200,424.332188
265,0.002040,0.579341,0.905400,423.876990
266,0.002105,0.582810,0.903000,424.537869
267,0.002098,0.577427,0.905200,424.438373
268,0.002425,0.577703,0.903400,424.429737
269,0.002041,0.579456,0.905000,424.131696
270,0.002035,0.574207,0.904200,424.205549
271,0.002207,0.578119,0.901400,423.730333
272,0.002127,0.576460,0.903200,424.212023
273,0.002723,0.586453,0.903200,423.251233
274,0.002175,0.579999,0.905000,424.589995
275,0.002039,0.583718,0.903000,424.301908
276,0.002018,0.585663,0.901600,423.849762
277,0.001928,0.585194,0.903400,424.100950
278,0.001975,0.574970,0.903400,423.987811
279,0.002021,0.580073,0.903600,424.458087
280,0.001986,0.577845,0.903400,423.905348
281,0.002118,0.576199,0.903800,425.043559
282,0.002022,0.575967,0.903800,424.112371
283,0.001975,0.582445,0.904400,424.613952
284,0.002021,0.577626,0.903800,424.311186
285,0.002015,0.580455,0.904000,424.654096
286,0.001932,0.576408,0.905000,423.912289
287,0.001886,0.582096,0.902000,425.424083
288,0.001902,0.579762,0.904200,424.450254
289,0.001933,0.589558,0.904000,424.353147
290,0.001900,0.581744,0.903200,424.787125
291,0.001904,0.587196,0.902400,424.560768
292,0.001969,0.572099,0.903000,424.517680
293,0.002003,0.591455,0.903200,424.939685
294,0.002022,0.578235,0.904200,423.017341
295,0.001964,0.586583,0.904600,424.504931
296,0.001923,0.581927,0.901600,424.850737
297,0.001936,0.574851,0.907000,424.492297
298,0.001900,0.576083,0.904000,423.982624
299,0.001852,0.571096,0.904000,424.448385
300,0.001895,0.573257,0.905600,424.403286
301,0.001865,0.577686,0.905200,424.611385
302,0.001943,0.582650,0.901600,426.088264
303,0.001883,0.573290,0.904200,425.024347
304,0.001849,0.578105,0.905400,424.115836
305,0.001872,0.576591,0.902600,423.205476
306,0.001854,0.572215,0.904000,424.506868
307,0.001832,0.585727,0.905600,424.579769
308,0.001916,0.577467,0.905000,423.899357
309,0.001844,0.583068,0.903400,424.294482
310,0.001868,0.581595,0.905000,424.793055
311,0.001893,0.584503,0.904600,423.931786
312,0.001932,0.579942,0.906200,424.576581
313,0.001840,0.587101,0.904600,424.110222
314,0.001844,0.585149,0.904800,423.892011
315,0.001811,0.581001,0.904000,423.937297
316,0.001780,0.582520,0.902400,423.824622
317,0.001869,0.576429,0.902600,423.646870
318,0.001810,0.578294,0.904600,424.671542
319,0.001824,0.575016,0.904400,424.518753
