epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,2.181014,2.630826,0.249800,250.852952
2,1.355265,1.763878,0.457800,249.659519
3,1.020787,1.352381,0.569000,249.704689
4,0.859291,1.057770,0.667000,249.679410
5,0.748823,0.862742,0.716000,249.727535
6,0.672670,0.834619,0.727200,249.737961
7,0.603030,0.756754,0.768000,249.740691
8,0.548988,0.695141,0.780200,249.805452
9,0.502923,0.679805,0.775200,249.776265
10,0.465806,0.568299,0.815600,249.807808
11,0.433097,0.531813,0.831000,249.815825
12,0.404990,0.729611,0.784400,249.759156
13,0.384525,0.634574,0.797200,249.842719
14,0.357993,0.525225,0.833600,249.847438
15,0.332792,0.679844,0.803400,249.877895
16,0.316637,0.550104,0.842600,249.884654
17,0.303895,0.571918,0.831400,249.790823
18,0.282828,0.563806,0.828600,249.858835
19,0.269082,0.560781,0.836800,249.867898
20,0.252792,0.581715,0.832000,249.843458
21,0.241931,0.778860,0.805200,249.851920
22,0.229594,0.558343,0.847800,249.857172
23,0.216797,0.538405,0.842400,249.839302
24,0.203250,0.613359,0.843600,249.804612
25,0.196007,0.590357,0.838000,249.822986
26,0.183367,0.562094,0.851600,249.830304
27,0.174817,0.612645,0.841800,249.851313
28,0.167765,0.570436,0.849000,249.868873
29,0.159098,0.549190,0.858600,249.850534
30,0.149945,0.609407,0.858800,249.854551
31,0.142708,0.721351,0.836600,249.808420
32,0.136794,0.576859,0.864200,249.835307
33,0.134029,0.600969,0.855000,249.842703
34,0.128453,0.568126,0.860400,249.809737
35,0.115946,0.678162,0.848600,249.838042
36,0.118125,0.688900,0.839000,249.873786
37,0.116382,0.721048,0.847400,249.847907
38,0.102983,0.607643,0.862400,249.828617
39,0.100808,0.721407,0.841000,249.893570
40,0.096840,0.665642,0.859200,249.896550
41,0.093946,1.472904,0.761600,249.851205
42,0.098179,0.734181,0.852800,249.855135
43,0.088148,0.747166,0.847800,249.831536
44,0.085513,0.723304,0.856400,249.795085
45,0.080924,0.591296,0.870400,249.804140
46,0.076681,0.763377,0.854800,249.870480
47,0.075751,0.818300,0.852400,249.798405
48,0.072177,0.638808,0.870000,249.830171
49,0.067647,0.698907,0.865600,249.823385
50,0.066281,0.700726,0.860000,249.820735
51,0.065662,0.711391,0.861000,249.800946
52,0.067087,0.847325,0.846200,249.788905
53,0.064406,0.742370,0.861800,249.848662
54,0.063715,0.728212,0.859600,249.827180
55,0.058960,0.677032,0.868600,249.879205
56,0.055145,0.818601,0.852200,249.867179
