epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,2.313824,2.016035,0.309000,275.364854
2,1.474569,1.648981,0.455600,272.934571
3,1.178934,1.078690,0.621400,271.497475
4,0.977768,1.001969,0.670000,272.467339
5,0.854866,0.945075,0.694200,273.094203
6,0.764585,0.821932,0.727800,273.683430
7,0.704604,0.705794,0.769000,274.262280
8,0.656441,0.696242,0.769000,274.132785
9,0.613892,0.661989,0.788800,274.085943
10,0.577895,0.683408,0.782200,274.050186
11,0.552193,0.623287,0.797000,273.912951
12,0.522346,0.590119,0.809000,273.982900
13,0.500168,0.594311,0.804400,273.279585
14,0.480928,0.562102,0.817400,272.979745
15,0.457491,0.574244,0.811200,272.822989
16,0.442656,0.565885,0.817200,273.251814
17,0.423704,0.508337,0.840600,273.258178
18,0.410327,0.535673,0.826400,273.081581
19,0.399983,0.517341,0.837000,273.001111
20,0.382115,0.522097,0.834600,273.192002
21,0.370136,0.453196,0.851600,273.527973
22,0.359263,0.495412,0.841600,273.184199
23,0.343779,0.467236,0.851400,272.547766
24,0.337439,0.509000,0.843200,273.020467
25,0.327325,0.506903,0.842600,272.875866
26,0.317732,0.485714,0.851200,273.218205
27,0.301903,0.488285,0.849600,273.844997
28,0.298135,0.487074,0.851600,273.544267
29,0.291751,0.476981,0.849600,273.465002
30,0.284122,0.520747,0.851800,273.989481
31,0.276644,0.476152,0.851600,273.433290
32,0.269808,0.468454,0.862400,273.440967
33,0.261494,0.524400,0.849000,273.637243
34,0.253487,0.473157,0.856600,273.516990
35,0.247021,0.494735,0.855000,273.146409
36,0.247128,0.463338,0.857800,272.354533
37,0.238754,0.523061,0.848600,272.264158
38,0.231220,0.480002,0.863400,272.147093
39,0.226119,0.425576,0.868800,272.084052
40,0.220261,0.502932,0.854600,272.316458
41,0.218952,0.464405,0.867400,272.408864
42,0.215179,0.444843,0.872600,272.222992
43,0.206603,0.605095,0.845400,272.678331
44,0.205918,0.477764,0.866600,273.255394
45,0.196193,0.496111,0.865200,272.647720
46,0.191539,0.451309,0.869800,272.890606
47,0.190081,0.444231,0.876400,272.441798
48,0.187242,0.527472,0.861000,271.869592
49,0.186281,0.444381,0.874600,272.380834
50,0.179553,0.498361,0.867200,271.275793
51,0.172912,0.434785,0.877000,271.455067
52,0.170254,0.475607,0.870600,271.252568
53,0.166336,0.449677,0.875800,271.248471
1,0.162186,0.550825,0.858800,549.020461
2,0.164499,0.523976,0.865000,546.088981
3,0.157991,0.453629,0.878600,546.488125
4,0.156689,0.458422,0.874800,545.985635
5,0.149576,0.498901,0.872000,545.292055
6,0.148603,0.473913,0.877200,546.159965
7,0.146544,0.546924,0.869800,545.237681
8,0.144239,0.490022,0.872600,545.443665
9,0.143171,0.523004,0.869400,546.263393
10,0.137166,0.470501,0.881400,546.111429
11,0.135807,0.517900,0.876400,545.593972
12,0.136043,0.503065,0.871600,545.894469
13,0.133306,0.457885,0.880400,545.695391
14,0.124741,0.530504,0.870400,545.388541
15,0.132043,0.469212,0.877800,545.523739
16,0.124164,0.482461,0.880800,546.799594
17,0.124245,0.537041,0.871200,545.555746
18,0.118690,0.498218,0.877800,545.932184
19,0.122856,0.614577,0.860000,546.189934
20,0.121356,0.475540,0.883000,545.977061
21,0.116111,0.532807,0.874800,546.249120
22,0.116259,0.512269,0.879400,545.983072
23,0.112318,0.464694,0.883800,545.926530
24,0.108512,0.500368,0.878200,546.034477
25,0.108170,0.534201,0.878800,546.350122
26,0.105621,0.514765,0.879200,545.856585
27,0.103449,0.505542,0.881800,546.148242
28,0.098385,0.502727,0.883400,546.378641
29,0.098422,0.529369,0.879800,546.350090
30,0.098689,0.472341,0.883200,546.310952
31,0.097512,0.512576,0.875200,545.456677
32,0.097952,0.518554,0.877400,546.344956
33,0.094992,0.602486,0.865600,547.742011
34,0.099195,0.557667,0.875200,546.920990
35,0.096540,0.485484,0.882200,546.339189
36,0.090975,0.561290,0.868200,546.359518
37,0.093522,0.527716,0.881600,546.770556
38,0.087654,0.536059,0.885600,546.944549
39,0.090850,0.519507,0.882400,545.792568
40,0.086284,0.490659,0.888400,546.489913
41,0.083599,0.530065,0.880200,545.748243
42,0.083447,0.534573,0.881400,546.109308
43,0.082590,0.674565,0.864800,546.268100
44,0.084527,0.524795,0.880800,545.989028
45,0.083427,0.511021,0.882800,546.461181
46,0.083611,0.619205,0.874800,546.035972
47,0.084581,0.560358,0.875600,545.772661
48,0.080495,0.548370,0.884200,545.885875
49,0.075089,0.541899,0.881600,546.551585
50,0.076379,0.568823,0.881200,547.129435
51,0.077018,0.522920,0.886200,546.541801
52,0.071646,0.666972,0.861200,547.695889
53,0.082056,0.564852,0.883200,546.595101
54,0.080087,0.543371,0.883000,546.038938
55,0.068238,0.524403,0.888800,546.244026
56,0.070941,0.541430,0.881800,546.348785
57,0.073154,0.577631,0.878800,546.214515
58,0.069830,0.523792,0.892000,546.220235
59,0.065541,0.554528,0.881000,546.309071
60,0.064869,0.558930,0.883400,546.013047
61,0.069390,0.502689,0.888200,546.122424
62,0.067582,0.545902,0.882600,546.053222
63,0.066108,0.544514,0.888000,546.312685
64,0.063015,0.635189,0.876600,547.590550
