epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,2.722738,2.011089,0.240000,472.881592
2,1.996097,1.852871,0.302400,470.038121
3,1.853035,1.706841,0.357200,471.558495
4,1.747599,1.710747,0.394400,471.622260
5,1.657681,1.564340,0.434200,471.092608
6,1.573375,1.586745,0.450000,472.090235
7,1.506732,1.331257,0.523000,474.498190
8,1.427159,1.308202,0.538200,478.495384
9,1.341443,1.174451,0.581400,476.884684
10,1.254903,1.132561,0.605000,478.272713
11,1.184968,1.099224,0.622000,478.688002
12,1.124369,0.978341,0.665000,475.433600
13,1.069571,0.964290,0.668000,477.836242
14,1.026236,0.979208,0.682600,476.154318
15,0.980119,0.920877,0.702400,477.944545
16,0.938413,0.869411,0.706800,476.784799
17,0.911363,0.780882,0.739000,476.192030
18,0.866369,0.809172,0.735400,471.883259
19,0.842334,0.746656,0.751000,477.778753
20,0.821838,0.708418,0.770800,479.116286
21,0.793732,0.727776,0.768800,476.776004
22,0.765360,0.685855,0.773800,477.691180
23,0.744303,0.671959,0.779200,482.043886
24,0.730505,0.681873,0.784600,477.312118
25,0.711922,0.680821,0.782000,474.479639
26,0.698561,0.620844,0.798800,480.838878
27,0.685771,0.611489,0.804200,477.028243
28,0.665936,0.592983,0.803400,478.734683
29,0.663735,0.607358,0.806600,478.685586
30,0.644594,0.539071,0.825600,482.435428
31,0.640236,0.598778,0.808400,472.653294
32,0.621328,0.554867,0.815800,473.522680
33,0.615951,0.569627,0.812600,477.620228
34,0.607768,0.577599,0.819800,474.725358
35,0.595986,0.568663,0.817400,476.624737
36,0.594476,0.589162,0.816600,476.889769
37,0.581613,0.628034,0.818800,477.490539
38,0.572700,0.577367,0.826400,477.317675
39,0.567463,0.510732,0.833000,469.722003
40,0.561186,0.576061,0.824400,478.946162
41,0.549660,0.553810,0.833200,477.883220
42,0.550162,0.528200,0.835200,478.318547
43,0.541511,0.497040,0.844000,479.700705
44,0.530106,0.496882,0.843800,477.288405
45,0.520805,0.507424,0.835400,477.666951
46,0.517989,0.517827,0.841200,476.034114
47,0.519624,0.480447,0.848600,474.209210
48,0.507952,0.528134,0.841800,477.507950
49,0.503455,0.474362,0.850000,475.294413
50,0.499584,0.479339,0.848600,473.911655
51,0.495658,0.492289,0.847800,472.799162
52,0.493403,0.501511,0.841400,476.192473
53,0.487122,0.484520,0.846000,475.040011
54,0.484020,0.491402,0.852800,476.449542
55,0.482714,0.465021,0.860800,478.380708
56,0.476686,0.556408,0.825000,476.277714
57,0.475018,0.489796,0.850800,476.351583
58,0.468433,0.517088,0.844200,471.744036
59,0.462735,0.478171,0.848600,477.426059
60,0.458327,0.457067,0.860200,478.230024
61,0.457282,0.480112,0.851200,477.546629
62,0.451901,0.459534,0.864200,475.974886
63,0.446357,0.468002,0.858200,478.443715
64,0.446375,0.485441,0.859200,478.024019
65,0.450598,0.489303,0.860400,476.588992
66,0.440553,0.511833,0.844200,478.283775
67,0.431312,0.467603,0.858200,479.261558
68,0.431469,0.469831,0.862800,475.987382
69,0.434270,0.467172,0.861400,475.151294
70,0.427599,0.449827,0.860200,474.552423
71,0.424933,0.461957,0.864000,469.751334
72,0.425750,0.474047,0.864600,472.181829
73,0.425183,0.437090,0.868400,477.218585
74,0.419487,0.422896,0.867600,478.218963
75,0.415992,0.481476,0.858400,476.035797
76,0.410158,0.453540,0.872800,479.543738
77,0.410922,0.415307,0.869200,477.407810
78,0.408233,0.447805,0.866000,475.595180
79,0.403415,0.430838,0.871600,476.218936
80,0.407215,0.429760,0.870400,474.879313
81,0.402695,0.454122,0.865400,479.578688
82,0.398322,0.465521,0.878200,478.176306
83,0.394977,0.442579,0.860800,478.843534
84,0.396534,0.452441,0.870400,475.095380
85,0.390836,0.424939,0.871800,479.721613
86,0.388471,0.428812,0.873800,478.011463
87,0.390281,0.432093,0.868400,477.118932
