epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,1.923667,1.677021,0.363800,4486.408857
2,1.491926,1.388630,0.508200,4500.322622
3,1.309400,2.298883,0.388000,4497.744591
4,1.175763,1.332584,0.561400,4484.147868
5,1.068004,1.186343,0.600200,4451.071415
6,0.999547,0.991868,0.662000,4486.624137
7,0.937693,0.896509,0.696400,4474.189127
8,0.880034,1.143877,0.643000,4455.269396
9,0.832649,1.118122,0.663000,4499.670663
10,0.802536,0.955968,0.691600,4508.243842
11,0.754787,0.801777,0.740400,4463.550729
12,0.723802,0.712793,0.759800,4477.418123
