epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,2.466008,1.904026,0.286600,280.011326
2,1.852841,2.012865,0.287600,278.914426
3,1.685268,1.528070,0.423000,279.057181
4,1.533088,1.475542,0.483200,279.262185
5,1.381324,1.212223,0.584200,279.262447
6,1.240589,1.103400,0.619400,279.359744
7,1.116086,1.046738,0.654200,279.253095
8,0.993379,0.936309,0.695600,279.292202
9,0.897044,0.779355,0.744600,279.318765
10,0.828175,0.856103,0.735000,279.972359
11,0.772432,0.731215,0.771000,279.743032
12,0.729783,0.661058,0.793600,280.055349
13,0.694966,0.714506,0.789800,280.040360
14,0.658287,0.662960,0.797200,279.554039
15,0.630174,0.593511,0.826800,279.417612
16,0.606924,0.555560,0.831600,279.382082
17,0.588151,0.572044,0.821600,279.364580
18,0.565805,0.607620,0.818400,279.433348
19,0.541993,0.541273,0.835600,279.301959
20,0.527237,0.546630,0.836800,279.444912
21,0.506818,0.516416,0.840000,279.315233
22,0.496819,0.520045,0.842800,279.537771
23,0.481605,0.497944,0.844600,279.392689
24,0.472463,0.505364,0.842600,279.413883
25,0.454287,0.505543,0.852400,279.264462
26,0.447093,0.526095,0.840400,279.253431
27,0.428887,0.497424,0.854200,279.240454
28,0.421112,0.612979,0.824800,279.206112
29,0.413896,0.484645,0.863600,279.407731
30,0.403595,0.492165,0.859200,279.346313
31,0.395035,0.543975,0.858400,279.254469
32,0.385155,0.442120,0.873000,279.306229
33,0.372137,0.508907,0.855600,279.224878
34,0.370428,0.476196,0.863800,279.215718
35,0.355913,0.503398,0.856200,279.174652
36,0.352700,0.482342,0.863600,279.188407
37,0.346338,0.421975,0.877200,279.119574
38,0.340873,0.429250,0.874600,279.125342
39,0.329745,0.443466,0.878000,279.216592
40,0.328701,0.467463,0.876000,279.447242
41,0.314792,0.422743,0.880600,279.173413
42,0.316620,0.470036,0.874800,279.216346
43,0.307198,0.444105,0.876800,279.307092
44,0.300859,0.451580,0.875400,279.183383
45,0.295564,0.393560,0.884400,279.302350
46,0.297876,0.461865,0.878400,279.287836
47,0.285476,0.414694,0.886800,279.297748
48,0.281843,0.462582,0.875800,279.388425
49,0.271500,0.434297,0.881400,279.330074
50,0.274745,0.417770,0.885800,279.329261
51,0.265869,0.463621,0.879800,279.248144
52,0.263577,0.561207,0.862600,279.338293
53,0.266382,0.402293,0.889800,279.202002
54,0.252165,0.422390,0.883600,279.156092
55,0.253160,0.472455,0.875600,279.276632
56,0.250493,0.424458,0.892800,279.157190
57,0.243232,0.404983,0.890400,279.364781
58,0.233462,0.371992,0.896400,279.371163
59,0.233649,0.406273,0.888400,279.416428
60,0.223879,0.409659,0.885800,279.325157
61,0.228846,0.395848,0.895000,279.414873
62,0.224745,0.392007,0.890600,279.403013
63,0.223100,0.397026,0.896400,279.321032
64,0.217594,0.431131,0.895600,279.269998
65,0.215061,0.403552,0.900200,279.244554
66,0.213319,0.438287,0.890600,279.337974
67,0.205431,0.400153,0.900600,279.339647
68,0.208295,0.387087,0.897600,279.303341
69,0.199027,0.408284,0.899000,279.215317
70,0.202470,0.409483,0.900600,279.299337
71,0.193117,0.393219,0.904800,279.285817
72,0.193536,0.430381,0.894800,279.280672
73,0.190944,0.417456,0.900600,279.317967
74,0.184765,0.416082,0.893600,279.201250
75,0.178824,0.440779,0.894400,279.381868
76,0.183997,0.400195,0.899000,279.612611
77,0.178061,0.383681,0.898600,279.309121
78,0.178756,0.424202,0.903400,279.291357
79,0.171096,0.401002,0.901000,279.375228
80,0.177087,0.419043,0.901600,279.359089
81,0.171073,0.437687,0.901600,279.316580
82,0.168073,0.393445,0.903600,279.331485
83,0.170816,0.426888,0.905400,279.386341
84,0.167366,0.387964,0.900200,279.283683
85,0.161361,0.411369,0.903400,279.231213
86,0.161007,0.399018,0.904200,279.333524
87,0.155440,0.400257,0.908800,279.330520
88,0.152912,0.422065,0.901600,279.245624
89,0.159235,0.409191,0.903200,279.280446
90,0.156158,0.373300,0.908800,279.274080
91,0.155447,0.449947,0.897600,279.276699
92,0.146670,0.379947,0.908200,279.369879
93,0.147158,0.494183,0.901000,279.357136
94,0.144899,0.409324,0.907400,279.321256
95,0.142890,0.425284,0.907000,279.432140
96,0.137416,0.408837,0.903600,279.396322
97,0.138542,0.416698,0.901400,279.283427
98,0.139665,0.398502,0.910600,279.407252
99,0.135851,0.427062,0.908000,279.323202
100,0.136253,0.447698,0.906400,279.321733
101,0.131299,0.418895,0.908000,279.276297
102,0.127953,0.458730,0.898800,279.456494
103,0.139584,0.422208,0.905400,279.412034
104,0.134552,0.480962,0.902600,279.369292
105,0.128176,0.407253,0.909600,279.284541
106,0.123782,0.400487,0.909000,279.326041
107,0.125109,0.426871,0.910600,279.309734
108,0.124869,0.475904,0.905800,279.327716
109,0.119725,0.432033,0.908200,279.237434
110,0.120538,0.427296,0.909000,279.377193
111,0.116997,0.427582,0.907800,279.338236
112,0.116699,0.469344,0.907800,279.334856
113,0.116625,0.423223,0.914000,279.356927
114,0.117537,0.468839,0.901800,279.361441
115,0.118940,0.440561,0.909600,279.260481
116,0.113073,0.468829,0.903000,279.368235
117,0.118368,0.414000,0.916600,279.436323
118,0.108889,0.448489,0.911200,279.425001
119,0.109193,0.466167,0.911000,279.506374
120,0.108043,0.422829,0.915400,279.458233
121,0.109325,0.451140,0.911000,279.362933
122,0.103313,0.441222,0.912600,279.344577
123,0.107554,0.388039,0.911200,279.315242
124,0.101791,0.484476,0.905200,279.330252
125,0.105101,0.410074,0.916000,279.321261
126,0.101771,0.485569,0.906200,279.290563
127,0.102279,0.438579,0.909200,279.348766
128,0.099398,0.433489,0.906600,279.454775
129,0.104789,0.419946,0.915400,279.331573
130,0.097728,0.462832,0.903600,279.800623
131,0.098104,0.443143,0.913200,279.991427
132,0.097565,0.438802,0.912800,279.420801
133,0.094923,0.467627,0.913000,279.351964
134,0.094498,0.472948,0.912800,279.319911
135,0.096206,0.425847,0.910600,279.259651
136,0.090752,0.431561,0.910600,279.392162
137,0.093224,0.470664,0.906800,279.397973
138,0.092552,0.450835,0.909000,279.349233
139,0.091167,0.404388,0.915000,279.307495
140,0.090533,0.430441,0.913800,279.296493
141,0.092386,0.490160,0.913600,279.334622
142,0.090012,0.461145,0.911800,279.468629
143,0.084773,0.441719,0.916400,279.386794
