epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,2.547956,1.761066,0.364800,503.069883
2,1.553040,1.589918,0.439400,498.208297
3,1.355988,1.319414,0.535600,498.999287
4,1.197139,1.251053,0.576400,500.002761
5,1.072065,1.192993,0.605000,500.229869
6,0.974662,1.142477,0.610800,498.379321
7,0.900228,0.882604,0.703800,498.427477
8,0.831284,0.909517,0.705000,498.398918
9,0.767467,0.867414,0.716400,498.552886
10,0.715747,0.708097,0.764200,498.601452
11,0.676261,0.673377,0.775600,499.183981
12,0.641723,0.708475,0.767400,498.541363
13,0.608136,0.649219,0.783600,498.560112
14,0.584928,0.606410,0.793600,499.210647
15,0.562534,0.662265,0.783000,505.487905
16,0.539585,0.661508,0.791400,503.177886
17,0.523151,0.607063,0.803600,502.897024
18,0.503863,0.536750,0.823000,503.035901
19,0.490763,0.581376,0.811800,501.412408
20,0.477630,0.561482,0.817400,500.210428
21,0.464079,0.523494,0.826600,506.078371
22,0.451461,0.501822,0.835000,501.945453
23,0.438207,0.508662,0.834200,515.084165
24,0.426743,0.489111,0.842800,505.237855
25,0.419926,0.523045,0.840000,506.249461
26,0.409895,0.487546,0.846800,506.641587
27,0.402909,0.494525,0.846400,502.933782
28,0.391337,0.480027,0.850200,503.887339
29,0.382443,0.515113,0.842400,502.814411
30,0.374971,0.475647,0.852200,506.059625
31,0.367317,0.511259,0.844400,501.639724
32,0.359802,0.488691,0.852200,503.598400
33,0.350248,0.486291,0.849200,505.551692
34,0.345946,0.438934,0.860200,510.864280
35,0.338070,0.471947,0.854000,504.579587
36,0.328356,0.485933,0.853000,507.929321
37,0.321966,0.469123,0.863000,505.500025
38,0.319741,0.438607,0.864000,512.565878
39,0.309279,0.464003,0.855600,507.850780
40,0.307541,0.459693,0.860000,504.886958
41,0.303128,0.441004,0.870600,508.539601
42,0.297686,0.494031,0.858200,502.805860
43,0.293048,0.511837,0.850600,509.838122
44,0.287019,0.460465,0.865800,509.256831
45,0.280833,0.424309,0.870600,505.520892
46,0.278007,0.448583,0.866000,508.018773
47,0.272909,0.442302,0.866800,504.819051
48,0.269371,0.459114,0.869800,502.679704
49,0.266406,0.422774,0.871800,511.464504
50,0.257481,0.468896,0.866200,509.249571
51,0.254709,0.443921,0.871800,504.095005
52,0.248928,0.485278,0.868600,506.081900
53,0.250303,0.407346,0.876400,513.000339
54,0.242571,0.451538,0.873600,502.790219
55,0.243324,0.465926,0.868400,506.361161
56,0.238888,0.438213,0.875800,504.124087
57,0.235671,0.436376,0.876000,502.069850
58,0.228691,0.457089,0.868800,505.843626
59,0.224742,0.447807,0.878800,505.789739
60,0.222156,0.464018,0.875800,502.859410
61,0.217448,0.430631,0.874200,505.331653
62,0.216566,0.474887,0.874400,504.794304
63,0.213351,0.425390,0.878800,503.641141
64,0.213163,0.392686,0.885000,503.632790
65,0.205860,0.455587,0.874800,502.488734
66,0.204756,0.447428,0.877800,508.623253
67,0.201550,0.446113,0.877600,508.610013
68,0.199824,0.430814,0.881800,503.740069
69,0.197934,0.465494,0.879400,505.404436
70,0.192921,0.499732,0.873600,502.788538
71,0.194312,0.434878,0.885000,505.366360
72,0.190345,0.470598,0.874200,501.307142
73,0.185266,0.455877,0.879000,505.738625
74,0.185286,0.460457,0.883000,501.512410
75,0.183324,0.451661,0.883200,505.260733
76,0.180280,0.441275,0.883200,503.324047
77,0.176262,0.472644,0.876600,505.114980
78,0.177668,0.441690,0.881600,504.932935
79,0.172078,0.463507,0.885800,501.307440
80,0.169341,0.464490,0.885400,504.391589
81,0.168734,0.419802,0.888800,514.502838
82,0.166326,0.512722,0.872200,501.902809
83,0.165737,0.485819,0.874800,509.814829
84,0.163082,0.430242,0.891400,501.168933
