epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,2.477710,1.985720,0.280200,281.356902
2,1.693897,1.757986,0.396000,280.035095
3,1.437737,1.330313,0.536600,280.192096
4,1.271787,1.268019,0.556400,280.279386
5,1.123799,1.169431,0.611400,280.228515
6,0.994562,1.196916,0.619200,280.186007
7,0.907178,1.037505,0.650400,280.221932
8,0.832693,0.953874,0.683800,280.159406
9,0.772008,0.798431,0.730200,280.275196
10,0.725471,0.759461,0.744400,280.234997
11,0.680093,0.682672,0.775400,280.250489
12,0.646152,0.651725,0.776400,280.265505
13,0.611401,0.671306,0.782200,280.318988
14,0.576163,0.605487,0.799600,280.326686
15,0.555085,0.571462,0.808200,280.293791
16,0.530295,0.594204,0.808200,280.264563
17,0.511966,0.607896,0.804400,280.339125
18,0.493279,0.559349,0.819400,280.353832
19,0.470494,0.557134,0.820600,280.344520
20,0.459767,0.544404,0.829400,280.382439
21,0.445349,0.531430,0.828000,280.396767
22,0.431100,0.479836,0.842400,280.410542
23,0.415456,0.476510,0.845800,280.391532
24,0.404179,0.472084,0.842400,280.377449
25,0.392498,0.506814,0.840800,280.384498
26,0.380664,0.484386,0.846800,280.349311
27,0.368386,0.517083,0.844000,280.230535
28,0.360699,0.487041,0.855400,280.262315
29,0.352969,0.444124,0.863600,280.204487
30,0.344224,0.475122,0.847600,280.294799
31,0.335515,0.460169,0.860800,280.238694
32,0.326410,0.439385,0.868600,280.294761
33,0.319512,0.440537,0.864200,280.258084
34,0.313238,0.432760,0.866200,280.242517
35,0.303654,0.454543,0.866600,280.261679
36,0.296465,0.487930,0.859600,280.270035
37,0.295408,0.439371,0.873800,280.280376
38,0.285149,0.492417,0.853200,280.260392
39,0.280146,0.491558,0.848400,280.234278
40,0.274839,0.432339,0.874800,280.249833
41,0.270357,0.446011,0.875200,280.265967
42,0.264742,0.455461,0.870400,280.250941
43,0.260270,0.434467,0.877800,280.317534
44,0.254620,0.469640,0.868400,280.346357
45,0.250599,0.444637,0.873200,280.319801
46,0.246740,0.459939,0.866200,280.298965
47,0.242143,0.412441,0.880200,280.289523
48,0.235196,0.481744,0.868600,280.252498
49,0.235594,0.479985,0.870000,280.327369
50,0.227996,0.408500,0.883600,280.237238
51,0.223212,0.447582,0.874400,280.250764
52,0.223653,0.412624,0.882400,280.230856
53,0.217910,0.427498,0.881800,280.246707
54,0.211226,0.454277,0.877800,280.232976
55,0.211781,0.430015,0.879200,280.263958
56,0.207579,0.473318,0.870400,280.317612
57,0.205509,0.460077,0.871200,280.407444
58,0.197433,0.436889,0.880200,280.431812
59,0.197448,0.483930,0.874200,280.359061
60,0.193970,0.444885,0.883400,280.403076
61,0.189545,0.415513,0.886600,280.323885
62,0.190961,0.424295,0.890600,280.355020
63,0.183411,0.493717,0.870400,280.329664
64,0.185559,0.502866,0.870000,280.513935
65,0.184877,0.455806,0.888600,280.356709
66,0.176388,0.466991,0.881400,280.409869
67,0.173187,0.482919,0.877600,280.470354
68,0.174088,0.469959,0.872200,280.474216
69,0.172102,0.500941,0.871200,280.421480
70,0.173464,0.462523,0.885400,280.452356
71,0.166225,0.472869,0.886600,280.423563
72,0.162684,0.472197,0.886800,280.397717
73,0.162997,0.455375,0.887400,280.456659
74,0.161940,0.507127,0.873200,280.447423
75,0.160950,0.468650,0.888800,280.438878
76,0.155648,0.451829,0.887800,280.517365
77,0.155937,0.470192,0.883800,280.396636
78,0.148817,0.471457,0.883000,280.381323
79,0.149352,0.532011,0.870800,280.341860
80,0.148460,0.462607,0.888200,280.336145
81,0.144639,0.529506,0.881600,280.347173
82,0.146951,0.496850,0.880400,280.315558
83,0.145017,0.496815,0.879600,280.329284
84,0.140676,0.463786,0.889200,280.375221
85,0.139884,0.449905,0.891600,280.399949
86,0.137493,0.510002,0.883600,280.341672
87,0.134528,0.467942,0.881200,280.325435
88,0.134429,0.484453,0.886800,280.356441
89,0.134574,0.502877,0.892600,280.320616
90,0.130283,0.473318,0.887000,280.292966
91,0.130663,0.443260,0.892600,280.378986
92,0.127852,0.477246,0.887400,280.389722
93,0.128739,0.509102,0.886400,280.377719
94,0.125098,0.496651,0.890000,280.308000
95,0.123787,0.521378,0.882800,280.399667
96,0.125085,0.553065,0.884600,280.337527
97,0.123750,0.532280,0.883000,280.383246
98,0.119609,0.467670,0.894400,280.469519
99,0.119586,0.458285,0.893200,280.448521
100,0.119667,0.491095,0.897400,280.414086
101,0.114586,0.514281,0.890600,280.432482
102,0.114833,0.538652,0.890600,280.434399
103,0.110285,0.492859,0.893800,280.397204
104,0.115009,0.532269,0.886200,280.409100
105,0.110027,0.616038,0.881400,280.438879
106,0.110406,0.561228,0.882200,280.453831
107,0.109793,0.495021,0.892200,280.483688
108,0.108007,0.515274,0.891000,280.513442
109,0.109273,0.779241,0.855000,280.484605
110,0.112144,0.500891,0.893800,280.477404
111,0.101435,0.554310,0.891000,280.517147
112,0.104364,0.570629,0.879200,280.498528
113,0.108380,0.524927,0.895600,280.474394
114,0.102005,0.515772,0.895600,280.438039
115,0.103600,0.547459,0.886600,280.497835
116,0.100085,0.529598,0.894600,280.436050
117,0.098273,0.496111,0.893000,280.467739
118,0.098505,0.478812,0.895000,280.547160
119,0.097005,0.527715,0.895800,280.512220
120,0.095746,0.582118,0.886600,280.443479
121,0.098450,0.524658,0.889400,280.487942
122,0.098116,0.547719,0.889800,280.435365
123,0.093971,0.536260,0.889800,280.438406
124,0.093212,0.547984,0.891400,280.499547
125,0.095058,0.563224,0.888800,280.487728
126,0.094466,0.486335,0.894400,280.514179
127,0.091200,0.529435,0.894200,280.459555
128,0.087965,0.517423,0.896400,280.573352
129,0.089724,0.510679,0.896400,280.617412
130,0.086456,0.515426,0.895600,280.621990
131,0.086335,0.586611,0.886600,280.609909
132,0.084000,0.511527,0.893800,280.610317
133,0.086452,0.515242,0.894400,280.652169
134,0.085402,0.531048,0.888600,280.594794
135,0.087077,0.549328,0.889000,280.630013
136,0.084467,0.536964,0.896800,280.592584
137,0.083717,0.558290,0.889600,280.670347
138,0.081760,0.497298,0.899400,280.597520
139,0.081532,0.499669,0.898400,280.612561
140,0.080763,0.583653,0.886800,280.664701
141,0.080626,0.500851,0.899400,280.718334
142,0.080663,0.511800,0.899600,280.721280
143,0.079299,0.564775,0.900800,280.696872
144,0.077921,0.545550,0.901200,280.623682
145,0.080699,0.568068,0.894800,280.668112
146,0.080472,0.523319,0.897400,280.717942
147,0.078360,0.531676,0.898200,280.650708
148,0.079868,0.563952,0.893400,280.674258
149,0.073944,0.534859,0.898600,280.678621
150,0.075192,0.570141,0.891400,280.738532
151,0.077627,0.551825,0.891800,280.703552
152,0.074268,0.620080,0.889400,280.699897
153,0.074507,0.600707,0.891400,280.806428
154,0.078747,0.562942,0.898200,280.786013
155,0.071971,0.570919,0.893200,280.687868
156,0.075458,0.588421,0.895800,280.696639
157,0.075074,0.495491,0.903200,280.701099
158,0.073998,0.570213,0.893400,280.695868
159,0.068781,0.544402,0.899000,280.703972
160,0.072114,0.533405,0.903000,280.688168
161,0.067949,0.553385,0.901800,280.674355
162,0.071157,0.613322,0.893000,280.644915
163,0.071009,0.620332,0.886400,280.632269
164,0.065234,0.586860,0.897400,280.677254
165,0.067798,0.595856,0.895000,280.731161
166,0.070768,0.545370,0.903800,280.707418
167,0.068147,0.521865,0.900000,280.651048
168,0.066552,0.619087,0.891600,280.645219
169,0.068867,0.619622,0.889600,280.665508
170,0.070633,0.564166,0.898800,280.682865
171,0.063106,0.580294,0.895600,280.680698
172,0.063647,0.556637,0.901800,280.770274
173,0.064300,0.523039,0.905200,280.643807
174,0.064188,0.612787,0.897200,280.957465
175,0.062551,0.541381,0.894400,280.632475
176,0.062865,0.632558,0.887400,280.668019
177,0.063370,0.547240,0.899600,280.835214
178,0.061660,0.615359,0.883400,281.116426
179,0.066223,0.537033,0.900400,281.092338
180,0.060037,0.554239,0.894400,281.162053
181,0.062089,0.544556,0.897400,280.926190
182,0.062771,0.551191,0.896200,280.732922
183,0.058194,0.585063,0.895400,280.797028
184,0.061420,0.576243,0.898600,280.994501
185,0.062595,0.560316,0.899200,280.927876
186,0.062683,0.572913,0.897800,280.796963
187,0.058373,0.558200,0.899000,280.749316
188,0.058210,0.531287,0.903800,280.770407
189,0.058320,0.543659,0.899400,280.742536
190,0.059434,0.581160,0.897200,280.738967
191,0.060850,0.576703,0.901600,280.818909
192,0.059023,0.721107,0.880200,280.764705
193,0.061222,0.507238,0.904600,280.723141
194,0.054016,0.571633,0.894000,280.818735
195,0.055914,0.577615,0.898000,280.933737
196,0.055699,0.548153,0.902800,280.934562
197,0.052596,0.588770,0.899000,280.939053
198,0.053760,0.557294,0.904200,281.044141
199,0.053806,0.617523,0.900000,280.914820
200,0.054038,0.562971,0.901000,280.970477
201,0.053732,0.567896,0.901600,280.805464
202,0.055662,0.595055,0.896800,280.911082
203,0.053154,0.585318,0.903400,280.746546
204,0.052739,0.626965,0.892000,280.575874
205,0.052743,0.612404,0.895000,280.934426
206,0.053192,0.598387,0.903600,280.829875
207,0.051665,0.616722,0.894200,280.750516
208,0.052924,0.545725,0.902800,280.554376
209,0.054012,0.590383,0.900400,280.535195
210,0.054561,0.608169,0.895000,280.525659
211,0.057191,0.557603,0.904400,280.560031
212,0.052604,0.609474,0.899200,280.498177
1,0.033117,0.518979,0.914000,279.464262
2,0.026202,0.517336,0.913000,278.210147
3,0.023534,0.527481,0.914200,278.525484
4,0.022830,0.527572,0.913200,278.468327
5,0.022539,0.539706,0.914400,278.507079
6,0.021471,0.531573,0.914200,278.587862
7,0.020083,0.532090,0.914800,278.916648
8,0.020000,0.541009,0.913800,278.771532
9,0.020565,0.546366,0.914800,278.812557
10,0.020276,0.541038,0.914000,278.675222
11,0.019023,0.551928,0.914800,278.843455
12,0.019304,0.553356,0.914400,278.874093
13,0.018954,0.556051,0.911000,278.792870
14,0.018170,0.560554,0.914200,278.775561
15,0.017992,0.557825,0.915400,278.554597
16,0.018263,0.552713,0.913600,278.426255
17,0.018411,0.564744,0.914400,278.541905
18,0.018006,0.569123,0.914400,278.543203
19,0.018065,0.569864,0.914600,278.662184
20,0.017240,0.573257,0.914200,278.771121
21,0.017148,0.568097,0.912000,278.572357
