epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,2.409532,2.119637,0.252000,278.410783
2,1.659759,1.825687,0.417000,277.767370
3,1.358703,1.433284,0.517200,277.835473
4,1.178655,1.119295,0.629400,277.954095
5,1.042288,0.962606,0.666200,277.852031
6,0.923780,0.983969,0.678800,277.876393
7,0.841477,0.834014,0.724200,277.865960
8,0.776995,0.771728,0.752000,277.842372
9,0.730832,0.732126,0.769600,277.789711
10,0.685591,0.681822,0.777800,277.819909
11,0.648843,0.652364,0.785000,277.794213
12,0.618656,0.843409,0.736000,277.868369
13,0.595430,0.652616,0.784800,277.877997
14,0.570901,0.603270,0.799600,277.867937
15,0.547640,0.612195,0.797200,277.899561
16,0.528799,0.654520,0.787200,277.871691
17,0.512712,0.562740,0.814400,277.891471
18,0.497272,0.551401,0.826000,277.882011
19,0.479545,0.549754,0.829800,277.849045
20,0.466441,0.551055,0.829400,277.871990
21,0.452990,0.582275,0.821600,277.877641
22,0.438516,0.562995,0.821400,277.839001
23,0.431787,0.534192,0.830600,277.853072
24,0.416118,0.532117,0.837400,277.850010
25,0.403421,0.503207,0.845400,277.865088
26,0.395773,0.503142,0.846400,277.811304
27,0.387349,0.576355,0.831800,277.853192
28,0.378333,0.526240,0.833000,277.829012
29,0.373543,0.511629,0.839400,277.862615
30,0.363716,0.528286,0.845000,277.844786
31,0.350199,0.511975,0.845600,277.869916
32,0.350549,0.543075,0.843200,277.883329
33,0.343985,0.495808,0.853400,277.850896
34,0.335798,0.466691,0.857000,277.805976
35,0.330085,0.493549,0.857200,277.844054
36,0.323818,0.485573,0.854200,277.827374
37,0.320130,0.452895,0.857800,277.884184
38,0.314806,0.490740,0.854800,277.892063
39,0.306808,0.549779,0.843600,277.889820
40,0.304823,0.440755,0.862000,277.896874
41,0.295731,0.494558,0.858000,277.883859
42,0.290535,0.461483,0.861200,277.876366
43,0.285820,0.485025,0.865200,277.846854
44,0.280001,0.465803,0.864600,277.828774
45,0.276231,0.581722,0.840800,277.856240
