epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,1.906858,1.724651,0.385600,206.645754
2,1.488511,1.425613,0.497000,202.952967
3,1.284917,1.194699,0.581800,202.944279
4,1.140488,1.104852,0.622000,202.929901
5,1.041998,1.106693,0.632600,202.945420
6,0.955848,0.982760,0.667800,202.925000
7,0.876098,0.869877,0.693200,202.903388
8,0.816064,0.838074,0.719200,202.944440
9,0.752087,0.751381,0.745200,202.889365
10,0.703047,0.796535,0.724600,202.950056
11,0.664409,0.735389,0.756000,202.941584
12,0.630200,0.798570,0.743400,202.864239
13,0.598139,0.634494,0.782800,202.797454
14,0.562073,0.681567,0.780800,202.778904
15,0.541731,0.664935,0.789000,202.736007
16,0.519024,0.638323,0.787400,202.999177
17,0.483324,0.595117,0.797200,202.901251
18,0.463786,0.650769,0.785000,202.937215
19,0.445260,0.646434,0.797200,202.934518
20,0.414116,0.729062,0.786800,202.943694
21,0.400642,0.671274,0.801400,202.964020
22,0.381499,0.608684,0.815600,202.957298
23,0.366579,0.646226,0.808400,202.967325
24,0.345610,0.609480,0.814600,202.965866
25,0.330912,0.620752,0.822000,202.979996
26,0.314602,0.702055,0.804000,202.973778
27,0.303952,0.654373,0.814400,202.925143
28,0.285007,0.600296,0.825600,202.934721
29,0.277281,0.828796,0.785400,202.944680
30,0.263423,0.660158,0.817400,202.962358
31,0.241083,0.679648,0.813400,202.974683
32,0.240014,0.716526,0.818400,202.953792
33,0.223343,0.675096,0.823400,202.969277
34,0.218104,0.729571,0.814200,202.962385
35,0.207898,0.782821,0.813600,202.958318
36,0.204597,0.698046,0.819600,202.968521
37,0.186100,0.632685,0.835000,202.959225
38,0.173821,0.862923,0.792200,202.955458
39,0.176279,0.705943,0.819800,202.982347
40,0.165031,0.685992,0.831600,202.993284
41,0.156091,0.682451,0.831800,203.001318
42,0.155278,0.728774,0.829800,202.989404
43,0.148350,1.001658,0.794200,202.986855
44,0.132544,0.873746,0.816400,202.996693
45,0.128620,0.777893,0.821000,203.018189
46,0.125905,0.834440,0.817200,202.977805
47,0.122144,0.796162,0.825400,202.950330
48,0.111728,0.756409,0.835200,202.923031
49,0.121837,0.822931,0.823200,202.901638
50,0.114269,0.740294,0.833200,202.757447
51,0.112941,0.854538,0.832400,202.808883
52,0.103173,0.897671,0.822000,202.932607
53,0.103268,0.998898,0.800400,202.904402
54,0.098375,0.875720,0.828400,202.896647
55,0.083184,0.773209,0.829200,202.902936
56,0.080238,0.930679,0.825200,202.942129
57,0.078275,0.955033,0.815200,202.927495
58,0.090992,0.966346,0.823400,202.949433
59,0.084049,0.959690,0.826400,202.836775
60,0.077350,0.865641,0.828800,202.942319
61,0.071556,0.861546,0.837000,202.995941
62,0.073685,1.071022,0.814400,202.937051
63,0.071847,0.913776,0.826800,202.871142
64,0.069869,0.860812,0.831400,202.899357
65,0.069105,0.894396,0.834200,202.712158
66,0.065585,0.856941,0.832200,202.751784
67,0.060397,1.113258,0.818000,202.687091
68,0.069115,0.967887,0.833200,202.822870
69,0.064433,0.990812,0.826200,202.803376
