epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,1.593071,1.461817,0.525200,217.363727
2,1.111846,1.111111,0.621800,213.538360
3,0.947770,0.849264,0.709200,213.691450
4,0.839592,0.829380,0.720400,213.973876
5,0.762250,0.738567,0.753800,213.676857
6,0.698104,0.755344,0.748200,213.891492
7,0.643821,0.662882,0.783200,213.646628
8,0.599760,0.853180,0.738800,213.681357
9,0.566053,0.694145,0.776000,213.820479
10,0.528268,0.746352,0.767400,213.863609
11,0.503582,0.663889,0.782400,213.896636
12,0.471839,0.672566,0.790400,214.038210
13,0.446236,0.667762,0.799400,213.910644
14,0.429257,0.589576,0.814400,214.083003
15,0.404393,0.583191,0.818400,213.955655
16,0.386183,0.662914,0.791600,213.736169
17,0.365579,0.654276,0.809400,213.684240
18,0.346743,0.663731,0.801800,213.564061
19,0.329155,0.636688,0.811400,213.604881
20,0.311670,0.646390,0.811200,213.745768
21,0.297283,0.766728,0.793400,213.718548
22,0.282473,0.664638,0.819000,213.738306
23,0.263028,0.685995,0.812400,213.765165
24,0.254303,0.768516,0.797800,213.728919
25,0.242351,0.819589,0.797200,213.633153
26,0.228011,0.706322,0.818800,213.610046
27,0.215692,0.695951,0.823800,213.592601
28,0.204475,0.743989,0.817200,213.695672
29,0.196116,0.731185,0.816200,213.667125
30,0.180956,0.745217,0.825600,213.675077
31,0.172706,0.776378,0.817800,213.687198
32,0.166033,0.828936,0.810200,213.719680
33,0.155053,0.860565,0.810800,213.730318
34,0.151370,0.789806,0.819200,213.708220
35,0.138975,0.881090,0.813000,213.719707
36,0.142617,0.808106,0.824000,213.724280
37,0.127091,0.798532,0.824000,213.719293
38,0.120379,0.851104,0.824600,213.740840
39,0.114525,0.893742,0.819400,213.680498
40,0.111572,0.856495,0.824000,213.751513
41,0.103813,0.869061,0.824000,213.747633
42,0.103941,0.872307,0.821200,213.685617
43,0.098500,0.917212,0.822200,213.728732
44,0.092505,0.960243,0.820000,213.675280
45,0.087956,0.966967,0.821200,213.651678
46,0.083252,0.934955,0.824200,213.750246
47,0.080620,0.995767,0.820200,214.004001
48,0.077394,0.948866,0.822000,214.136781
49,0.073202,0.983194,0.825200,213.665903
50,0.066309,0.999792,0.829000,213.992389
51,0.072777,1.018717,0.821600,213.665562
52,0.065385,1.040906,0.821200,214.196807
53,0.066885,1.027259,0.828200,213.688501
54,0.060384,1.080296,0.818800,213.682409
55,0.061280,1.016566,0.826400,213.734072
56,0.060408,1.003361,0.825600,214.558575
57,0.056558,0.985488,0.828800,213.952867
58,0.056189,1.084726,0.828800,213.781530
59,0.054649,1.011876,0.833200,213.933987
60,0.046503,1.063649,0.824800,213.817947
61,0.047625,1.090156,0.830000,213.872777
62,0.052986,1.154560,0.818200,213.768660
63,0.044843,1.057307,0.833000,214.558556
64,0.041161,1.119683,0.826400,213.846664
65,0.040804,1.109034,0.830400,214.041559
66,0.041033,1.122042,0.822600,214.998748
67,0.037546,1.121640,0.830600,215.280082
68,0.041457,1.200881,0.825600,214.471393
69,0.038882,1.128856,0.826400,213.860863
70,0.036296,1.103025,0.827600,214.055875
71,0.039379,1.125186,0.827600,213.989667
72,0.036757,1.114650,0.824000,214.035809
73,0.033901,1.146343,0.825800,213.893323
74,0.034897,1.107208,0.837800,215.424962
75,0.028935,1.192153,0.823400,215.116829
76,0.029582,1.174896,0.826400,214.150830
77,0.029004,1.174349,0.832800,214.430196
78,0.031602,1.182195,0.826800,213.856256
79,0.031460,1.159989,0.835800,213.919706
80,0.027580,1.254308,0.826600,214.583563
81,0.028940,1.201304,0.832400,215.188723
82,0.029046,1.206490,0.827400,214.320727
83,0.029500,1.187618,0.831600,213.997678
84,0.028197,1.220148,0.823800,214.475601
85,0.032942,1.158441,0.831800,214.146887
86,0.026246,1.210804,0.828800,213.986794
87,0.029209,1.201308,0.829200,214.146436
88,0.024785,1.213050,0.829000,214.184573
89,0.020847,1.173673,0.834600,214.050726
90,0.025748,1.297336,0.828200,215.358294
91,0.024387,1.300646,0.822800,214.558864
92,0.022991,1.229648,0.832600,214.498623
93,0.018168,1.231563,0.830800,214.087605
94,0.020220,1.223754,0.834600,214.004147
95,0.020171,1.310401,0.825800,214.072041
96,0.021664,1.297182,0.829800,214.236391
97,0.018357,1.278993,0.825400,214.127622
98,0.020258,1.254616,0.827000,214.174815
99,0.019112,1.260289,0.835800,214.511374
100,0.022172,1.268076,0.832400,214.066215
101,0.018732,1.301181,0.822400,214.405472
102,0.019072,1.248130,0.826200,214.173595
103,0.015363,1.263022,0.828800,214.102091
104,0.015660,1.240226,0.837200,214.470416
105,0.013707,1.270140,0.833600,214.682694
106,0.014198,1.228487,0.833600,214.075888
107,0.014665,1.290493,0.828000,214.086822
108,0.017961,1.311444,0.830200,214.001330
109,0.018807,1.363321,0.825000,214.534365
110,0.020357,1.273303,0.831600,214.185231
111,0.016619,1.288038,0.834000,214.189429
112,0.013274,1.275137,0.835600,214.151801
113,0.015079,1.351198,0.828400,213.949639
114,0.014471,1.281122,0.833200,214.173441
115,0.018249,1.293958,0.833600,213.845260
116,0.014998,1.246934,0.839400,213.879190
117,0.014350,1.279545,0.832600,214.310650
118,0.013496,1.267235,0.836400,214.112761
119,0.011957,1.325501,0.834000,214.787929
120,0.015300,1.282838,0.834000,213.988566
121,0.015226,1.258371,0.836200,214.100327
122,0.013942,1.290262,0.835200,214.255590
123,0.012489,1.313508,0.831000,213.780490
124,0.013682,1.282041,0.835600,214.021580
125,0.011432,1.312302,0.833400,213.994596
126,0.013679,1.407134,0.828200,214.840495
127,0.012628,1.349826,0.824000,215.579765
128,0.012478,1.342683,0.830600,215.289951
129,0.013386,1.322111,0.833000,213.955549
130,0.011384,1.339932,0.833800,213.854604
131,0.013036,1.306215,0.833800,214.349837
132,0.010934,1.306841,0.836200,214.124443
133,0.014707,1.333132,0.843200,214.017168
134,0.013571,1.356670,0.831800,213.914997
135,0.014920,1.389019,0.829200,213.940425
136,0.013080,1.305516,0.839400,213.865385
137,0.010721,1.357192,0.831800,214.538446
138,0.010097,1.332572,0.838200,213.993739
139,0.013115,1.384709,0.831800,216.196783
140,0.008595,1.359376,0.832400,214.411260
141,0.010159,1.349198,0.835000,215.677468
142,0.009350,1.375650,0.834800,214.827745
143,0.010189,1.380894,0.831600,214.660750
144,0.012345,1.359126,0.835600,214.584313
145,0.009761,1.343253,0.834600,214.035343
146,0.013419,1.358835,0.839600,213.758267
147,0.011361,1.367759,0.832800,214.562957
148,0.008885,1.414420,0.831600,214.091035
149,0.009676,1.318936,0.834600,214.364019
150,0.011656,1.383426,0.831200,214.457101
151,0.009686,1.341590,0.840000,214.047894
152,0.010255,1.348638,0.832200,213.806968
153,0.008616,1.362273,0.838400,214.289519
154,0.007793,1.377305,0.838000,214.260203
155,0.008781,1.399578,0.834000,214.648140
156,0.008058,1.380302,0.838200,214.358569
157,0.007267,1.346202,0.839200,214.006837
158,0.006843,1.384052,0.842400,214.445161
159,0.006227,1.386167,0.837600,214.315083
160,0.006520,1.405902,0.841400,214.868856
161,0.007295,1.473801,0.837000,214.175498
162,0.007993,1.378256,0.838000,213.941832
163,0.009023,1.421490,0.836400,214.526951
164,0.010640,1.415417,0.830800,215.062060
165,0.010994,1.411190,0.833400,215.043207
166,0.010185,1.448725,0.825200,214.078436
167,0.011034,1.407523,0.834800,214.893214
168,0.012166,1.418082,0.831200,217.577705
169,0.008052,1.431568,0.833400,213.877495
170,0.008764,1.396062,0.830600,214.204546
171,0.006779,1.417382,0.828600,214.002593
172,0.008098,1.459599,0.835800,214.109675
173,0.007711,1.412564,0.837400,214.251624
174,0.005894,1.479737,0.831800,214.028064
175,0.005923,1.445040,0.838000,213.921515
176,0.008316,1.458141,0.829000,213.988641
177,0.009894,1.527541,0.826800,213.951430
178,0.008823,1.441950,0.836200,214.292815
179,0.007407,1.452894,0.836600,214.164928
180,0.007482,1.442011,0.840400,213.769453
181,0.006403,1.427524,0.832600,214.997764
182,0.006183,1.403851,0.836200,214.203733
183,0.008271,1.449690,0.834800,214.643217
184,0.008360,1.480111,0.832000,214.332065
185,0.007338,1.489618,0.829800,214.294153
186,0.006560,1.430313,0.831600,215.316370
187,0.007893,1.451410,0.827400,213.930629
188,0.007418,1.446776,0.836400,215.270412
189,0.006921,1.480101,0.835600,214.072071
190,0.006262,1.403523,0.836600,214.237201
191,0.005179,1.428818,0.834400,213.601157
192,0.004678,1.389169,0.837200,213.656267
193,0.005380,1.427134,0.835800,213.824110
194,0.005604,1.378613,0.842400,214.373296
195,0.005735,1.393083,0.839400,214.002177
196,0.004858,1.427381,0.837800,215.469262
197,0.005474,1.450969,0.836200,217.943838
198,0.004573,1.478720,0.838600,213.955407
199,0.005228,1.428058,0.838600,217.084512
200,0.004874,1.460950,0.833600,213.643892
