epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,2.072707,1.773598,0.347000,253.930546
2,1.631028,1.487273,0.457400,250.033472
3,1.459127,1.299112,0.529800,250.084503
4,1.337906,1.439352,0.512000,250.132332
5,1.235784,1.118880,0.608600,250.147976
6,1.139427,1.156041,0.605000,250.117926
7,1.060398,1.956985,0.479000,250.051564
8,0.986606,1.052843,0.640400,250.055968
9,0.923742,1.310904,0.590600,250.139911
10,0.858526,0.870006,0.707800,250.052236
11,0.815459,0.919967,0.690400,250.067440
12,0.761724,1.712602,0.547000,250.216087
13,0.732791,0.857742,0.714400,250.069476
14,0.686047,0.799286,0.735000,250.042703
15,0.653857,0.853378,0.724000,250.050907
16,0.621667,0.958059,0.704800,250.026709
17,0.588306,1.090224,0.684200,250.051381
18,0.562655,0.791270,0.757000,250.117939
19,0.538964,1.938749,0.559400,250.107955
20,0.503113,1.139584,0.694400,250.055185
