epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,1.584366,1.301944,0.558000,228.336318
2,1.125716,1.196092,0.598600,223.162609
3,0.926692,0.924114,0.682000,225.591636
4,0.797236,0.815189,0.727800,225.456776
5,0.707918,0.768719,0.745000,224.754170
6,0.640852,0.831721,0.726600,224.653118
7,0.587699,0.714569,0.779400,224.787823
8,0.539720,0.714145,0.772000,219.842969
9,0.500258,0.761461,0.760000,217.661116
10,0.461671,0.720956,0.775000,215.506484
11,0.428419,0.672373,0.792600,215.487453
12,0.400610,0.708543,0.781000,215.135430
13,0.369883,0.758199,0.779200,215.099721
14,0.337947,0.753479,0.781800,215.157174
15,0.316755,0.714803,0.794600,215.100330
16,0.286431,0.753736,0.793400,215.204340
17,0.272343,0.802629,0.785400,215.420961
18,0.251960,0.817496,0.788800,215.438526
19,0.231710,0.748152,0.808400,215.452948
20,0.213836,0.886694,0.774400,215.539926
