epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,1.862157,1.658897,0.413000,219.553563
2,1.473586,1.510461,0.495200,215.130667
3,1.299497,1.280021,0.569800,215.140679
4,1.183312,1.469039,0.575200,215.184315
5,1.088963,1.007232,0.655400,215.461928
6,1.010529,0.957499,0.684800,216.255553
7,0.953152,0.906434,0.698000,215.529567
8,0.901843,0.829313,0.718600,215.586763
9,0.860105,0.802806,0.723800,216.269099
10,0.807437,0.844054,0.718800,215.401492
11,0.781612,0.757242,0.745800,215.633610
12,0.752248,0.691546,0.766600,215.590867
13,0.720232,0.681967,0.776600,216.138835
14,0.701122,0.832199,0.741000,215.540144
15,0.680914,0.667421,0.779200,216.370868
16,0.657912,0.664980,0.774400,215.538131
17,0.641032,0.687863,0.775400,215.589661
18,0.620276,0.655182,0.786000,215.381158
19,0.605491,0.610884,0.799600,216.067331
20,0.597095,0.629501,0.794400,216.435407
21,0.581477,0.579758,0.812200,215.593053
22,0.567011,0.569944,0.814400,215.477260
23,0.555587,0.600467,0.806200,215.802113
24,0.540726,0.588819,0.812200,215.847468
25,0.529618,0.607855,0.803200,215.998079
26,0.520658,0.553802,0.817200,215.539721
27,0.512345,0.577554,0.814000,215.750381
28,0.502388,0.553282,0.821000,217.270952
29,0.493110,0.571489,0.813400,215.701439
30,0.477141,0.563289,0.822800,215.618004
31,0.472736,0.558031,0.822000,216.078104
32,0.463633,0.539244,0.828800,215.746524
33,0.463309,0.584722,0.813000,215.689700
34,0.444930,0.588080,0.820000,215.432084
35,0.440344,0.532356,0.830400,215.383896
36,0.435111,0.548165,0.821200,215.417002
37,0.429406,0.570361,0.821600,215.352604
38,0.419147,0.534640,0.825800,215.712609
39,0.410883,0.528134,0.829200,215.448838
40,0.403307,0.545991,0.830400,216.025843
